# x + y
2*(z^(x|(~y|z))) - (~(x&y)&(x^(y^z))) - 3*~(x|(y^z)) - (z^(x&(~y|z))) - 3*(y^~(x&(y|z))) + ~(x&(y^z)) + 3*(~(x^y)|(x^z)) + (z|~(x|~y)), x + y
-(z^~(~x&(~y&z))) - (z^~(x&(y|z))) + 2*(x|~z) + (y|(x^z)), x + y
(z^(x|y)) + ((x|y)&(x^(y^z))) + ((y&z)|(~x&(y|z))) - (~(x|~y)|(x^(y^z))) + 2*(z^~(x|y)) - 2*~(x&~z) + (y|z), x + y
5643973503165060220*(~x&(~y&z)) + 15624757322127021505*((x&z)^~(x^(y&z))) + 15624757322127021505*~(x&(~y|z)) + 2821986751582530109*(~x|(~y&z)) + 2*(~x|(y^z)) + 2821986751582530111*(y^~(x|(y^z))) + 15624757322127021506*(z&~(x^y)) + (z|(x^y)), x + y
-(z^(~x|(~y|z))) - (~(x^y)&(x^z)) - (~x&(~y|z)) + 2*(z&(x^y)) + (y^~(x|(~y&z))) + 2*(~z|~(x^y)) - (z^(~x&(~y|z))), x + y
2501145894445518495*(x&(y^z)) + 15945598179264033122*~(~x|(y&z)) + 833715298148506164*(z^~(~x&(y|z))) + 833715298148506165*(x&(~y|z)) + 833715298148506166*(y|(x&~z)) + 17613028775561045452*(y^~(x|(y&z))) + 17613028775561045451*(y|(x&z)), x + y
12297829382473034413*(z^(~x|(~y|z))) + 6148914691236517206*(y&~(x&z)) + 12297829382473034410*((x&z)^~(y&~z)) + 6148914691236517204*(~(x|~y)|~(x^(y^z))) + 12297829382473034410*(z^~(x&y)) + 12297829382473034411*((x&y)|~(y|~z)) + 12297829382473034411*(y^~(x|(y&z))) + 2*((y&z)|(x&(y|z))), x + y
7378697629483820647*(z^(x|(~y&z))) + 7378697629483820646*(x^(y|z)) + 11068046444225730971*((y&~z)|~(~x|(~y&z))) + 14757395258967641292*(z^~(x&(y&z))) + 11068046444225730970*(z&~(x^y)) + 14757395258967641293*(x&(~y|z)) + 3689348814741910324*(y|~(x^z)), x + y
-2*((x|~y)&~(x^(y^z))) + 2*((x&z)|(y&~z)) - 2*(z^~(x|~y)) + ((x&y)|(y^z)) - (y|~(x|~z)) + (z|~(x^y)) - 1, x + y
15608783446985005214*(~z&~(x^y)) + 1418980313362273201*((x&z)^~(x^(y&z))) + 7094901566811366006*(y^(x|z)) + 4256940940086819604*(z^~(~x&(y&z))) + 15608783446985005213*((x&z)^~(y&~z)) + 4256940940086819604*(x^(y&z)) + 5675921253449092806*~(x^(~y|z)) + 12770822820260458812*(y^(~x&(y^z))), x + y
-2*~(~x|(y|z)) + 6148914691236517205*(y^z) + 6148914691236517205*~(x|~z) + 6148914691236517206*(z^~(x|~y)) + 12297829382473034409*((x&z)^~(x^(~y&z))) + 12297829382473034413*(y|~z) + 12297829382473034412*((x&y)^(x^(y&z))) + 12297829382473034410*((x&~y)|~(y^z)), x + y
-~z + (y^~(~x|(y^z))) + (y^~(x|(~y&z))) + ~(~x&(~y|z)), x + y
3*(y^(~x|(y&z))) - 3*(z^(~x|(y&z))) + 6*(x&(y^z)) + 3*((x&y)^~(x^(~y|z))) - 4*(y^(x&(~y|z))) - 3*((x&y)^(y|z)) - 6*x + 8*(y^~(~x|(y&z))), x + y
5672185570580419897*~(x|(y&z)) + 13178235317437414622*(z&(x^y)) + 12774558503129131718*(z&~(x&y)) + 7506049746856994724*(x&y) + ((x&y)|(x^(y^z))) + 16612879897432976790*((y&z)|(x&(y|z))) + 12774558503129131719*(y|~(x^z)), x + y
3*(z^(x&(y|z))) + ~(x&z) - 2*(~x|(y^z)) + ~(~x&(y|z)) + 2*((x&y)|(y^z)) - (z^(x&~y)) + 3*((x&y)^(x^(y&z))) - 3*(x|z), x + y
-(y&~z) - 2*(y^(x|(y|z))) + (x^(y&z)) + 2*x - 2*((y&z)|(x&(y|z))) + 2*(y|z), x + y
-(z^(x|(~y|z))) - ((x^y)&~(x^z)) + (y^z) + 2*x - (x|(~y&z)) + (y|~z), x + y
14810260312175678815*(z^(x|(~y|z))) + 3636483761533872801*(~x&(~y&z)) + 3636483761533872802*(z^~(x&(~y&z))) + 14810260312175678815*(y^(x|(~y|z))) + (~(x&~y)&~(x^(y^z))) + 3636483761533872799*~(x&z) + 3636483761533872801*~(~x|(y^z)) + 14810260312175678817*(y|(x^z)), x + y
(y^(x|(y&z))) - (y^(x|(~y|z))) + (y&(x|~z)) + (x|(~y|z)), x + y
-(y^(x|(y|z))) + (y^(x|z)) - (z^~(~x&(y|z))) + ((x&~y)|~(x^(y^z))) + ~(~x|(~y&z)) + (y^(~x&(y^z))), x + y
-~(x|(y^z)) + ~(x&y) - 3*(z^~(~x|(~y&z))) - 5*~(x^z) + 3*((y&~z)^(x|(y^z))) - (z&~(x&~y)) + 5*(y|~(x^z)), x + y
41023291027428069*(~(x&y)&(x^(y^z))) - ((x&y)^(y|~z)) + 18433069643367075594*(z^~(~x&(~y|z))) + 13674430342476024*((x|~y)&~(y^z)) + 18419395213024599569*(y^~(x&(~y|z))) + 41023291027428070*(x&z) + 18405720782682123547*~(x^(~y|z)) + 13674430342476024*(y|~(x|z)), x + y
2*(~x&(~y&z)) + 3*(y^(~x|(y&z))) + 4*(y^(x&(~y|z))) - 5*~(x&(y&z)) + 2*((x^y)|~(x^z)), x + y
12297829382473034409*(y^(x|z)) - 4*~(x|(y^z)) + 6148914691236517205*((x^y)&(x^z)) + ~(x|(~y&z)) + 6148914691236517208*(x^(y&z)) + 12297829382473034411*((x&y)|~(y|z)) + 6148914691236517208*(~x|(y&z)) - (y|~(x|~z)), x + y
7378697629483820646*(z^(x|(~y|z))) + 7378697629483820646*(~(x&~y)&(y^z)) + 11068046444225730969*~(~x|(y^z)) + 14757395258967641295*((y&~z)|~(~x|(~y&z))) + 11068046444225730969*(y^(~x&(~y|z))) + 3689348814741910322*~(x^(~y|z)) + 14757395258967641294*(x&(y|z)) + (~x|(~y|z)), x + y
2*~(x|(~y&z)) + (z^(x|~y)) + ((x&~y)|~(x^(y^z))) - 3*(~(x|y)|~(x^(y^z))) - (z^~(x&y)) + 3*((x&y)|~(y|~z)), x + y
10014865663507888559*~(~x|(~y|z)) + 5007432831753944278*(y^~(x&(~y&z))) + 13439311241955607337*((x|~y)&~(x^(y^z))) + ~(x^(~y|z)) + 13439311241955607338*(~(x^y)|(x^z)) + 5007432831753944279*(z^~(x|y)), x + y
-3*(y^z) + 4*(y^~(~x|(~y&z))) - 2*((x&y)^(y|z)) - 6*~(x^(y&z)) + 9*(~(x^y)|~(x^z)) + 3*(z&~(x&~y)) - (y|~(x|~z)) - 3*~(~x&(y^z)), x + y
-2*(y^(~x|(~y|z))) - 4*(y^z) + 5*(y&(x^z)) + 3*(~(x|y)|(x^(y^z))) - 3*~(x^y) + 6*(~(x^y)|~(x^z)) - 5*((x&z)^~(x^(~y&z))) + (z^~(x|(y&z))), x + y
6195763597602520865*(z^(~x|(~y|z))) + 6195763597602520868*(y^(x&(~y|z))) + 15348862274908291182*((x^y)|(x^z)) + 15348862274908291184*(z^~(x&(y&z))) + 6195763597602520867*(x^(y^z)) + 9293645396403781300*(z|~(x|y)) + 6055216878504509883*(~x|(~y|z)), x + y
6240217692083760216*((y&z)^~(~x&(y^z))) + 3120108846041880106*(y^(~x|(y|z))) + 12206526381625791401*(y^~(x&~z)) + ~(~x&(y|z)) + 3120108846041880108*((x&z)^~(x^(~y&z))) + 12206526381625791400*((x^y)|~(x^z)) + 3120108846041880109*(z|~(x|~y)), x + y
-(y^~(x&(~y&z))) - (~(x&~y)&(y^z)) + ~(x&(~y|z)) - 2*(x&(y&z)) + (y&~(x^z)) + 2*~(~x|(~y&z)) + (z&(x|~y)), x + y
14347467612885206813*(~(x^y)&(x^z)) + 6148914691236517205*~(y|~z) + 6148914691236517204*~(x&(~y|z)) + 16397105843297379216*(~z|(x^y)) + 10248191152060862008*(~y|(x^z)) + 10248191152060862009*(x^(y^z)) + 4099276460824344804*(~(x^y)|~(x^z)) + 4099276460824344805*(y^(~x&(y^z))), x + y
11068046444225730969*(z^(x|y)) + 3689348814741910324*((x&y)^~(x^(~y|z))) + 14757395258967641292*~(x|~y) + 14757395258967641293*(~y|~(x^z)) + 3689348814741910325*y + 7378697629483820646*(y^(x&(y^z))) + 3689348814741910323*(z|~(x|y)) + 7378697629483820647*(z|(x&~y)), x + y
3370713987774928976*(y&(x^z)) - 2*~x + 15076030085934622642*((x^y)|(x^z)) + 11705316098159693667*(z^(~x|(~y&z))) + 6741427975549857950*(z^~(x&(y|z))) + 3370713987774928976*(~x|(y&z)) + 15076030085934622641*((x&~y)|~(y^z)), x + y
-(~(x&~y)&(y^z)) + (x&~y) + 3*~(~x|(y&z)) - 5*(y^(x|(y|z))) - 3*(~(x&y)&~(y^z)) + (~x&(~y|z)) + 3*(z^(x&(~y|z))) + 2*(~y|~(x^z)), x + y
