# x + y
2*~(x|~y) - (x^y) + 2*x, x + y
15506514671653285022*~(x|y) + 15506514671653285024*x + 2940229402056266593*(x|~y) + ~(x&~y), x + y
2*~(x&y) + 4*(x&y) - (x|~y) - ~(x&~y), x + y
-~(x^y) + 2*x + 2*~(x&~y) + 1, x + y
2*~(x|~y) + (x^y) - 2*~(x&y) + 2*(x|~y), x + y
4537109764138040000*(x&~y) + ~(x|~y) + 4537109764138040001*(x&y) + 13909634309571511617*x, x + y
6216874404457576004*~y - ~x + 6216874404457576005*y + 6216874404457576003, x + y
3*(x&~y) - 2*~(x&y) - ~(x^y) + 3*~(x&~y), x + y
~(x|y) - ~(x&y) + 2*(x|y), x + y
-~(x|~y) + ~x - ~(x&y) + 2*(x|y), x + y
-2*~(x|y) + (x|~y) + ~(x&~y), x + y
15557478481852143520*(x&~y) + x + 15557478481852143521*y + 2889265591857408096*(x|y), x + y
2*~(x|~y) - ~x + ~(x^y) + x, x + y
450977350505733581*(x&~y) + 17995766723203818034*(x^y) + 17995766723203818035*x + 450977350505733583*(x|y), x + y
-~y + (x|~y) + (x|y), x + y
3*(x^y) - 2*~(x&y) + 2*~(x^y), x + y
~x - ~(x&y) + x + (x|y), x + y
-3*~(x|y) + ~(x&y) + 2*~(x^y), x + y
~(x|y) + (x&~y) - ~x + 2*y, x + y
2*(x&y) - ~(x^y) - 1, x + y
~(x&y) + 3*(x&y) - ~(x^y), x + y
1778104227506856553*~(x|y) - ~(x&y) + 1778104227506856554*(x|y) + 1778104227506856552, x + y
2*~x + 3*(x^y) - 4*~(x&y) + 2*(x|~y), x + y
-~y + 15444499669598249758*~x + 15444499669598249759*x + 15444499669598249757, x + y
-~(x|y) + ~(x&y) + 2*(x&y), x + y
-(x&~y) + 7540865523381610249*~(x|~y) + 7540865523381610250*x + 10905878550327941368*(x|y), x + y
-3*~(x|y) - 2*~(x|~y) + ~(x&y) + 2*~(x&~y), x + y
1450429290795653463*~(x|y) + 16996314782913898153*~(x&y) + 16996314782913898154*(x&y) + 1450429290795653464*(x|y), x + y
607947490716167574*x + 17838796582993384043*(x|~y) + 17838796582993384044*y + 607947490716167573*~(x&~y), x + y
12308603968793422960*~x + 12308603968793422961*x + y + 12308603968793422960, x + y
~(x^y) + 2*x - 2*(x|~y) - 1, x + y
8642354228186259913*~(x|y) + 8642354228186259916*(x^y) + 9804389845523291701*~(x&y) + 2*~(x^y), x + y
-2*(x&~y) + 3*(x^y) - 2*~(x&y) + 2*(x|~y), x + y
(x&~y) + ~(x|~y) + 2*(x&y), x + y
-~(x|y) + x + ~(x&~y), x + y
~(x|y) + 2*(x&~y) - ~(x&y) + 2*y, x + y
-2*~y + (x^y) + 2*(x|~y), x + y
-~(x|y) + (x&~y) + ~(x^y) + y, x + y
-2*~(x|y) + ~(x|~y) + ~(x^y) + (x|~y), x + y
-~(x|y) - 2*~(x|~y) + ~(x&y) + 2*y, x + y
9484093949768681479*~y + 8962650123940870136*(x^y) + 8962650123940870137*(x|~y) + 9484093949768681481*(x|y), x + y
2*(x&~y) - (x^y) + 2*y, x + y
3*(x&~y) - 2*~y + ~(x^y) + ~(x&~y), x + y
611306709819847173*~(x|y) + 611306709819847174*(x^y) + 17835437363889704443*~(x&y) + 2*(x&y), x + y
-~x + ~(x&~y) + (x|y), x + y
-~(x&y) + (x|y) - 1, x + y
-(x&~y) - ~(x|~y) + 2*(x|y), x + y
-3*~y + ~x - 2*~(x^y) + 4*(x|~y), x + y
-2*~(x&y) - ~(x^y) - 3, x + y
-4*~y + 2*~(x&y) + 3*(x|~y) - ~(x&~y), x + y
11629603554519301242*~y + 11629603554519301243*(x&y) + 6817140519190250374*(x|~y) + (x|y), x + y
-(x&~y) + ~(x^y) - ~(x&~y) + 2*(x|y), x + y
-~(x|y) + 2*~y - ~(x&y) + 2*y, x + y
4718257209136060226*(x^y) + 4718257209136060227*(x&y) + 13728486864573491391*(x|y), x + y
12297829382473034410*~y + 12297829382473034411*(x^y) + 12297829382473034412*x + 6148914691236517206*~(x&~y), x + y
-2*~(x|y) - (x^y) - 2, x + y
-(x&~y) - 2*~x - (x|~y) - 3, x + y
8786020768974879318*(x^y) + 8786020768974879319*(x&y) + 9660723304734672299*(x|y), x + y
10946062813669398479*~(x|~y) + 10946062813669398480*x + y + 7500681260040153137*(x|y), x + y
-2*~(x|y) - (x&~y) + (x|~y) - 1, x + y
6616301255065939897*~x + (x^y) + 6616301255065939899*(x&y) + 11830442818643611719*~(x&~y), x + y
-2*~x + (x^y) + 2*~(x&~y), x + y
4935344454191302436*~y + 13511399619518249179*(x^y) + 13511399619518249180*(x|~y) + 4935344454191302438*(x|y), x + y
-~y - 2*~(x|~y) + ~x + 2*(x|y), x + y
-2*(x&~y) - 2*~x + 3*(x^y) + 2*~(x^y), x + y
~(x|y) - ~y + x + (x|y), x + y
-3*(x&~y) + ~(x&y) - ~(x^y) + 3*x, x + y
2*(x&~y) - 2*~y + (x^y) + 2*~(x^y), x + y
-~x - (x&y) + (x|~y) + 2*y, x + y
~(x|~y) - ~x + (x|~y) + y, x + y
17022114407061990498*(x^y) + 2*(x&y) + 17022114407061990497*~(x^y) + 17022114407061990497, x + y
2*(x&~y) - 2*~y + ~(x^y) - 1, x + y
-~(x|y) - 2*(x&~y) + ~(x&y) + 2*x, x + y
-3*~y - 3*~x + 4*~(x&y) + 2*~(x^y), x + y
(x&~y) + ~y - ~(x&y) + 2*y, x + y
-(x&~y) - ~(x^y) + 2*x + ~(x&~y), x + y
3473799312317236909*~(x&y) + 3473799312317236910*~(x^y) + 3473799312317236911*(x|y) + 6947598624634473819, x + y
-3*~(x|y) + ~y - ~(x|~y) + 2*~(x&~y), x + y
(x&~y) - ~y + ~(x^y) + (x|y), x + y
-~y + ~x + 2*x, x + y
-2*~(x|y) - (x&~y) + ~(x|~y) + 2*(x|~y), x + y
-2*~y - 4*~(x|~y) + 3*(x^y) + 2*~(x&~y), x + y
-~y + ~(x|~y) + x + (x|~y), x + y
2*~x - ~(x&y) + 3*x - (x|~y), x + y
~(x|~y) - ~x + (x&y) - 1, x + y
-3*~(x|y) + ~y + ~(x^y) + ~(x&~y), x + y
(x&y) - ~(x^y) + x + ~(x&~y), x + y
-2*~(x&y) - (x|~y) - ~(x&~y) - 4, x + y
-2*~y + ~(x&y) + x + (x|~y), x + y
9231431171693503465*(x&~y) + 9231431171693503467*~(x|~y) + 9215312902016048150*(x^y) + 2*x, x + y
-~(x|y) + 2*(x&~y) - ~(x&y) + 2*~(x&~y), x + y
-(x&~y) + ~x + 3*x - (x|~y), x + y
3*(x&~y) + ~(x|~y) - 2*~(x&y) + 2*~(x&~y), x + y
2*~(x|~y) + 2*(x&y) + (x|~y) - ~(x&~y), x + y
16905787820039493570*~(x|y) + 1540956253670058045*(x^y) + 1540956253670058046*~(x^y) + 16905787820039493572*(x|y), x + y
2*~x + (x^y) - 2*~(x&y) + 2*x, x + y
12297829382473034410*~(x&y) + 12297829382473034411*(x|~y) + 12297829382473034411*~(x&~y) + 12297829382473034412*(x|y), x + y
4240183472166317670*(x&~y) + 14206560601543233947*(x^y) + 14206560601543233948*(x&y) + 4240183472166317670*y, x + y
-~(x|~y) + ~(x^y) - (x|~y) + 2*(x|y), x + y
-2*~(x|~y) - (x|~y) + ~(x&~y) + 2*(x|y), x + y
-~y + 11861055363570721596*~x + 11861055363570721597*x + 11861055363570721595, x + y
3*~y - 2*~(x&y) - ~(x^y) + 3*y, x + y
-(x^y) + 2*x - 2*(x|~y) - 2, x + y
-~y + 2*~(x&y) + 3*(x&y) - ~(x&~y), x + y
~(x|y) + 2*~(x|~y) - ~(x&y) + 2*x, x + y
8350943378100949200*~(x|y) + 8350943378100949202*(x&y) + 10095800695608602415*~(x^y) - 1, x + y
-2*(x&~y) - ~(x^y) + 2*x - 1, x + y
~y - ~(x|~y) + 3*y - ~(x&~y), x + y
-~y - ~(x&y) - ~(x&~y) - 3, x + y
-~(x|y) - 2*~x + ~(x&y) + 2*~(x&~y), x + y
3859089464494433690*~(x|y) + ~(x^y) + 3859089464494433692*(x|y) + 3859089464494433691, x + y
-2*~(x|y) + (x^y) + 2*~(x^y), x + y
-2*~y - 2*~(x|~y) + 3*(x^y) + 2*~(x^y), x + y
16016067952334647941*~(x|y) + 16016067952334647942*x + 2430676121374903675*(x|~y) + y, x + y
11563132732756589179*(x&~y) + 6883611340952962436*(x^y) + 6883611340952962437*x + 11563132732756589181*(x|y), x + y
~(x|~y) + ~x - ~(x&y) + 2*x, x + y
-~(x|y) - ~(x&y) - 2, x + y
2254475387256970337*~(x|~y) + 2254475387256970338*x + y + 16192268686452581279*(x|y), x + y
-2*~y - (x^y) + 2*~(x&y) + 2*x, x + y
-(x^y) + 2*y - 2*~(x&~y) - 2, x + y
-~(x|y) + (x&~y) + (x&y) + ~(x&~y), x + y
-~(x|y) + 17245082366682071010*~(x&y) + 17245082366682071011*(x&y) + 17245082366682071009, x + y
~(x|y) - ~y + ~(x|~y) + 2*x, x + y
9617484850101427590*~(x|y) + ~(x&y) + 9617484850101427593*(x&y) + 8829259223608124025*~(x^y), x + y
2*~(x|~y) - ~x + (x&y) + (x|~y), x + y
15917041963510295370*~(x|~y) + (x^y) + 15917041963510295372*(x&y) + 2529702110199256246*y, x + y
~(x|~y) - ~x + ~(x&y) + 2*(x&y), x + y
3*~(x|~y) - ~x - ~(x&y) + 2*(x|~y), x + y
(x|~y) + 2*y - ~(x&~y), x + y
2*~(x|~y) - 2*~x - (x^y) - 2, x + y
(x&~y) - ~y - ~(x&y) - 2, x + y
13466924093258183794*(x^y) + 13466924093258183795*(x&y) + 4979819980451367823*(x|y), x + y
(x&~y) - ~(x&y) + ~(x&~y) + (x|y), x + y
16399979721209834808*~(x|~y) + 16399979721209834809*(x&y) + 2046764352499716808*y + (x|y), x + y
~y + ~(x^y) + 3*y - 2*~(x&~y), x + y
2*~(x|~y) - 2*~x + (x|~y) + ~(x&~y), x + y
12493949762657333909*~(x|y) + ~(x&y) + 12493949762657333912*(x&y) + 5952794311052217706*~(x^y), x + y
~y - 2*~(x|~y) - ~(x^y) + 3*y, x + y
2*~y + (x^y) - 2*~(x&y) + 2*y, x + y
2*(x&~y) - 2*~x - (x|~y) + 3*~(x&~y), x + y
~(x^y) + 2*y - 2*~(x&~y) - 1, x + y
12800509642402955590*~(x|~y) + 12800509642402955590*(x&y) + x + 5646234431306596027*y, x + y
-~(x|y) - (x&~y) - ~x - 2, x + y
-~(x|~y) + 2*y - ~(x&~y) - 1, x + y
-~(x|~y) + y + (x|y), x + y
-~y - ~(x|~y) + (x|y) - 1, x + y
~(x|~y) - 3*~x + ~(x&y) + 2*~(x&~y), x + y
3*~(x|~y) - 2*~(x&y) - ~(x^y) + 3*(x|~y), x + y
~(x&y) + 2*(x&y) + y - ~(x&~y), x + y
-~(x|y) + ~(x|~y) + ~(x^y) + x, x + y
-~x + ~(x^y) - x + 2*(x|y), x + y
-~(x|y) + (x&~y) + ~x + 2*(x&y), x + y
11890716392152325279*(x^y) + 11890716392152325280*(x&y) + 6556027681557226338*(x|y), x + y
10825180364985406806*~y + 10825180364985406807*(x&y) + 7621563708724144810*(x|~y) + (x|y), x + y
-(x&~y) + ~y - ~(x&y) + 2*(x|y), x + y
-2*~y + 2*~(x|~y) + 3*(x|~y) - ~(x&~y), x + y
13223535032740576385*(x&~y) + 5223209040968975230*(x^y) + 5223209040968975231*x + 13223535032740576387*(x|y), x + y
-4*~(x|y) + 2*~x - (x^y) + 2*(x|~y), x + y
~(x|~y) - ~x + x + ~(x&~y), x + y
-(x&~y) + 3*~(x|~y) - 2*~x + 2*(x|~y), x + y
17920888855936283842*~(x&y) + 17395033638163016069*(x&y) + 525855217773267774*~(x^y) + 525855217773267775*(x|y), x + y
-~(x|y) + 2*~x - ~(x&y) + 2*x, x + y
(x&~y) - ~y + ~(x&y) + 2*(x&y), x + y
-(x^y) - 2*~(x^y) + 2*(x|~y) + 2*y, x + y
-3*~(x|~y) + ~(x&y) - ~(x^y) + 3*y, x + y
-2*~x + 3*(x^y) + 4*~(x^y) - 2*(x|~y), x + y
~y + 4*~(x|~y) - 3*~x + 2*~(x^y), x + y
1886369211880027370*(x^y) + 16560374861829524245*~(x&y) + 16560374861829524247*(x|y) + 16560374861829524245, x + y
16887532977749551632*(x&~y) + 779605547979999992*(x^y) + 779605547979999993*x + 17667138525729551625*y, x + y
4344691277176771466*~(x|y) + x + 4344691277176771467*y + 14102052796532780150*~(x&~y), x + y
2*(x&~y) + 2*(x&y) - (x|~y) + ~(x&~y), x + y
~(x|y) - 2*~y + ~(x&y) + 2*x, x + y
-2*~(x|y) - ~(x|~y) + ~(x&~y) - 1, x + y
13696748599773396276*(x^y) + 13696748599773396277*(x&y) + 4749995473936155341*(x|y), x + y
5117984824252877689*~(x|y) + 5117984824252877692*(x^y) + 13328759249456673925*~(x&y) + 2*~(x^y), x + y
2*(x&~y) + (x^y) - 2*~(x&y) + 2*~(x&~y), x + y
8375914087531624624*~(x&y) + 16751828175063249249*(x&y) + 10070829986177926992*~(x^y) + 10070829986177926993*(x|y), x + y
5763317252694761904*(x&~y) + 12683426821014789712*~(x|~y) + 12683426821014789713*x + 5763317252694761905*y, x + y
-2*(x&~y) + ~(x&y) + 3*x - (x|~y), x + y
837584764536201585*~(x|y) + 837584764536201586*(x^y) + 837584764536201587*(x&y) + 837584764536201585, x + y
17818606561946119395*(x&~y) + 17818606561946119396*(x&y) + 628137511763432221*x + (x|y), x + y
-~(x|y) + ~y - ~(x|~y) + 2*y, x + y
-2*~x - (x^y) + 2*~(x&y) + 2*y, x + y
(x&y) - ~(x^y) + (x|~y) + y, x + y
(x&~y) + ~x + 3*(x&y) - ~(x^y), x + y
35411707865729075*~x + (x^y) + 35411707865729077*(x&y) + 18411332365843822541*~(x&~y), x + y
7003279019284736161*~x + 7003279019284736162*(x&y) + 11443465054424815455*~(x&~y) + (x|y), x + y
11511220663141726054*~(x|~y) + 11511220663141726054*(x&y) + x + 6935523410567825563*y, x + y
-2*~(x|y) + 2*(x&~y) - (x^y) + 2*~(x&~y), x + y
2*(x&~y) + ~x + 3*(x&y) - (x|~y), x + y
(x&~y) + ~(x|~y) - 2*~x + 2*~(x&~y), x + y
-3*~(x|y) + ~x + ~(x^y) + (x|~y), x + y
-~y + 2*~(x|~y) - ~x + 2*(x|~y), x + y
-~y + ~(x^y) - y + 2*(x|y), x + y
10087251590893164945*(x&~y) + 8359492482816386671*~(x|~y) + 8359492482816386672*x + 10087251590893164946*y, x + y
11789989541086730936*~(x|y) + 11789989541086730937*(x^y) + 6656754532622820678*~(x&y) - 2, x + y
4718879806511516521*~(x&y) + 4718879806511516522*~(x^y) + 4718879806511516523*(x|y) + 9437759613023033043, x + y
2*~(x|~y) - ~(x&y) + x + (x|~y), x + y
-2*~(x|y) + ~x + ~(x^y) + x, x + y
(x&~y) + 3*~(x|~y) - 2*~x + 2*~(x^y), x + y
12594064645337890821*(x^y) + 6741385216966230026*(x&y) + 5852679428371660796*x + 5852679428371660796*y, x + y
~(x|~y) - 2*~x + ~(x&~y) - 1, x + y
(x&~y) - ~x + y + ~(x&~y), x + y
1694339172544357251*~(x|y) + 8376202450582597182*~(x&y) + 8376202450582597183*~(x^y) + 10070541623126954435*(x|y), x + y
~(x|~y) - ~(x&y) + x - 1, x + y
~(x&y) + 2*~(x^y) + 3*x - 3*(x|~y), x + y
(x&~y) - 2*~y + (x|~y) - 1, x + y
2*~(x|y) - 2*~y + (x^y) + 2*x, x + y
17295534680639470298*~(x|y) + x + 17295534680639470299*y + 1151209393070081318*~(x&~y), x + y
(x^y) + 2*~(x^y) + 2*x - 2*(x|~y), x + y
-(x&~y) + 16343999769561925040*~(x|~y) + 16343999769561925041*x + 2102744304147626577*(x|y), x + y
-2*~(x|~y) + 3*(x^y) - 2*~(x&y) + 2*~(x&~y), x + y
8728719071906575297*~(x|y) + 8728719071906575300*(x^y) + 9718025001802976317*~(x&y) + 2*~(x^y), x + y
15881182185261710755*(x&~y) + 15881182185261710755*~(x|~y) + 15881182185261710756*(x&y) + 2565561888447840862*(x|y), x + y
~(x|~y) - ~(x&y) + (x|~y) + (x|y), x + y
2*~(x^y) - (x|~y) - ~(x&~y) + 2*(x|y), x + y
5188420142192325728*(x^y) + 13258323931517225889*~(x&y) + 13258323931517225891*(x&y) + 5188420142192325727*~(x^y), x + y
-2*(x&~y) + ~y - ~x + 2*(x|y), x + y
574400945710594517*~(x|y) + 574400945710594518*(x^y) + 17872343127998957099*~(x&y) + 2*(x&y), x + y
-3*~(x|y) + ~y + ~(x|~y) + 2*~(x^y), x + y
-~(x|~y) + ~(x&~y) + 2*(x|y) + 1, x + y
~(x|y) - (x&~y) - ~x + 2*(x|y), x + y
3848900920615148816*~(x|~y) + 14597843153094402801*(x^y) + 14597843153094402802*(x&y) + 3848900920615148816*x, x + y
-(x&~y) - ~y + ~(x&y) + 2*x, x + y
-2*~(x|y) + ~y - ~x + 2*~(x&~y), x + y
13425893120284481259*(x&y) + 5020850953425070358*~(x^y) + 5020850953425070359*(x|y) + 5020850953425070358, x + y
9481966913406729021*(x^y) + 9481966913406729022*~(x^y) + 2*(x|y) + 9481966913406729022, x + y
-~y + ~(x&y) + (x&y) + x, x + y
~(x|y) - ~y - ~(x|~y) + 2*(x|y), x + y
11237408510857564760*(x&~y) + 7209335562851986856*~(x|~y) + 7209335562851986857*x + 11237408510857564761*y, x + y
14442668829217088081*(x&~y) + 14442668829217088079*~(x|~y) + 4004075244492463536*(x^y) + 2*y, x + y
(x&~y) + 15804650833525537532*~(x|~y) + 15804650833525537533*(x&y) + 2642093240184014085*y, x + y
2*(x&~y) - ~y + ~x + 2*(x&y), x + y
~(x^y) + x - (x|~y) + (x|y), x + y
-(x&~y) + 4923571505672371946*~(x|~y) + 4923571505672371947*x + 13523172568037179671*(x|y), x + y
(x&~y) - ~y + x + ~(x&~y), x + y
-~(x|y) + ~y + (x&y) + y, x + y
4588706524672597607*(x^y) + 4588706524672597608*(x&y) + 13858037549036954010*(x|y), x + y
-~(x^y) + 2*(x|~y) + 2*y + 1, x + y
~y + (x&y) + 2*y - ~(x&~y), x + y
-2*~x - (x|~y) + ~(x&~y) - 2, x + y
12371870250736834666*(x^y) + 12371870250736834667*(x&y) + 6074873822972716951*(x|y), x + y
2*~(x|~y) + ~(x^y) + 2*x + 1, x + y
-~(x&y) - x + (x|~y) + 2*(x|y), x + y
-~x + 2*~(x&y) + 3*(x&y) - (x|~y), x + y
4078173053162098796*~(x|y) + 4078173053162098797*(x^y) + 14368571020547452818*~(x&y) - 2, x + y
-~x + ~(x&y) + (x&y) + y, x + y
(x&y) + x - (x|~y) - 1, x + y
5661865672512435540*(x&~y) + 5661865672512435538*~(x|~y) + 12784878401197116077*(x^y) + 2*y, x + y
7648443267935167323*~y + x + 7648443267935167324*y + 7648443267935167323, x + y
3620517041131349234*~(x|y) - ~(x&y) + 3620517041131349235*(x|y) + 3620517041131349233, x + y
(x&~y) + ~(x^y) + 2*y - ~(x&~y), x + y
-4*~x + 2*~(x&y) - (x|~y) + 3*~(x&~y), x + y
(x&~y) - ~(x&y) + y - 1, x + y
-~(x|~y) - ~(x^y) + (x|~y) + 2*y, x + y
-2*~(x|y) + (x&~y) - ~(x|~y) + 2*~(x&~y), x + y
~y + ~(x|~y) + 3*(x&y) - ~(x^y), x + y
14961279530220193015*(x&~y) - (x^y) + 14961279530220193015*y + 3485464543489358603*(x|y), x + y
5053421716297364995*~(x|y) + (x&y) + 5053421716297364996*(x|y) + 5053421716297364995, x + y
4103137418369289341*~(x|~y) + 4103137418369289341*(x&y) + x + 14343606655340262276*y, x + y
4893064221960210028*(x^y) + 4893064221960210029*(x&y) + 13553679851749341589*(x|y), x + y
-(x^y) - 2*~(x^y) + 2*x + 2*~(x&~y), x + y
2*~(x|~y) - 2*~x + (x^y) + 2*~(x^y), x + y
-2*~y + 3*(x^y) + 4*~(x^y) - 2*~(x&~y), x + y
2272571224110207063*~(x|~y) + 16174172849599344552*(x^y) + 16174172849599344553*y + 2272571224110207065*(x|y), x + y
13965923978140650150*~(x|y) - ~(x&y) + 13965923978140650151*(x|y) + 13965923978140650149, x + y
(x&y) + y - ~(x&~y) - 1, x + y
8359483975720234526*~(x|y) + 8359483975720234527*(x^y) + 10087260097989317090*~(x&y) + 2*(x&y), x + y
~x + ~(x^y) + 3*x - 2*(x|~y), x + y
-~(x|y) - ~y + (x|~y) - 1, x + y
-~x + (x&y) - (x|~y) - 2, x + y
14966866671177299822*~(x|y) + (x&y) + 14966866671177299823*(x|y) + 14966866671177299822, x + y
2*(x&~y) - ~y - ~x + 2*~(x&~y), x + y
6171090519196898164*~(x|~y) + 6171090519196898165*(x&y) + 12275653554512653452*y + (x|y), x + y
3*~(x|~y) - 2*~x + ~(x^y) + (x|~y), x + y
17296068400649312127*~(x|y) + 9798709873384895552*~(x&y) + 9798709873384895553*~(x^y) + 8648034200324656065*(x|y), x + y
17129956817413027189*~(x|y) + 17129956817413027190*x + 1316787256296524427*(x|~y) + y, x + y
(x^y) + 2*~(x^y) + 2*y - 2*~(x&~y), x + y
-2*~(x|y) + ~x + (x&y) + (x|~y), x + y
3*(x&~y) - ~y - ~(x&y) + 2*~(x&~y), x + y
(x|~y) + y + (x|y) + 1, x + y
903190910228704293*~(x&y) + 903190910228704294*~(x^y) + 903190910228704295*(x|y) + 1806381820457408587, x + y
~(x|~y) + 2*(x&y) - ~(x^y) + (x|~y), x + y
x + ~(x&~y) + (x|y) + 1, x + y
-(x&~y) + 2*x - (x|~y) - 1, x + y
525633884903954333*~(x|y) + (x|~y) + 525633884903954335*y + 17921110188805597282*~(x&~y), x + y
~y + 3*(x&y) - 2*~(x^y) + ~(x&~y), x + y
~(x|~y) + ~(x^y) + 2*x - (x|~y), x + y
-~(x|y) + (x&~y) - ~x + 2*~(x&~y), x + y
-~y + (x&y) - ~(x&~y) - 2, x + y
1558178470105874612*~(x&y) + 3116356940211749225*(x&y) + 16888565603603677004*~(x^y) + 16888565603603677005*(x|y), x + y
7942810937543778226*~(x|~y) + 14475338604937662503*(x^y) + 3971405468771889114*x + 14475338604937662504*y, x + y
-~(x|y) + ~y + ~(x|~y) + 2*(x&y), x + y
-2*~(x|y) + 12781369236312497799*(x^y) + 12781369236312497800*~(x^y) + 12781369236312497798, x + y
2*~x - (x^y) + 4*x - 2*(x|~y), x + y
18015437041294899339*~(x|y) + 431307032414652277*~(x&y) + 431307032414652278*(x&y) + 18015437041294899340*(x|y), x + y
-~(x|y) - (x&~y) + x - 1, x + y
6846287961904870849*~(x|y) + (x|~y) + 6846287961904870851*y + 11600456111804680766*~(x&~y), x + y
-~(x|y) - ~y - ~(x|~y) - 2, x + y
6462292339828603544*~(x|y) + 6462292339828603547*(x^y) + 11984451733880948070*~(x&y) + 2*~(x^y), x + y
13945172252276859950*~(x|y) + 4501571821432691665*(x^y) + 4501571821432691666*~(x^y) + 13945172252276859952*(x|y), x + y
-3*~(x|y) - (x&~y) + ~x + 2*(x|~y), x + y
-2*~(x|~y) + ~(x&y) + 3*y - ~(x&~y), x + y
(x^y) + 2*x + 2*~(x&~y) + 2, x + y
4*~(x|~y) - 2*~x - (x^y) + 2*(x|~y), x + y
-(x&~y) + 15386911927200177783*~(x|~y) + 15386911927200177784*x + 3059832146509373834*(x|y), x + y
16689570938124859134*~(x|y) + 16689570938124859135*(x^y) + 1757173135584692482*~(x&y) + 2*(x&y), x + y
5556978856779226908*~(x|~y) + 5556978856779226908*(x&y) + x + 12889765216930324709*y, x + y
9845854992640122490*~(x|y) + 9845854992640122491*(x^y) + 8600889081069429124*~(x&y) - 2, x + y
-2*(x&~y) - 2*~x - ~(x^y) - 3, x + y
~y + ~x - 2*~(x&y) + 2*(x|y), x + y
2*(x&~y) - ~y + (x&y) + ~(x&~y), x + y
(x&~y) + 3*~(x|~y) - 2*~(x&y) + 2*(x|~y), x + y
-~(x|y) + ~x + (x&y) + x, x + y
16596548163088953359*(x&y) + 1850195910620598258*x + 1850195910620598258*y + 16596548163088953359*(x|y), x + y
(x&~y) - 2*~y + ~(x|~y) + 2*(x|~y), x + y
2*(x&~y) + ~(x^y) + 2*y + 1, x + y
10005698961153306989*~(x|y) + ~(x^y) + 10005698961153306991*(x|y) + 10005698961153306990, x + y
-4*~(x|y) + ~y + ~x + 2*~(x^y), x + y
-~y + 12793642896946288031*~x + 12793642896946288032*x + 12793642896946288030, x + y
18267898043777707708*~(x&y) + 18089052013845863801*(x&y) + 178846029931843908*~(x^y) + 178846029931843909*(x|y), x + y
4*(x&~y) - 2*~(x&y) - (x|~y) + 3*~(x&~y), x + y
10464185128020702985*~(x|y) + 7982558945688848630*(x^y) + 7982558945688848631*~(x^y) + 10464185128020702987*(x|y), x + y
-2*~(x|y) + 2*~y - (x^y) + 2*y, x + y
7671998218547391457*~x + 7671998218547391458*(x&y) + 10774745855162160159*~(x&~y) + (x|y), x + y
11840074282655140438*(x&~y) + 6606669791054411178*~(x|~y) + 6606669791054411179*x + 11840074282655140439*y, x + y
4115048939472886911*~(x|y) + 4115048939472886912*(x^y) + 14331695134236664703*~(x&y) - 2, x + y
-3*~y - ~x + 2*~(x&y) + 2*(x|~y), x + y
14684896859061158548*(x^y) + 14684896859061158549*(x&y) + 3761847214648393069*(x|y), x + y
(x|~y) + ~(x&~y) + 2*(x|y) + 2, x + y
