# x + y
13664254869414482676*((~(x^y)&~t)|(~(x|(y|z))&t)) + 6832127434707241344*((~(y^z)&~t)|((~z&(x^y))&t)) + 15713893099826655077*(((z^~(x|(y&z)))&~t)|(~(~x|(~y|z))&t)) + 10248191152060862011*((~(x^(y&z))&~t)|(((x^y)&~(x^z))&t)) + 3416063717353620669*(((z&(x|y))&~t)|((y^(x|z))&t)) + 10248191152060862013*(((z^~(x|(~y&z)))&~t)|((y^(~x|(~y|z)))&t)) + 1366425486941448269*((~(x&(y&z))&~t)|((x^z)&t)) + 4099276460824344790*(((z&~(x&~y))&~t)|((y^(x&z))&t)) + 6148914691236517211*(((y^(x&(y|z)))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 12297829382473034411*(((y^~(x&~z))&~t)|((x&(y&z))&t)) + 15030680356355930937*((~(x^(~y&z))&~t)|(((x|~y)&~(y^z))&t)) + 17763531330238827490*((((y&z)|(x&(y|z)))&~t)|(((x&z)|(y&~z))&t)) + 15030680356355930947*(((~x|(y&z))&~t)|(((y&~z)^(x|(y^z)))&t)) + 6832127434707241334*((~(~x&(y|z))&~t)|((z^~(x|(~y&z)))&t)) + 3416063717353620677*((((x&y)^(x^(~y|z)))&~t)|((~(x&~y)&~(y^z))&t)) + 3416063717353620670*(((x|z)&~t)|(((x|y)&~(y^z))&t)), x + y
2*((((x|y)&(y^z))&~t)|((x&~z)&t)) - 4*(((z^~(~x&(~y|z)))&~t)|(~(x|y)&t)) - 5*(((z^(x&~y))&~t)|(((x^y)&~(x^z))&t)) + 3*(((~x&(~y&z))&~t)|(~(y|~z)&t)) - 4*((~(~x|(y|z))&~t)|((y^(~x|(~y|z)))&t)) + 8*(((z^(x|(~y|z)))&~t)|(~(x&(y|z))&t)) - (((~(x^y)&(x^z))&~t)|(((x&z)^(y|z))&t)) - ((~(x&(y&z))&~t)|((y^(x|~z))&t)) + (((y^(x|(~y|z)))&~t)|((~(x^y)&~(x^z))&t)) - 4*((~(x^(y|z))&~t)|((z^~(x&(y&z)))&t)) + 3*(((z^~(x&~y))&~t)|((x&(~y|z))&t)) + 9*(((y|(x^z))&~t)|(~(~x&(y|z))&t)) - 7*((((x&y)^~(x^(y&z)))&~t)|((y^~(x&(y&z)))&t)) + 5*((((x&y)^(x^(~y|z)))&~t)|((z^~(x|(~y&z)))&t)) - 3*((((x&y)|~(y^z))&~t)|(~(y^z)&t)) - 2*((~(x|z)&~t)|((y^~(~x|(y&z)))&t)), x + y
3689348814741910328*(((y^~(~x|(y^z)))&~t)|(~(x|(y|z))&t)) + 14757395258967641301*(((x&y)&~t)|(~(x|(y|z))&t)) + 11068046444225730962*(((~(x|y)|(x^(y^z)))&~t)|(~(x|y)&t)) - 8*((((x&y)|~(y|z))&~t)|((~y&(x^z))&t)) + 3689348814741910326*(((y^~(x&z))&~t)|(~(x|(y&z))&t)) + 11068046444225730964*(((z&~(x^y))&~t)|((~(x|y)|(y^z))&t)) + 7378697629483820655*((~(x|z)&~t)|(((x&~y)|(y^z))&t)) + 5*(((y&(x^z))&~t)|(((x&z)^(y|z))&t)) + 14757395258967641295*((~(x&(y^z))&~t)|((y^(x&z))&t)) + 14757395258967641297*(((y^~(x&z))&~t)|((y^~(~x&(y&z)))&t)) + 3689348814741910317*(((~(x&y)&~(y^z))&~t)|((~(x|~y)|(y^z))&t)) + 14757395258967641288*(((~x|(y^z))&~t)|((z^~(x&y))&t)) + 10*(((y^~(x&(y&z)))&~t)|((z&~(x^y))&t)) + (((y^~(x&(y^z)))&~t)|((x^(y^z))&t)) - 2*(((x&(y|z))&~t)|(~(x&~y)&t)) + 3689348814741910321*((~(~x&(y&z))&~t)|(z&t)), x + y
12297829382473034406*((((x&y)^(x^(y&z)))&~t)|((x&(~y&z))&t)) + 6148914691236517239*(((z^(~x|(~y&z)))&~t)|((y^~(x&~z))&t)) - 14*(((y^(~x|(y^z)))&~t)|((~x&(y&z))&t)) + 10*(((y^~(~x|(~y&z)))&~t)|((z^(x&(~y|z)))&t)) + 6148914691236517246*(((y^(x|(y|z)))&~t)|(~(x&(~y|z))&t)) + 12297829382473034403*(((x&(y^z))&~t)|((x^y)&t)) + 12297829382473034370*((((x&z)^(y|z))&~t)|((~y|(x^z))&t)) + 12297829382473034395*((~(x&(~y&z))&~t)|((y&~(x^z))&t)) + 6148914691236517254*((~(x&(~y|z))&~t)|((x&(~y|z))&t)) + 6148914691236517171*((~(x^(y&z))&~t)|((z&(x|~y))&t)) + 4*(((y&(x|z))&~t)|(((x&~y)|(x^(y^z)))&t)) + 6148914691236517192*(((y^(x|(y&z)))&~t)|((x|(~y&z))&t)) + 6148914691236517223*(((y^(x&~z))&~t)|((y&z)&t)) + 12297829382473034424*(((y&~z)&~t)|((y&~(x&~z))&t)) + 12297829382473034377*((((x&y)^(y|~z))&~t)|((y|~(x|z))&t)) + 12297829382473034426*(((~x|(y&z))&~t)|(((y&z)|(x&(y|z)))&t)), x + y
993960853416996442*(((~(x|y)|~(y^z))&~t)|((z^(x|(y|z)))&t)) + 15698734655439032041*((((x^y)|(x^z))&~t)|((y^~(x&(y^z)))&t)) + 7542408828870149471*(((z^(~x|(y&z)))&~t)|((~x&(~y|z))&t)) + 12132169240236868337*(((y^(~x|(y&z)))&~t)|((~(x|y)|(x^(y^z)))&t)) + 3858906842677750892*(((y^~(~x&(y&z)))&~t)|((y^~(x&(y|z)))&t)) + 11372081528800341647*(((~x|(y|z))&~t)|((y^~(x&(y|z)))&t)) + 1140131567154790036*((((x&y)|~(y|~z))&~t)|(((x&z)|~(y|z))&t)) + 7367003972384797159*(((~x&(y|z))&~t)|(~(x^(~y|z))&t)) + 18242105074476640583*(((y&~z)&~t)|((y^(~x|(y^z)))&t)) + 2251028991562021355*(((x|~z)&~t)|((y^~(x&(y&z)))&t)) + 6519213832705594311*(((~(x&~y)&~(y^z))&~t)|((x|~y)&t)) + 11313613243305224209*(((z^~(~x&(y&z)))&~t)|(((x|y)&~(y^z))&t)) + 16663461366108469764*(((x|(~y|z))&~t)|((y^~(x|(y&z)))&t)) + 3420394701464370110*(((z^(x|(y&z)))&~t)|(((y&z)|(x&(y|z)))&t)) + 1140131567154790036*(((y^~(x&z))&~t)|((z|(x^y))&t)) + 15260222514225651259*(((x&z)&~t)|((~x|(y|z))&t)), x + y
10469773663456772525*(((z|(x&y))&~t)|(((y&z)^~(~x&(y^z)))&t)) + 4487045855767188234*((((x&~y)|(y^z))&~t)|(((x&z)^~(x^(y&z)))&t)) + 17948183423068752938*((~(x&(y&z))&~t)|((~(x&y)&~(y^z))&t)) + 11466894964738369910*(((z^(x|~y))&~t)|(~(x|~y)&t)) + 7976970410252779060*(((~x&(~y&z))&~t)|(~(x&(y|z))&t)) + 14458258868583162077*(((z^~(x&(y&z)))&~t)|((x^(~y|z))&t)) + 7478409759611980400*((((x&z)^(x^(y&z)))&~t)|((y^~(~x&(y|z)))&t)) + 12464016266019967299*((~(~x|(y&z))&~t)|((x&(y&z))&t)) + 9971213012815973855*(((y^~(x|z))&~t)|((x&(y&z))&t)) + 12962576916660765993*(((z^~(x|(y&z)))&~t)|((y&z)&t)) + 5484167157048785629*((~(y|~z)&~t)|((y|~(x|~z))&t)) + 997121301281597380*(((y^(x&(~y|z)))&~t)|((z&(x|y))&t)) + 8974091711534376462*((((y&z)^~(x&(y^z)))&~t)|(((x&~y)|~(y^z))&t)) + 13959698217942363381*(((z^(~x|(~y|z)))&~t)|((z|~(x|y))&t)) + 2492803253203993464*((~(x^(y^z))&~t)|((z|(x&~y))&t)) + 6481288458330383003*(((x&(~y&z))&~t)|((z|~(x^y))&t)), x + y
13492475665341843467*(((z&~(x&y))&~t)|(~(x|y)&t)) + 12754605902393461404*(((x|(~y&z))&~t)|((~(x&y)&(x^(y^z)))&t)) + 1791969424303213585*(((z^(x&(y|z)))&~t)|((y^~(x&(y^z)))&t)) + 9065257087651551082*((~(~x|(~y&z))&~t)|(((x^y)&~(x^z))&t)) + 13281655733070877163*(((x|y)&~t)|(~(x|~y)&t)) + 6008368069722539668*((~(~x|(y^z))&~t)|(((x|y)&~(x^(y^z)))&t)) + 1475739525896764130*(((~x&(y|z))&~t)|((z^~(~x|(~y&z)))&t)) + 7378697629483820647*(((y^(x|(y^z)))&~t)|((z^~(x&y))&t)) + 10962636478090247817*(((~(x^y)|~(x^z))&~t)|((z^~(x&(y&z)))&t)) + 632459796812898913*((((x&y)|~(y|~z))&~t)|((~(x|y)|(x^(y^z)))&t)) + 18341334107574068464*(((z&(x^y))&~t)|((y^(~x&(y|z)))&t)) + 10540996613548315210*(((y&(x|z))&~t)|((z^~(x&(y|z)))&t)) + 632459796812898914*((~(x^(~y&z))&~t)|(x&t)) + 9170667053787034229*((~(x&(y^z))&~t)|((~y|~(x^z))&t)) + 14757395258967641292*(((~y|(x^z))&~t)|((y^(~x&(y^z)))&t)) + 1370329559761280980*((~(x&(y^z))&~t)|((y^~(x|(y&z)))&t)), x + y
7648649981782009208*(((~(x^y)|(x^z))&~t)|((x&~y)&t)) + 11847908795309386808*(((~x|(~y&z))&~t)|((x&(y^z))&t)) + 6898782336509263207*(((y^(x&(y|z)))&~t)|(~y&t)) + 16797035254109510414*(((~y&(x^z))&~t)|((~(x&y)&(y^z))&t)) + 6448861749345615604*((~(x^y)&~t)|(((x&z)^~(x^(y&z)))&t)) + 15297299963564018410*(((z^(~x|(y|z)))&~t)|((~(x&y)&~(y^z))&t)) + 16947008783164059616*(((y^~(x&(y&z)))&~t)|((~x|(y^z))&t)) + 10948067620982091611*((~(~x&(y&z))&~t)|(((x^y)|(x^z))&t)) + 17096982312218608817*(((~(x&~y)&(y^z))&~t)|((~(x^y)&~(x^z))&t)) + 9148385272327501207*(((~x|(~y|z))&~t)|(~(~x|(y^z))&t)) + 15597247021673116815*(((z^~(~x&(y&z)))&~t)|(~(x^y)&t)) + 9298358801382050407*(((x&~y)&~t)|((z&(x|~y))&t)) + 10498147033818444008*(((y|(x&~z))&~t)|((~y|~(x^z))&t)) + 13797564673018526411*(((x|z)&~t)|(((y&z)|(~x&(y|z)))&t)) + 3449391168254631603*(((~(x&~y)&~(y^z))&~t)|((~x|(y&z))&t)) + 13347644085854878814*(((y|~(x^z))&~t)|((y^~(~x|(y&z)))&t)), x + y
8658675789700401780*((((y&~z)|~(x|(~y&z)))&~t)|(~(~x|(~y|z))&t)) + 11670389107857063266*((((x&~y)|~(y^z))&~t)|((y^~(x&(~y&z)))&t)) + 2258784988617496119*(((x&(y|z))&~t)|((y^~(~x&(y^z)))&t)) + ((((y&~z)^(x|(y^z)))&~t)|((y^(x|z))&t)) + 8282211624930819094*((~(x&(~y&z))&~t)|((y^~(x&~z))&t)) + 1882320823847913426*(((z^(~x&(~y|z)))&~t)|((y^z)&t)) + 4894034142004574920*(((~x&(~y&z))&~t)|((z^(x&(~y|z)))&t)) + 4517569977234992230*(((y^z)&~t)|(((x&~y)|~(x^(y^z)))&t)) + 15435030755552890127*(((~x&(y|z))&~t)|((y^(x|(~y&z)))&t)) + 13176245766935394012*(((y^(x|~z))&~t)|((z^(x&y))&t)) + 12423317437396228636*(((y|(x^z))&~t)|((z&~(x^y))&t)) + 14682102426013724758*((((x&z)|(y&~z))&~t)|((y^(~x&(y|z)))&t)) + 10917460778317897896*(((~(x|~y)|(x^(y^z)))&~t)|((x|(~y&z))&t)) + 5646962471543740290*(((~(x&y)&(x^(y^z)))&~t)|((~x|(~y|z))&t)) + 7152819130622071037*(((~x|(~y|z))&~t)|((y|z)&t)) + 4517569977234992233*~(x&(~y&(z^t))), x + y
6447405695665474354*((((x&z)^(y|z))&~t)|(~(~x|(~y|z))&t)) + 13432095199303071566*((((x&z)|~(y|z))&~t)|((~y&~(x^z))&t)) + 7701067914267094364*(((y^~(x&(~y&z)))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 13969379007275194427*(((z^~(x|~y))&~t)|((y^z)&t)) + 18088554868394803040*(((z&~(x^y))&~t)|((~x&(y|z))&t)) + 716378410629497150*(((y^(~x|(y|z)))&~t)|((y^~(~x&(y|z)))&t)) + 7880162516924468651*((~(x&(~y&z))&~t)|(~(x^(y&z))&t)) + 4835554271749105765*((((x&y)^(x^(y&z)))&~t)|((~(x|y)|(x^(y^z)))&t)) + 9133824735526088662*((z&~t)|((y^(~x&(y|z)))&t)) + 11641149172729328692*(((x&(y&z))&~t)|((z&(x|~y))&t)) + 3760986655804860037*((((x&y)^(y|~z))&~t)|((y^~(x&(y&z)))&t)) + 716378410629497151*((~(x&(y|z))&~t)|(y&t)) + 12894811391330948702*(((y^~(x&(y&z)))&~t)|((y|~z)&t)) + 8238351722239217227*(((z^(~x&(~y|z)))&~t)|((y^(~x&(y^z)))&t)) + 10566581556785082966*(((z&(x|~y))&~t)|((y|(x^z))&t)) + 4119175861119608613*(((z^~(~x&(~y|z)))&~t)|(~(x&~x)&t)), x + y
14757395258967641292*(((y^~(x&(~y&z)))&~t)|((x&~x)&t)) + 13281655733070877165*(((z^~(x&(~y&z)))&~t)|((y^~(~x|(~y&z)))&t)) + 16233134784864405423*(((y&(x^z))&~t)|((x^(~y|z))&t)) + 9592306918328966843*(((y^(~x|(~y&z)))&~t)|((y^(x&z))&t)) + 5165088340638674452*(((y&~(x&z))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 16971004547812787487*(((z^(x|(y&z)))&~t)|((~x|(y^z))&t)) + 17708874310761169549*(((z^(~x&(~y|z)))&~t)|(((x^y)|(x^z))&t)) + 14757395258967641292*(((y^~(~x&(~y|z)))&~t)|(~(x&(y&z))&t)) + 16233134784864405421*((~(y&z)&~t)|((z^~(x&y))&t)) + 10330176681277348907*(((~x&(y&z))&~t)|((z^~(x&y))&t)) + 11068046444225730970*(((y&z)&~t)|(~(x^z)&t)) + 737869762948382066*(((~(x|y)|~(y^z))&~t)|(((x&y)|(y^z))&t)) + 737869762948382064*((~(x&~z)&~t)|((~x|(y&z))&t)) + 15495265021916023358*(((z^~(~x|(y&z)))&~t)|(((y&z)|(x&(y|z)))&t)) + 17708874310761169549*(((x^(~y|z))&~t)|((y|~(x^z))&t)) + 1475739525896764131*(((z^(~x|(y&z)))&~t)|((x|(~y|z))&t)), x + y
15919792830735640433*(((x^(~y|z))&~t)|(~(x|(~y|z))&t)) + 12887451339166947018*((~z&~t)|(~(x|(y&z))&t)) + 3790426864460866768*((((x|y)&(y^z))&~t)|((y^~(~x&(~y&z)))&t)) + 252695124297391119*(((z^~(x|(~y&z)))&~t)|(((x^y)&~(x^z))&t)) + 2526951242973911183*((((x&z)^~(x^(y&z)))&~t)|(~(~x|(y&z))&t)) + 12382061090572164787*(((z^~(~x&(~y&z)))&~t)|(~x&t)) + 13392841587761729252*((((x&z)|~(y|z))&~t)|(~(x^(y^z))&t)) + 11623975717679991431*(((x&(~y&z))&~t)|((y^(x&(~y|z)))&t)) + 8591634226111298019*(((z^(x|(~y&z)))&~t)|(~(x&y)&t)) + 7580853728921733534*((((y&~z)^(~x|(y^z)))&~t)|(~(x&y)&t)) + 7328158604624342424*(((~(x&y)&(y^z))&~t)|(((x|y)&(x^(y^z)))&t)) + 13898231836356511494*(((~x|(y|z))&~t)|((x&y)&t)) + 505390248594782230*(((z^(x|y))&~t)|(((x&y)|(x^(y^z)))&t)) + 7580853728921733543*(((z|~(x|y))&~t)|((~z|~(x^y))&t)) + 5811987858839995717*(((y^(~x|(~y|z)))&~t)|(~(~x&(y&z))&t)) + 1768865870081737826*(((y^(x&~z))&~t)|((z^~(x|(y&z)))&t)), x + y
8384883669867978010*(((x&(y|z))&~t)|((~z&(x^y))&t)) + 6707906935894382407*((y&~t)|((x&~y)&t)) + 5030930201920786804*((((x&y)|~(y^z))&~t)|((y^~(~x&(y^z)))&t)) + 11738837137815169210*((((x&y)^(x^(y&z)))&~t)|((y^~(x&~z))&t)) + 15092790605762360413*(((z&~(x&y))&~t)|((~(x&~y)&~(x^(y^z)))&t)) - (((~(x&~y)&(x^(y^z)))&~t)|(~(x&(~y|z))&t)) + 13415813871788764812*((~(~x&(~y|z))&~t)|(~(x&z)&t)) + 6707906935894382406*(((~z&~(x^y))&~t)|(((x|y)&~(x^(y^z)))&t)) + 16769767339735956015*(((z^(x|~y))&~t)|(~(x^(y|z))&t)) + 11738837137815169212*((((x|~y)&(y^z))&~t)|((y^~(x|(y&z)))&t)) + 5030930201920786808*(((y^~(x&(y&z)))&~t)|((y^(x&(y^z)))&t)) + 3353953467947191200*(((y^~(~x&(y^z)))&~t)|((x|(y&z))&t)) + 5030930201920786800*(((y^(~x|(~y&z)))&~t)|(~(x&~z)&t)) + 13415813871788764815*((~(x|z)&~t)|((z|~(x^y))&t)), x + y
10842742699814011255*((~(~x|(y&z))&~t)|((z^(x|(~y|z)))&t)) + 1267333562315923392*((((x&y)^~(x^(~y|z)))&~t)|((y^~(~x&(~y&z)))&t)) + 10138668498527387149*(((y^~(x&(y&z)))&~t)|((z^~(x&~y))&t)) + 8448890415439489289*((((x&z)^(x^(y&z)))&~t)|((y^(x|z))&t)) + 17883484712680252330*(((z^(x|~y))&~t)|((z^(x|(~y&z)))&t)) + 5350963929778343218*((((x&y)|(y^z))&~t)|((z^(x|~y))&t)) + 1689778083087897856*(((z|~(x|y))&~t)|(~x&t)) + 7463186533638215538*(((~z&(x^y))&~t)|(~(x&(~y|z))&t)) + 4365260047977069467*(((z^~(x&(~y|z)))&~t)|((z^~(~x&(~y|z)))&t)) + 11687631741357960186*((((x&y)|~(y^z))&~t)|((y^(x|~z))&t)) + 8308075575182164467*(((y^~(~x&(y|z)))&~t)|(~(~x|(y^z))&t)) + 12391705942644584292*((y&~t)|((y&(x|~z))&t)) + 9293779456983438221*(((x^y)&~t)|((~(x&~y)&(x^(y^z)))&t)) + 1548963242830573037*(((z^(x|(y|z)))&~t)|(~(x&(y^z))&t)) + 1267333562315923393*(((~(x|y)|(x^(y^z)))&~t)|(((x&y)|~(x^(y^z)))&t)) + 4083630367462419824*(((x^y)&~t)|((x|(~y|z))&t)), x + y
1174951851828633860*(((x^(y|z))&~t)|((y^z)&t)) + 17154297036698054369*((((x&y)^(y|~z))&~t)|(~(x|~y)&t)) + 12571984814566382312*(((~y|(x^z))&~t)|((z^(x|~y))&t)) + 3994836296217355128*((~(y&~z)&~t)|(~(x|~z)&t)) + 587475925914316930*(((x^(y&z))&~t)|((z^(x&(~y|z)))&t)) + 6109749629508896077*((~(x|(y|z))&~t)|((z^~(~x&(~y|z)))&t)) + 1057456666645770475*(((y^(~x&(~y|z)))&~t)|((y^~(~x&(y|z)))&t)) + 8694643703531890570*(((z^~(x&(~y|z)))&~t)|((y^(x|(y^z)))&t)) + 5287283333228852374*((((x&y)^(x^(y&z)))&~t)|((x^(~y&z))&t)) + 15039383703406513420*(((y^(x|(~y&z)))&~t)|((z&(x|~y))&t)) + 11397032962737748452*(((y&(x^z))&~t)|(((x&y)|(y^z))&t)) + 2584894074022994495*(((x&(y|z))&~t)|(~(y^z)&t)) + 3054874814754448037*((z&~t)|((y^(~x&(y^z)))&t)) + 2232408518474404334*((~(y|z)&~t)|((z^~(x|y))&t)) + 3524855555485901583*(((y^(x|~z))&~t)|(((y&z)|(x&(y|z)))&t)) + 12219499259017792155*((((x|y)&(x^(y^z)))&~t)|(((y&z)|(x&(y|z)))&t)), x + y
310029312163185743*((~(~x&(~y&z))&~t)|(~(y|z)&t)) + 8835835396650793629*(((~y&(x^z))&~t)|((y^~(~x&(~y&z)))&t)) + 8215776772324422148*((~x&~t)|(((x|~y)&~(x^(y^z)))&t)) + 9300879364895572242*(((y^~(~x|(y&z)))&~t)|(((y&z)^~(~x&(y^z)))&t)) + 17981700105464773005*(((z^(x|(~y|z)))&~t)|((z^~(x&~y))&t)) + 5425512962855750476*(((y^~(~x&(y|z)))&~t)|(~y&t)) + 18291729417627958746*((((x^y)&(x^z))&~t)|((z^(x|(~y&z)))&t)) + 15191436295996101328*((~(x|(~y|z))&~t)|((x^(y|z))&t)) + 16276538888567251426*((((x&z)^~(x^(~y&z)))&~t)|((x^z)&t)) + 17361641481138401521*(((y|~z)&~t)|((z&(x^y))&t)) + 3410322433795043156*((((x&~y)|~(y^z))&~t)|((~(x&~y)&(x^(y^z)))&t)) + 8370791428406015018*(((y^~(x|z))&~t)|((x^(~y&z))&t)) + 9920937989221943724*(((z^~(~x&(y&z)))&~t)|((z|~(x|y))&t)) + 14881406983832915592*(((z^(x|y))&~t)|((z|(x&~y))&t)) + 4960468994610971863*(((y^~(x&(y|z)))&~t)|((z|~(x|~y))&t)) + 13796304391261765497*(((y&~(x&~z))&~t)|(~(x&~x)&t)), x + y
12832517616493601126*(((y|~(x|z))&~t)|(~(~x|(~y|z))&t)) + 6416258808246800563*(((z^(x|(y|z)))&~t)|((~(x&y)&(x^(y^z)))&t)) - 13*(((y^(~x&(~y|z)))&~t)|((~(x^y)&(x^z))&t)) + 15238614669586151344*((~(x^(~y&z))&~t)|((y^~(x&(y^z)))&t)) + 3208129404123400273*(((z^(x|y))&~t)|((y^(~x|(y|z)))&t)) + 8822355861339350776*((~(x|y)&~t)|((y^~(x&~z))&t)) + 7218291159277650647*(((y|~(x|~z))&~t)|(~(x^(y^z))&t)) + 10426420563401050904*((((x^y)|~(x^z))&~t)|((y^(x&z))&t)) + 5*((((x&z)|(y&~z))&~t)|(((x|~y)&(x^(y^z)))&t)) + 1604064702061700150*(((y^(~x|(~y|z)))&~t)|((~(x&~y)&(x^(y^z)))&t)) + 14436582318555301279*(((y^~(x&(y|z)))&~t)|((x&(~y|z))&t)) + 9624388212370200828*((((x&z)^(x^(y&z)))&~t)|(((x&z)|~(y|z))&t)) + 10426420563401050906*((~(x|y)&~t)|((y^(~x|(y^z)))&t)) + 9624388212370200838*(((z&(x|~y))&~t)|(((x&y)|~(y^z))&t)) - 8*(((y^~(x&~z))&~t)|((z^~(~x|(y&z)))&t)) + 9624388212370200852*((~(~x|(y^z))&~t)|((z|~(x^y))&t)), x + y
3*(((~(x^y)|~(x^z))&~t)|(~(x|(y|z))&t)) - 4*(((~x|(~y&z))&~t)|((~z&~(x^y))&t)) - 5*(((~z|~(x^y))&~t)|((z^(x|(y|z)))&t)) - 2*((((x&~y)|(y^z))&~t)|(~(x|(y&z))&t)) + 9*((((x&z)|(y&~z))&~t)|((~(x&y)&(x^(y^z)))&t)) + 12*((~(x&(~y&z))&~t)|((z^(x|y))&t)) - 6*((((x|~y)&~(y^z))&~t)|(((y&z)^~(~x&(y^z)))&t)) + 8*((((x&y)^(x^(~y|z)))&~t)|(~(x|(~y&z))&t)) - 16*(((z^~(x&(~y|z)))&~t)|((y^(x&(~y|z)))&t)) + 12*((~(x^z)&~t)|(~(~x|(~y&z))&t)) - 7*((((x|~y)&~(x^(y^z)))&~t)|(~(x^(y&z))&t)) - 15*(((z^~(~x|(y&z)))&~t)|(~(x^(y&z))&t)) + 3*(((y^(~x|(y|z)))&~t)|((x^(~y&z))&t)) - 14*((((x^y)&~(x^z))&~t)|(((x|y)&~(y^z))&t)) + 17*((~(~x|(y&z))&~t)|((z^~(x|(y&z)))&t)) + 6*(((y&~z)&~t)|(~(~x&(y^z))&t)), x + y
16876808407861930201*((((x&y)|~(y|z))&~t)|(~(x|(~y|z))&t)) + 12167001410319065960*(((y^~(x&(y^z)))&~t)|((~z&(x^y))&t)) + 13344453159704782021*(((z|~(x|y))&~t)|((~(x&y)&~(y^z))&t)) + 10204581828009539193*((((y&~z)|~(x|(~y&z)))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 13736937076166687372*((~(x&(y|z))&~t)|((x^(y&z))&t)) + 7064710496314296364*((~z&~t)|(((x&~y)|~(x^(y^z)))&t)) + 7457194412776201717*(((z^~(x&(~y&z)))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 784967832923810706*(x^(~y|(~z&t))) + 7457194412776201719*(((z^~(~x|(y&z)))&~t)|((y^~(x|~z))&t)) + 9027130078623823132*(((x&~z)&~t)|(~(~x&(y|z))&t)) + 16091840574938119495*((((x&~y)|(x^(y^z)))&~t)|((x|~z)&t)) + 10597065744471444546*(((z^(x|(~y|z)))&~t)|((y|(x&~z))&t)) + 9419613995085728483*(((x^z)&~t)|(~(x&(~y&z))&t)) + 784967832923810708*(((y&~(x^z))&~t)|((x|(y&z))&t)) + 392483916461905353*(((y&(x^z))&~t)|((y|~(x^z))&t)) + 784967832923810708*(((x^z)&~t)|((z|~(x|~y))&t)), x + y
4054229466749352006*(((y&z)&~t)|((~x&(y^z))&t)) + 5878632726786560407*(((z|~(x|y))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 6284055673461495607*(((z^~(~x&(y|z)))&~t)|((y^(x|(y|z)))&t)) + 4256940940086819605*((~(~x|(y&z))&~t)|((~(x&~y)&~(x^(y^z)))&t)) + 6284055673461495604*(((z^~(x&(~y|z)))&~t)|((y^~(~x|(y^z)))&t)) + 5067786833436690003*((~x&~t)|((z^(x&(y|z)))&t)) + 8311170406836171605*(((z^(x&(y|z)))&~t)|(~(x^(y^z))&t)) + 16825052287009810814*(((~(x^y)&~(x^z))&~t)|((y^(x&(~y|z)))&t)) + 17433186707022213614*((~(~x&(~y&z))&~t)|(~(x&y)&t)) + 3243383573399481600*(((~x&(~y|z))&~t)|((z&~(x^y))&t)) + 18041321127034616414*((((y&~z)^(x|(y^z)))&~t)|(((x&~y)|(x^(y^z)))&t)) + 1824403260037208401*(((~z&(x^y))&~t)|((~(x|~y)|~(y^z))&t)) + 7500324513486301208*(((y^(~x|(~y|z)))&~t)|(y&t)) + 5270498306774157607*(((y^~(x|(y^z)))&~t)|((z^~(~x|(y&z)))&t)) + 5067786833436690007*(((~x&(y|z))&~t)|((z^~(x|y))&t)) + 14392514606960199613*(((~(x&y)&(y^z))&~t)|((x|(y|z))&t)), x + y
4919131752989213767*(((~x|(~y|z))&~t)|(~(~x|(y|z))&t)) + 6148914691236517204*(((y|~z)&~t)|((z^(x|(~y|z)))&t)) + ((~(x^y)&~t)|((~x&(y^z))&t)) + 6148914691236517202*(((~(x^y)|(x^z))&~t)|((~x&(y^z))&t)) + 14757395258967641291*((((x&~y)|(y^z))&~t)|((x&~y)&t)) + 9838263505978427530*(((z^(x|(~y&z)))&~t)|(~y&t)) + 3689348814741910324*(((y^(~x&(~y|z)))&~t)|((x^z)&t)) + 13527612320720337851*((((x^y)|~(x^z))&~t)|((~(x|y)|(x^(y^z)))&t)) + 14757395258967641294*(((y^(~x|(y&z)))&~t)|(~(x^z)&t)) + 6148914691236517206*((((x|~y)&~(y^z))&~t)|((z^~(x&(~y|z)))&t)) + 6148914691236517206*(((y|~(x^z))&~t)|((z^~(x&(~y|z)))&t)) + 14757395258967641291*((((x&y)^(x^(~y|z)))&~t)|(((x&z)^~(x^(~y&z)))&t)) + 2459565876494606882*(((~x&(y^z))&~t)|(((x&y)|~(y^z))&t)) + 12297829382473034412*(((x|(~y|z))&~t)|(y&t)) + 2*(((y|(x&~z))&~t)|(((y&z)|(~x&(y|z)))&t)) + 3689348814741910322*(((z^(~x|(y&z)))&~t)|(z&t)), x + y
