# 49374 + 3735936685*x
49374*(x&~y) + 18446744073709502242*~(x&y) + 3735887311*x, 49374 + 3735936685*x
3735986059*~(x^y) + 18446744073709502242*(x|~y) + 18446744069973565557*~(x&~y) + 3735936685*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735887311*(x^y) + 7471823996*~(x^y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 3735936685*y + 18446744069973614931*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735887311*(x&~y) + 3735936685*(x&y) + 18446744073709502242*y, 49374 + 3735936685*x
18446744069973565557*~y + 18446744069973565557*~(x^y) + 7471922744*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744073709502242*~y + 18446744073709452868*~(x|~y) + 49374*(x^y) + 3735887311*x, 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 3735936685*(x&y) + 18446744069973614931*~(x^y) + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*~(x|~y) + 3735936685*(x^y) + 18446744069973614931*~(x&y) + 3735887311*(x|~y), 49374 + 3735936685*x
18446744069973614931*~x + 18446744069973664305*y + 3735887311*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744073709502242*~y + 3735936685*x + 18446744073709502242*y, 49374 + 3735936685*x
3735936685*(x&y) + 18446744069973614931*y + 3735936685*(x|y) + 49374, 49374 + 3735936685*x
3735936685*(x^y) + 3735936685*(x&y) + 3735936685*(x|~y) + 3735986059, 49374 + 3735936685*x
11207760681*(x^y) + 18446744066237678246*~(x&y) + 7471823996*~(x^y) + 18446744069973614931*y, 49374 + 3735936685*x
3735936685*(x|~y) + 3735936685*y + 18446744069973614931*~(x&~y) + 49374, 49374 + 3735936685*x
3735936685*(x&~y) + 3735936685*(x&y) + 49374, 49374 + 3735936685*x
18446744066237628872*~(x|~y) + 3735936685*(x^y) + 18446744073709502242*(x|~y) + 3735936685*y, 49374 + 3735936685*x
18446744066237678246*~(x|y) + 3735936685*~(x^y) + 18446744069973614931*y + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735936685*x + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735936685*~y + 3735936685*(x&y) + 49374, 49374 + 3735936685*x
14690933934254721204*~(x|y) + 14690933937990707263*x + 3755810139454781038*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744066237727620*~x + 3735887311*(x^y) + 18446744069973664305*y + 7471774622*~(x&~y), 49374 + 3735936685*x
3735887311*(x^y) + 3735936685*(x&y) + 3735887311*~(x^y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
18446744069973664305*~(x|~y) + 18446744073709502242*(x^y) + 18446744073709502242*~(x&~y) + 3735936685*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735887311*~y + 3735936685*(x&y) + 18446744073709502242*y, 49374 + 3735936685*x
49374*(x&y) + 18446744073709502242*~(x^y) + 3735936685*x + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744069973614931*~y + 3735936685*(x|~y) + 18446744069973614931*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
3735986059*(x&~y) + 18446744073709502242*~y + 18446744073709502242*(x^y) + 3735887311*(x&y), 49374 + 3735936685*x
6209390465984524386*~x + 6209390469720461071*x + 6209390465984573760, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973614931*~(x&y) + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*~(x&y) + 18446744073709502242*(x&y) + 3735936685*x, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973664305*(x^y) + 18446744073709502242*~(x&y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973614931*~x + 3735887311*~(x&y) + 3735887311*(x&y), 49374 + 3735936685*x
6644973980876622791*~(x|~y) + 18446744069973614931*~x + 6644973980876622791*(x|~y) + 6644973977140735480, 49374 + 3735936685*x
18446744073709452868*~(x|~y) + 18446744073709502242*~(x^y) + 3735887311*x + 49374*y, 49374 + 3735936685*x
18446744073709502242*~(x&y) + 3735887311*(x&y) + 18446744069973614931*y + 3735936685*(x|y), 49374 + 3735936685*x
3735887311*~y + 18446744069973614931*~(x&y) + 18446744073709502242*y + 3735936685*(x|y), 49374 + 3735936685*x
3735936685*(x^y) + 18446744073709502242*~(x&y) + 7471823996*(x&y) + 18446744069973614931*y, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735887311*(x&~y) + 3735936685*~(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~y + 18446744069973664305*~(x^y) + 7471823996*(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
3735887311*(x&~y) + 18446744073709502242*~x + 3735887311*(x&y), 49374 + 3735936685*x
18446744073709502242*~(x|~y) + 3735887311*x + 49374*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
3735887311*~(x|y) + 18446744069973614931*(x^y) + 18446744069973614931*~(x&~y) + 7471823996*(x|y), 49374 + 3735936685*x
18446744073709502242*(x^y) + 18446744073709502242*~(x^y) + 3735936685*x, 49374 + 3735936685*x
7471823996*~y + 18446744069973614931*~(x&y) + 7471823996*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
5071180631398382700*(x&~y) + 6687781721155559771*~(x&y) + 6687781724891496456*x + 11758962352553942471*~(x&~y), 49374 + 3735936685*x
7471823996*(x^y) + 18446744069973614931*~(x&y) + 7471823996*~(x^y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 49374*(x&~y) + 18446744073709502242*(x^y) + 3735887311*x, 49374 + 3735936685*x
7471823996*~(x|y) + 18446744069973614931*~(x&y) + 18446744069973614931*~(x&~y) + 7471823996*(x|y), 49374 + 3735936685*x
18446744069973664305*~(x|~y) + 18446744073709502242*~x + 3735887311*(x|y), 49374 + 3735936685*x
3735936685*~y + 18446744069973565557*~(x&y) + 18446744073709502242*(x&y) + 3735936685*(x|y), 49374 + 3735936685*x
4728668200255396427*(x&~y) + 4728668200255396427*(x&y) + 13718075877190091874*x + 49374, 49374 + 3735936685*x
18446744069973565557*~(x&y) + 18446744069973565557*(x&y) + 3735936685*(x|~y) + 3735936685*(x|y), 49374 + 3735936685*x
18446744069973614931*~y + 18446744066237678246*~(x|~y) + 18446744069973614931*~(x^y) + 18446744066237727620, 49374 + 3735936685*x
49374*(x&y) + 3735887311*(x|~y) + 3735887311*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
7471823996*(x&~y) + 18446744069973614931*~(x&y) + 3735887311*~(x&~y), 49374 + 3735936685*x
16689433323439538221*~x + 16689433327175474906*x + 16689433323439587595, 49374 + 3735936685*x
18446744066237678246*~(x|y) + 3735936685*~y + 3735936685*~(x^y) + 49374, 49374 + 3735936685*x
18446744073709502242*~(x&y) + 3735887311*(x&y) + 18446744069973614931*~(x^y) + 3735936685*(x|~y), 49374 + 3735936685*x
49374*(x&~y) + 18446744073709502242*~y + 18446744073709502242*~(x|~y) + 3735887311*x, 49374 + 3735936685*x
1835555151469892797*~x + 1835555155205829482*(x&y) + 16611188918503722134*~(x&~y) + 18446744069973664305, 49374 + 3735936685*x
18446744069973565557*~(x|~y) + 18446744073709502242*(x|~y) + 3735936685*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x&y) + 18446744069973614931*~(x&~y) + 18446744066237727620, 49374 + 3735936685*x
18446744069973614931*~x + 18446744069973664305*~(x^y) + 3735887311*(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*x
9856518567386594099*~(x|y) + 18446744073709502242*~(x|~y) + 9856518571122530784*x + 8590225506322908143*(x|~y), 49374 + 3735936685*x
3735936685*(x&~y) + 3735936685*~(x^y) + 3735936685*(x|y) + 3735986059, 49374 + 3735936685*x
18446744069973614931*(x^y) + 18446744069973614931*~(x&~y) + 3735936685*(x|y) + 18446744069973664305, 49374 + 3735936685*x
18446744073709502242*~x + 18446744069973664305*(x^y) + 18446744069973664305*y + 7471774622*(x|y), 49374 + 3735936685*x
7471823996*(x&~y) + 18446744069973614931*(x^y) + 3735936685*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
7471873370*(x&~y) + 18446744073709502242*~y + 18446744069973614931*(x^y) + 3735887311*y, 49374 + 3735936685*x
3735936685*(x^y) + 7471922744*(x&y) + 18446744073709502242*(x|~y) + 18446744069973565557*y, 49374 + 3735936685*x
18446744073709502242*~x + 3735887311*(x|~y) + 3735887311*y + 18446744069973664305*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744073709502242*~(x|~y) + 3735887311*(x|~y), 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973614931*~y + 3735936685*(x|~y) + 49374, 49374 + 3735936685*x
3735936685*~y + 3735936685*(x^y) + 18446744066237678246*~(x&y) + 18446744069973664305, 49374 + 3735936685*x
3735936685*(x&~y) + 3735986059*(x&y) + 18446744073709502242*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
18446744069973614931*(x^y) + 18446744069973664305*y + 18446744073709502242*~(x&~y) + 7471823996*(x|y), 49374 + 3735936685*x
3735887311*(x^y) + 7471823996*(x&y) + 18446744069973664305*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x^y) + 7471873370*(x|~y) + 3735936685*y + 3735986059, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744066237727620*~(x|~y) + 3735887311*~(x&y) + 3735887311*y, 49374 + 3735936685*x
3735887311*(x&~y) + 18446744069973614931*~(x|~y) + 3735936685*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 49374*(x&y) + 3735887311*x + 18446744073709502242*y, 49374 + 3735936685*x
18446744069973565557*~(x|y) + 18446744073709502242*(x&~y) + 3735936685*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
10132150879448595372*~x + 10132150883184532057*x + 10132150879448644746, 49374 + 3735936685*x
7471873370*(x&~y) + 18446744069973614931*~y + 3735936685*~(x^y) + 49374, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 17677826934214478714*~(x|~y) + 17677826937950415399*(x|~y) + 17677826934214528088, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744069973614931*~(x|~y) + 18446744069973664305, 49374 + 3735936685*x
2255619966852550*~y + 3735936685*x + 2255619966852550*y + 2255619966901924, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744069973614931*(x^y) + 18446744069973614931*~(x&~y) + 18446744066237727620, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 18446744069973614931*~(x|~y) + 3735887311*(x|y), 49374 + 3735936685*x
18135467989478498246*~y + 311276084231003996*~x + 311276087966940681*x + 18135467989478498246*y, 49374 + 3735936685*x
3735936685*~y + 3735936685*(x^y) + 7471873370*(x&y) + 3735986059, 49374 + 3735936685*x
14296688504523245641*~x + 14296688508259182326*x + 14296688504523295015, 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 3735936685*(x^y) + 3735936685*(x&y) + 49374, 49374 + 3735936685*x
18446744066237678246*~(x|~y) + 18446744069973614931*~(x^y) + 3735936685*y + 18446744069973664305, 49374 + 3735936685*x
3735936685*(x&~y) + 18446744069973664305*~y + 18446744073709502242*~(x&y) + 3735887311*(x|~y), 49374 + 3735936685*x
5225438432965015059*(x&~y) + 5225438425493191063*~x + 13221305644480423868*~(x&y) + 3735887311*~(x&~y), 49374 + 3735936685*x
49374*(x&~y) + 18446744073709502242*~y + 3735936685*x + 18446744073709502242*(x|y), 49374 + 3735936685*x
17275267861778293875*~(x|~y) + 1171476208195321056*~x + 1171476211931257741*(x|y) + 1171476208195370430, 49374 + 3735936685*x
3735887311*(x&~y) + 3735887311*~(x|~y) + 18446744069973614931*~x + 3735887311*~(x^y), 49374 + 3735936685*x
3735936685*(x^y) + 18446744069973565557*~(x&y) + 18446744073709502242*(x&y) + 3735936685*(x|~y), 49374 + 3735936685*x
7150168370324499891*~(x|y) + 7150168370324499891*~(x|~y) + 11296575703385002351*~x + 3735887311*x, 49374 + 3735936685*x
7471873370*(x&~y) + 18446744069973614931*~y + 18446744073709502242*(x^y) + 3735887311*~(x^y), 49374 + 3735936685*x
18446744066237727620*~(x|y) + 3735936685*~y + 18446744073709502242*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
18446744069973614931*~(x&y) + 18446744066237727620*y + 3735887311*~(x&~y) + 7471823996*(x|y), 49374 + 3735936685*x
17452737453698681415*(x&~y) + 17452737449962744730*~x + 994006623746757512*~(x&y) + 3735887311*(x&y), 49374 + 3735936685*x
18446744066237727620*~(x|~y) + 3735887311*(x^y) + 3735936685*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
18446744069973664305*~(x|y) + 18446744069973614931*~x + 3735887311*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
17444399084747733878*~(x|y) + 18446744069973614931*~x + 17444399084747733878*(x|y) + 17444399081011846567, 49374 + 3735936685*x
5678995898292205085*~(x|y) + 5678995902028191144*x + 12767748175417297157*(x|~y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 8992088269305322888*~(x|~y) + 8992088273041259573*(x|~y) + 8992088269305372262, 49374 + 3735936685*x
18446744073709502242*~(x&y) + 18446744073709502242*~(x^y) + 3735887311*x + 49374*(x|~y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735887311*~y + 18446744073709502242*~(x|~y) + 3735887311*(x&y), 49374 + 3735936685*x
18446744069973614931*~x + 3735887311*(x^y) + 3735887311*~(x^y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735887311*(x&~y) + 18446744069973614931*~(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~y + 3735887311*~(x|~y) + 7471823996*(x|~y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
7471922744*(x&~y) + 18446744069973565557*~y + 3735936685*~(x^y) + 18446744073709502242*(x|y), 49374 + 3735936685*x
18446744062501790935*~(x|~y) + 3735887311*~(x&y) + 18446744069973614931*~(x^y) + 7471823996*y, 49374 + 3735936685*x
12931959849369657011*(x&~y) + 12931959845633720326*~x + 5514784224339894605*~(x&y) + 18446744069973664305, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744073709502242*~(x&y) + 18446744073709502242*(x&y) + 3735936685*(x|~y), 49374 + 3735936685*x
3021745838412021447*~(x|y) + 3021745838412021447*~(x|~y) + 15424998235297480795*~x + 3735887311*x, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 7471823996*(x&~y) + 18446744069973614931*(x^y) + 3735887311*y, 49374 + 3735936685*x
18446744073709502242*~(x|~y) + 3735936685*x + 18446744073709502242*(x|~y), 49374 + 3735936685*x
18446744069973565557*~y + 3735936685*(x|~y) + 18446744069973565557*y + 3735936685*(x|y), 49374 + 3735936685*x
3735936685*~y + 7471873370*(x&y) + 18446744069973614931*~(x^y) + 49374, 49374 + 3735936685*x
210585057930724374*~(x|y) + 210585057930724374*~(x|~y) + 18236159015778777868*~x + 3735887311*x, 49374 + 3735936685*x
5573983862624829100*~x + 3735887311*~(x&y) + 5573983870096653096*(x&y) + 12872760207348785831*~(x&~y), 49374 + 3735936685*x
14155941964139109748*~(x|y) + 18446744073709502242*~x + 14155941967874997059*x + 4290802109570441868*(x|~y), 49374 + 3735936685*x
18446744069973664305*~(x|y) + 49374*(x&~y) + 18446744073709502242*~(x&y) + 3735887311*(x|~y), 49374 + 3735936685*x
49374*~y + 18446744073709502242*(x^y) + 3735986059*x + 18446744073709452868*(x|~y), 49374 + 3735936685*x
49374*(x&y) + 3735936685*x + 18446744073709502242*(x|~y) + 18446744073709502242*y, 49374 + 3735936685*x
7471873370*(x&~y) + 18446744069973614931*~y + 18446744069973614931*(x^y) + 18446744069973664305, 49374 + 3735936685*x
3735887311*(x&~y) + 18446744073709502242*~x + 18446744069973664305*(x^y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 18446744069973614931*~(x|~y) + 3735887311*(x^y) + 3735887311*~(x^y), 49374 + 3735936685*x
3735887311*~y + 3735936685*(x&y) + 3735887311*y + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
3735936685*~y + 7471823996*(x^y) + 18446744066237678246*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
18446744069973565557*~y + 3735936685*~(x^y) + 18446744066237628872*y + 7471873370*(x|y), 49374 + 3735936685*x
18446744069973664305*~(x|y) + 3735887311*~y + 18446744069973614931*~x + 3735887311*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 3735887311*~(x&y) + 7471823996*(x&y) + 18446744069973614931*~(x^y), 49374 + 3735936685*x
3735936685*(x&~y) + 18446744073709502242*(x^y) + 3735936685*(x&y) + 18446744073709502242*~(x^y), 49374 + 3735936685*x
2472971462585884562*~(x|y) + 2472971458849997251*~(x|~y) + 15973772611123617680*~x + 3735887311*(x|y), 49374 + 3735936685*x
3137872799776780077*(x&~y) + 3137872799776730703*~x + 15308871273932771539*~(x&y) + 3735887311*x, 49374 + 3735936685*x
18446744066237727620*~x + 18446744069973664305*(x^y) + 7471774622*~(x&y) + 3735887311*y, 49374 + 3735936685*x
18446744066237727620*~y + 3735887311*~(x&y) + 7471823996*(x|~y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|~y) + 18446744069973614931*~(x&y) + 18446744069973614931*~(x^y) + 18446744066237727620, 49374 + 3735936685*x
18446744073709502242*~x + 3735887311*(x&y) + 18446744069973664305*~(x^y) + 3735887311*(x|~y), 49374 + 3735936685*x
18446744069973664305*~(x|~y) + 18446744073709502242*~x + 3735887311*(x^y) + 3735887311*(x&y), 49374 + 3735936685*x
18446744073709452868*~(x|y) + 49374*~(x^y) + 3735887311*x + 18446744073709502242*y, 49374 + 3735936685*x
3735936685*~y + 18446744073709502242*~(x&y) + 7471823996*(x&y) + 18446744069973614931*~(x^y), 49374 + 3735936685*x
8547833824380728119*~(x|y) + 8547833828116664804*x + 9898910249328823497*(x|~y) + 49374, 49374 + 3735936685*x
18446744073709535158*~y + 18446744073709535158*(x^y) + 3735920227*x + 18446744073709518700*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735887311*(x&~y) + 18446744073709502242*~(x|~y) + 3735887311*~(x^y), 49374 + 3735936685*x
18446744073709502242*(x^y) + 18446744073709502242*(x&y) + 3735986059*x + 18446744073709502242*(x|~y), 49374 + 3735936685*x
18446744066237727620*(x^y) + 3735887311*~(x&y) + 18446744069973614931*~(x&~y) + 7471823996*(x|y), 49374 + 3735936685*x
3735887311*~(x&y) + 11207760681*(x&y) + 18446744069973614931*~(x^y) + 18446744069973614931*y, 49374 + 3735936685*x
18446744069973664305*~(x|y) + 3735936685*(x&~y) + 18446744073709502242*~(x&y) + 3735887311*~(x^y), 49374 + 3735936685*x
18446744069973614931*~(x|y) + 49374*(x&~y) + 18446744073709502242*(x^y) + 3735887311*(x|~y), 49374 + 3735936685*x
18446744073709502242*~x + 3735887311*~(x^y) + 18446744069973664305*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*x
18446744073709502242*~(x|y) + 18446744069973614931*~(x|~y) + 3735887311*(x^y) + 3735887311*(x&y), 49374 + 3735936685*x
18446744073709502242*~y + 18446744069973614931*(x^y) + 18446744069973565557*y + 7471873370*(x|y), 49374 + 3735936685*x
18446744069973565557*~(x|~y) + 3735936685*(x^y) + 3735936685*(x&y) + 18446744073709502242*(x|~y), 49374 + 3735936685*x
3735936685*(x&~y) + 3735887311*~y + 18446744069973614931*~(x&y) + 3735887311*y, 49374 + 3735936685*x
3735887311*~(x|y) + 7471823996*(x&~y) + 18446744069973614931*~(x&y) + 3735887311*y, 49374 + 3735936685*x
18446744062501790935*~(x|y) + 3735887311*~(x&y) + 7471823996*~(x^y) + 18446744069973614931*y, 49374 + 3735936685*x
18446744069973614931*~y + 18446744069973614931*(x^y) + 18446744066237678246*~(x&~y) + 18446744062501790935, 49374 + 3735936685*x
3735936685*(x&~y) + 3735936685*(x|~y) + 3735936685*y + 3735986059, 49374 + 3735936685*x
7471823996*~(x|~y) + 18446744069973614931*~(x&y) + 7471823996*(x|~y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*x
18446744073709502242*~y + 18446744073709502242*~(x|~y) + 18446744073709502242*(x&y) + 3735936685*x, 49374 + 3735936685*x
49374*(x&~y) + 18446744073709502242*(x^y) + 3735936685*x + 18446744073709502242*(x|~y), 49374 + 3735936685*x
18446744069973614931*~y + 3735936685*(x^y) + 7471873370*(x|~y) + 3735986059, 49374 + 3735936685*x
18446744066237727620*~(x|~y) + 3735936685*(x^y) + 18446744073709502242*~(x&y) + 3735887311*y, 49374 + 3735936685*x
3735936685*(x&y) + 18446744069973664305*~(x^y) + 3735887311*(x|~y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*x
3735936685*(x&~y) + 3735887311*~(x|~y) + 18446744069973614931*~(x&y) + 3735887311*(x|~y), 49374 + 3735936685*x
18446744066237727620*~(x|y) + 3735887311*~y + 18446744069973614931*~(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*x
18446744069973565557*(x&~y) + 3735936685*(x|~y) + 18446744069973565557*~(x&~y) + 3735936685*(x|y), 49374 + 3735936685*x
6306232143548545089*(x&~y) + 3735936685*(x&y) + 6306232139812608404*~(x&~y) + 6306232139812657778, 49374 + 3735936685*x
18446744069973664305*~y + 18446744069973614931*~x + 3735887311*~(x&y) + 3735887311*(x|~y), 49374 + 3735936685*x
3592572867860518342*(x&~y) + 3592572864124581657*~x + 3592572867860518342*(x&y) + 3592572864124631031, 49374 + 3735936685*x
10175837541905659619*~x + 10175837545641596304*(x|~y) + 10175837545641596304*(x|y) + 1904931013837753681, 49374 + 3735936685*x
18446744069973565557*(x^y) + 18446744066237628872*~(x^y) + 7471873370*(x|~y) + 3735936685*y, 49374 + 3735936685*x
3735986059*(x&~y) + 18446744069973565557*(x^y) + 18446744073709502242*(x|~y) + 3735936685*(x|y), 49374 + 3735936685*x
49374*~(x|~y) + 18446744073709502242*~(x&y) + 3735936685*x + 18446744073709502242*y, 49374 + 3735936685*x
3735936685*(x^y) + 18446744066237678246*~(x&y) + 18446744069973614931*y + 18446744066237727620, 49374 + 3735936685*x
18446744073709502242*~(x|y) + 3735887311*(x^y) + 7471823996*(x&y) + 18446744069973614931*y, 49374 + 3735936685*x
18446744069973614931*~(x|y) + 3735936685*~y + 18446744069973614931*~(x&y) + 18446744069973664305, 49374 + 3735936685*x
11763294813596415689*~x + 11763294817332352374*x + 11763294813596465063, 49374 + 3735936685*x
18446744069973565557*(x^y) + 18446744073709502242*~(x^y) + 18446744069973614931*y + 7471873370*(x|y), 49374 + 3735936685*x
7471823996*(x&~y) + 18446744069973614931*~y + 18446744069973614931*~(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*x
18446744069973614931*~(x&y) + 18446744069973614931*y + 3735936685*(x|y) + 18446744069973664305, 49374 + 3735936685*x
