# 49374 + 3735936685*(x^y)
18446744066237678246*~(x|z) + 18446744069973614931*(z^~(~x&(~y&z))) + 14943697366*~(x|~y) + 18446744069973614931*~(x^(y^z)) + 18446744069973614931*~(~x|(y^z)) + 18446744069973614931*((x|~y)&(x^(y^z))) + 14943697366*(x|~y) + 18446744066237678246*(z|(x&y)), 49374 + 3735936685*(x^y)
3735920227*(y^(x|(~y|z))) + 18446744073709535158*(y^~(x&~z)) + 7471840454*(~x&(y&z)) + 18446744069973680763*(~x&(~y|z)) + 18446744073709518700*(z^~(~x&(y|z))) + 18446744073709518700*(z^~(x&y)) + 32916*((x&z)|~(y|z)) + 18446744073709502242*(z|~(x|y)), 49374 + 3735936685*(x^y)
7471873370*~(~x|(y|z)) + 18446744073709502242*(y^(x&z)) + 18446744069973565557*(z&~(x^y)) + 3735986059*(z&(x|y)) + 18446744069973565557*((x&~y)|~(y^z)) + 3735936685*~(x&~z), 49374 + 3735936685*(x^y)
3735837937*(z^(x|(y|z))) + 3735986059*(z^~(x&(~y&z))) + 18446744069973565557*(y^(~x|(y|z))) + 7471823996*~(x|(~y&z)) + 18446744066237727620*(y&~(x&z)) + 18446744066237678246*(z^~(x&(y&z))) + 3735936685*((x&y)|(x^(y^z))) + 3735887311*((y&z)|(x&(y|z))), 49374 + 3735936685*(x^y)
12297829383718313723*~(y&z) + 2049638231242375068*(~(x&y)&~(y^z)) + 2049638234978311753*(y^(x&(y|z))) + 8198552924969500272*~(~x|(y^z)) + 16397105842467176548*~(~x&(y|z)) + 16397105842467176548*((x&~y)|(x^(y^z))) + 6148914689991188519*((x&z)^~(x^(~y&z))) + 8198552921233563587*(z|(x&y)), 49374 + 3735936685*(x^y)
11426503110687252266*~(x|z) + 11426503110687202892*(z^(~x|(~y|z))) + 14040481929780584759*(z^~(x&(~y&z))) + 11426503110687202892*(y^(x&z)) + 11426503106951266207*(x|~y) + 7020240963022299350*(~x|(y&z)) + 3735936685*(z|(x&~y)), 49374 + 3735936685*(x^y)
6148914689991172061*(y&~z) + 12297829383718330181*(y^(~x|(y|z))) + 12297829383718330181*(z^(x|(~y&z))) + 6148914693727158120*(y^(x&z)) + 12297829383718330181*((y&z)|(x&(y|z))) + 6148914693727108746*(~x|(~y|z)) + 18446744069973614931*(z|~(x^y)), 49374 + 3735936685*(x^y)
11207810055*~(x|(~y|z)) + 18446744073709502242*(y^~(x&(y^z))) + 18446744066237628872*~(x|~y) + 7471873370*(z&(x^y)) + 18446744069973565557*(x&z) + 3735936685*((x|y)&~(y^z)), 49374 + 3735936685*(x^y)
6148914686255284750*~(x|y) + 6148914686255284750*~(y|~z) + 6148914693727108746*~y + 12297829383718330181*(z^(x&(~y|z))) + 6148914697463045431*(~x|(y^z)) + 6148914697463045431*(x&(y&z)) + 12297829379982393496*(y&(x|~z)) + 18446744069973614931*(y^~(x|z)), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|(~y|z)) + 3735936685*((x^y)&~(x^z)) + 3735887311*(~(x|~y)|(y^z)) + 3735887311*((x|~y)&~(y^z)) + 18446744069973614931*(y^(~x|(~y&z))), 49374 + 3735936685*(x^y)
18446744058765903624*((x|~y)&(y^z)) + 49374*((x|y)&~(x^(y^z))) + 3735887311*((x&~y)|~(x^(y^z))) + 3735887311*(~(x|y)|~(x^(y^z))) + 18446744066237727620*(z^(~x|(~y&z))) + 11207711307*(z^~(x|(~y&z))) + 18446744062501840309*(~(x&~y)&~(y^z)) + 7471774622*(y&(x|z)), 49374 + 3735936685*(x^y)
18446744055029769443*(~x&(y&z)) + 18446744069973614931*(z^(~x|(~y&z))) + 18446744069973565557*~(~x&(~y|z)) + 18446744058765755502*(y^(~x|(~y&z))) + 49374*((y&z)|(x&(y|z))) + 7471873370*~(~x&(y^z)) + 3735936685*z + 11207810055*(~x|(y|z)), 49374 + 3735936685*(x^y)
5167907988736153031*(x&(~y&z)) + 15862790081209443443*~(~x|(y&z)) + 6148914689991188519*(y^(~x|(~y|z))) + 6148914693727125204*~(x|~y) + 6148914693727125204*(y^~(~x&(y&z))) + 8732868686227233377*((y&~z)|~(~x|(~y&z))) + 3564960697491080346*(z^(~x&(y|z))) + 6148914689991188519*(y^~(x|(y&z))), 49374 + 3735936685*(x^y)
17449718654614838409*~(x|(~y|z)) + 17449718654614739661*(x&~y) + 997025422830699266*((x^y)&~(x^z)) + 17449718650878802976*(y&~(x&z)) + 997025422830699266*(y^~(~x|(y^z))) + 18446744069973565557*~(x^(y&z)) + 3735936685*(~x|(y&z)), 49374 + 3735936685*(x^y)
18679634051*(~(x&y)&(x^(y^z))) + 18446744069973614931*(z^~(~x&(y&z))) + 18446744069973614931*(y^~(x&z)) + 3735936685*(z^~(x&(y|z))) + 18679634051*~(~x&(y|z)) + 18446744047558044195*~(~x&(y&z)) + 18446744069973614931*((x&y)^(x^(y&z))) + 11207760681*(~x|(y|z)), 49374 + 3735936685*(x^y)
18446744073709535158*(x&~z) + 18446744069973631389*(x&(y^z)) + 3735903769*((x|y)&(y^z)) + 18446744069973614931*(y^~(x&(~y|z))) + 18446744073709535158*~(x&~y) + 3735903769*~(y&~z), 49374 + 3735936685*(x^y)
14843971018319143578*~(x|y) + 3735887311*(~(x&y)&(y^z)) + 3735936685*(~(x&y)&~(y^z)) + 14843971022055080263*(x&(y|z)) + 3602773051654471353*(y^(~x|(~y&z))) + 18446744073709502242*((x&y)|~(y^z)), 49374 + 3735936685*(x^y)
18446744066237678246*(z^~(~x&(y&z))) + 7471873370*(~(x|~y)|~(x^(y^z))) + 18446744069973614931*(~(x|y)|~(x^(y^z))) + 3735887311*~(x&(y&z)) + 18446744073709502242*~(~x|(y^z)) + 18446744066237628872*(x&(y|z)) + 3735986059*x + 3735936685*((x&z)^(x^(y&z))), 49374 + 3735936685*(x^y)
3735887311*(y^z) + 18446744073709535158*(~(x&y)&~(y^z)) + 18446744073709502242*~x + 32916*((x&z)^(y|z)) + 18446744073709535158*(z^~(x&(y&z))) + 18446744069973598473*(y^(~x&(y|z))) + 3735887311*((x|y)&~(y^z)) + 32916*~(x&(y^z)), 49374 + 3735936685*(x^y)
3735920227*(z^(~x|(~y|z))) + 3735903769*((x|~y)&(y^z)) + 18446744073709535158*(y&~(x^z)) + 3735936685*((y&~z)|~(~x|(~y&z))) + 18446744066237694704*(~z|~(x^y)) + 3735903769*~(x&(y^z)) + 16458*((x&~y)|~(y^z)) + 18446744073709518700*~(~x&(y^z)), 49374 + 3735936685*(x^y)
3735936685*(z^(x|y)) + 18446744066237678246*(y^~(~x|(~y&z))) + 18446744073709502242*(x^(y|z)) + 18446744069973614931*(y^~(x&z)) + 18446744069973614931*~(x^z) + 18446744069973565557*~(x^(y|z)) + 11207810055*((x^y)|~(x^z)), 49374 + 3735936685*(x^y)
11207810055*~(x|(y|z)) + 18446744069973664305*(x^(y|z)) + 3735936685*((x&z)^(y|z)) + 18446744069973614931*(~(x&y)&~(x^(y^z))) + 3735887311*(y^(x|(~y&z))) + 3735936685*(z^~(~x|(~y&z))) + 7471873370*(y^(x&~z)) + 18446744066237628872*~(x&(~y&z)), 49374 + 3735936685*(x^y)
7471774622*(z^~(x&(~y&z))) + 11207661933*(x^(~y|z)) + 18446744055030115061*((x&~y)|~(x^(y^z))) + 18446744062501840309*~(x^y) + 18446744069973664305*(y|~(x|z)) + 14943549244*~(~x&(y^z)), 49374 + 3735936685*(x^y)
18446744069973664305*(y^(x|(y|z))) + 3735887311*(~(x&y)&(y^z)) + 11207661933*(y^~(~x&(y|z))) + 7471774622*(z^~(x&(y&z))) + 18679436555*(z&~(x^y)) + 18446744062501889683*(~(x|y)|(x^(y^z))) + 18446744066237727620*~(x^y) + 18446744066237776994*(y^(x&(y^z))), 49374 + 3735936685*(x^y)
7471856912*(x&~y) + 18446744069973614931*((y&z)^~(~x&(y^z))) + 7471856912*(~(x|y)|(y^z)) + 18446744069973614931*((x&~y)|(y^z)) + 18446744073709535158*(x^z) + 18446744069973598473*(z^~(x|(~y&z))) + 3735920227*(y^(x&~z)) + 18446744073709535158*(y^~(x|z)), 49374 + 3735936685*(x^y)
18446744073709502242*((y&~z)|~(x|(~y&z))) + 18446744069973565557*(x&y) + 18446744069973614931*~(x^(y&z)) + 3735936685*(~(x^y)|~(x^z)) + 3735887311*(y^(x&~z)) + 98748*y + 18446744073709502242*(y|z), 49374 + 3735936685*(x^y)
18446744073709502242*~z + 3735936685*~(x&z) + 18446744069973664305*(z^~(x&(y&z))) + 18446744069973614931*(y^(~x&(y|z))) + 7471823996*(y^~(x&(y&z))) + 3735887311*~(x&~y) + 7471823996*((x&y)^(x^(y&z))) + 18446744062501790935*~(y&~z), 49374 + 3735936685*(x^y)
3735986059*~(~x|(y|z)) + 6148914689991188519*(z^~(~x&(~y&z))) + 12297829383718313723*(x&(y^z)) + 6148914693727125204*((x&y)^(y|~z)) + 12297829376246440353*((x&z)^~(y&~z)) + 12297829387454299782*(y^~(~x&(y&z))) + 12297829379982377038*(x&(~y|z)) + 6148914693727125204*(~(x|~y)|(x^(y^z))), 49374 + 3735936685*(x^y)
3735936685*~(x|(y|z)) + 3735936685*(~x&(~y&z)) + 1905780318948713972*~(~x|(y&z)) + 16540963758496774329*(y^~(~x|(y^z))) + 16540963754760837644*(x|~y) + 3735936685*(y^(x&~z)) + 1905780311476840602*~(x&(~y&z)) + 18446744069973664305, 49374 + 3735936685*(x^y)
3735986059*~(~x|(~y|z)) + 3735936685*(y^(x|(y&z))) + 18446744073709502242*((x|~y)&~(x^(y^z))) + 18446744069973614931*((x&~y)|(y^z)) + 3735936685*(y^(x|(~y&z))) + 18446744073709502242*(y|(x^z)), 49374 + 3735936685*(x^y)
18446744055029966939*(~x&(~y&z)) + 26151408673*(~y&(x^z)) + 18446744073709502242*((x|~y)&~(x^(y^z))) + 18446744069973614931*((x&y)^(y|~z)) + 18446744058765854250*((x|~y)&(x^(y^z))) + 7471823996*~(x^z) + 11207711307*(z&~(x&~y)) + 18446744069973664305*~(y&~z), 49374 + 3735936685*(x^y)
18446744066237661788*~(x|y) + 18446744066237661788*((x&~y)|(y^z)) + 7471873370*~(y&z) + 18446744073709518700*(x^(y&z)) + 3735953143*(~x|(y^z)) + 18446744069973598473*(z^~(x&(~y|z))) + 3735936685*((x&~y)|(x^(y^z))) + 18446744073709518700*(~x|(y&z)), 49374 + 3735936685*(x^y)
3735936685*(~(x&y)&(y^z)) + 12297829383718379555*~x + 18446744073709502242*(z^~(~x&(~y|z))) + 3735936685*(z^~(x&(y|z))) + 6148914689991270809*(z^~(x|~y)) + 6148914686255186002*(z^~(x|(~y&z))) + 12297829383718330181*(y^(x&(y^z))) + 12297829383718330181*z, 49374 + 3735936685*(x^y)
7471823996*(~(x&~y)&(y^z)) + 7471823996*((x|~y)&(y^z)) + 11207711307*~(x|(~y&z)) + 7471823996*(z^(x|~y)) + 7471873370*~x + 18446744051294030254*~(x&(~y|z)) + 3735887311*(z&~(x^y)) + 18446744069973614931*(y^~(x&(y&z))), 49374 + 3735936685*(x^y)
2607643376832543506*(z^(x&(y|z))) + 1303821692152183751*(y^(x&(~y|z))) + 2607643376832543506*(~(x^y)&~(x^z)) + 14535279004724824359*(y^~(x|~z)) + 5215286757400974323*(x|(~y&z)) + 2607643380568430817*(~x|(y&z)) + 17142922385293304550*(z|(x&~y)) + 13231457316308527919*(x|(~y|z)), 49374 + 3735936685*(x^y)
7471675874*(~(x&~y)&(y^z)) + 3735936685*(z^(x|(~y&z))) + 3735837937*~(x&(y|z)) + 18446744066237776994*(z^(x&(y|z))) + 18446744069973664305*(z^~(x&(y&z))) + 18446744073709502242*(z&~(x^y)) + 7471626500*(z&(x|y)) + 18446744069973812427*(z|~(x|~y)), 49374 + 3735936685*(x^y)
12297829376246539101*((x&y)^~(x^(y&z))) + 12297829387454201034*(z^~(~x&(~y&z))) + 12297829383718363097*(y^~(~x|(y^z))) + 6148914693727125204*~(x&(y|z)) + 12297829383718313723*y + 6148914686255301208*(~(x^y)|(x^z)) + 3735887311*(z|~(x^y)), 49374 + 3735936685*(x^y)
13176245769070193814*(y^(x|z)) + 13176245769070193814*~(x^(~y&z)) + 2635249152319654214*(y^~(x|(~y&z))) + 7905747460694948701*(z^(~x&(y|z))) + 2635249152319654214*((y&~z)^(x|(y^z))) + 2635249156055590899*((x|y)&~(y^z)) + 5270498304639357802*(~x|(y&z)) + 15811494921389848028*~(x&~y), 49374 + 3735936685*(x^y)
6148914697463045431*(y&(x^z)) + 12297829383718330181*((x|~y)&~(y^z)) + 12297829379982442870*(x&y) + 12297829383718330181*~(x^z) + 3735936685*((x&~y)|(x^(y^z))) + 6148914689991172061*(x|(y^z)) + 12297829379982393496*(y^~(x|(y&z))), 49374 + 3735936685*(x^y)
18446744069973565557*(z^(x|(y|z))) + 3735986059*(z^~(x&(~y&z))) + 18446744066237628872*~y + 3735936685*(y^z) + 3735887311*(y^(x|~z)) + 18446744066237579498*(y&(x|~z)) + 3735986059*((y&~z)|~(~x|(~y&z))) + 3735936685*(x^(y^z)), 49374 + 3735936685*(x^y)
18446744066237628872*~(~x|(~y|z)) + 18446744069973565557*~(x|(y^z)) + 3735936685*(z^~(~x&(y&z))) + 18446744073709502242*(~x|(~y&z)) + 3735887311*(z^(x&y)) + 98748*(~(x|y)|~(x^(y^z))) + 3735936685*~(~x&(y|z)) + 18446744069973565557*(x|~y), 49374 + 3735936685*(x^y)
3735936685*(~x&(y^z)) + 18446744069973614931*((x&y)^~(x^(~y|z))) + 11207760681*(y^(x|(y|z))) + 11207810055*((x&z)|~(y|z)) + 18446744058765804876*(y^~(x&(y&z))) + 3735887311*(y|~(x|z)), 49374 + 3735936685*(x^y)
18446744073709502242*(~x&(~y&z)) + 18446744073709502242*((x|y)&(y^z)) + 3736035433*(x^y) + 18446744073709502242*(z^~(~x|(~y&z))) + 18446744073709502242*~(x&(y&z)) + 18446744073709403494*(y^(x&~z)) + 98748*(y|(x^z)), 49374 + 3735936685*(x^y)
6148914693727125204*(x&(y&z)) + 12297829379982426412*(z^~(x&(y&z))) + 18446744066237727620*(z&~(x^y)) + 12297829383718363097*(y^~(x&(y&z))) + 12297829383718313723*(x|~y) + 12297829383718313723*(~(x^y)|~(x^z)) + 6148914689991188519*(~(x|y)|~(y^z)) + 12297829387454250408*(~(x|~y)|(x^(y^z))), 49374 + 3735936685*(x^y)
18446744069973516183*(~(x&y)&(x^(y^z))) + 3735887311*(y^(x|z)) + 18446744073709452868*~(x|(y^z)) + 3736084807*((x&~y)|~(x^(y^z))) + 49374*(~(x|y)|(x^(y^z))) + 3735986059*(y^(x&~z)) + 18446744069973417435*~(~x&(y^z)) + 49374*~(y&~z), 49374 + 3735936685*(x^y)
3735936685*~(x|(~y|z)) + 3735936685*(y^~(x&(y^z))) + 3735936685*(~x&(~y|z)) + 18446744069973614931*(y^(~x&(y^z))) + 3735936685*((x&y)^(x^(y&z))) + 3735936685*(x|y) + 3735936685*(y|z) + 7471922744, 49374 + 3735936685*(x^y)
18446744043822107510*~(x|(y|z)) + 26151507421*~y + 18446744062501741561*((x&z)^(x^(~y&z))) + 18446744069973614931*~(x&(y|z)) + 3735936685*~(~x|(~y&z)) + 18446744062501741561*((y&~z)^(x|(y^z))) + 7471823996*(y|~(x|z)), 49374 + 3735936685*(x^y)
18446744073709502242*(y&~z) + 49374*(z^(x|(y|z))) + 18446744066237579498*(z^(~x|(y&z))) + 18446744073709502242*((x&~y)|(y^z)) + 7471922744*(y^~(~x&(y|z))) + 3735986059*(z^(~x&(y|z))) + 18446744069973516183*((x|y)&~(y^z)), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|(y|z)) + 3735936685*~(x|(~y|z)) + 3735936685*(x&~y) + 3735986059*(~x&(y&z)) + 18446744073709502242*((x|y)&~(x^(y^z))) + 18446744073709502242*(z^~(~x|(y&z))) + 18446744073709502242*(z^~(x|(y&z))) + 49374*((x&y)|~(x^(y^z))), 49374 + 3735936685*(x^y)
7471873370*(y&~z) + 18446744062501741561*(y^(x|(y|z))) + 22415570736*~y + 18446744066237678246*(~(x|y)|~(x^(y^z))) + 18446744062501741561*(z^~(x&(y&z))) + 14943697366*y + 3735936685*(~(x^y)|(x^z)) + 18446744066237678246*~(x&~y), 49374 + 3735936685*(x^y)
18446744066237628872*~(~x|(~y|z)) + 18446744069973614931*~y + 3735887311*((x^y)&(x^z)) + 3735936685*((x|y)&~(x^(y^z))) + 3735887311*~(~x&(y&z)) + 18446744069973565557*(y&z) + 49374*((x&z)^(x^(y&z))), 49374 + 3735936685*(x^y)
12297829383718346639*(y^(x|(y|z))) + 12297829383718297265*(~x&(y&z)) + 6148914693727141662*(y^~(~x|(~y&z))) + 12297829379982409954*((x&y)|(x^(y^z))) + 6148914689991204977*~(~x&(y|z)) + 6148914693727141662*~(~x&(~y|z)) + 12297829383718297265*~(~x&(y&z)), 49374 + 3735936685*(x^y)
7471823996*~(x|(y|z)) + 18446744066237727620*~(y|z) + 3735936685*(y^(x|(y&z))) + 18446744069973664305*(z&~(x&y)) + 3735887311*(z^~(~x|(~y&z))) + 18446744069973614931*(~(x^y)|~(x^z)) + 3735887311*(~x|(~y|z)), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 18446744069973664305*(~x&(y|z)) + 3735887311*(y^(x|(~y&z))) + 18446744069973614931*(x&y) + 3735887311*y, 49374 + 3735936685*(x^y)
49374*~(~x|(~y|z)) + 3735887311*(y^(x&(y|z))) + 18446744069973614931*(y^(x|(y^z))) + 18446744066237678246*(y^~(x|(~y&z))) + 3735887311*~(~x&(y|z)) + 3735887311*(~(x^y)|(x^z)) + 49374*((x&~y)|~(y^z)), 49374 + 3735936685*(x^y)
18446744073709535158*(z^~(~x&(~y&z))) + 3735920227*(~x|(y^z)) + 3735936685*((x|y)&(x^(y^z))) + 18446744069973598473*(y^(~x&(~y|z))) + 18446744073709518700*((x&y)^(x^(y&z))), 49374 + 3735936685*(x^y)
18446744069973664305*((y&z)^~(x&(y^z))) + 18446744069973614931*(z^~(~x&(~y&z))) + 14943647992*(z^(x&(y|z))) + 11207711307*(~y|~(x^z)) + 7471823996*~(y^z) + 18446744062501790935*(y^~(x|(y&z))) + 18446744066237727620*(z|(x&~y)), 49374 + 3735936685*(x^y)
7471823996*((x&z)^~(y&~z)) + 7471823996*(y^(x&(~y|z))) + 18446744066237727620*(~y|(x^z)) + 3735887311*(y^~(x&(y|z))) + 18446744066237727620*~(x&(~y&z)) + 3735887311*(~x|(y|z)), 49374 + 3735936685*(x^y)
2077937157178753865*(y^(x|(~y&z))) + 2077937153442817180*(y^~(x|(y^z))) + 4155874310621620419*~(~x&(y^z)) + 14290869766823867882*~(~x&(~y&z)) + 16368806916530748377*(x|(~y|z)), 49374 + 3735936685*(x^y)
18446744073709535158*~(x|(y&z)) + 18446744073709535158*((y&~z)|~(x|(~y&z))) + 3735920227*(x^y) + 18446744073709535158*(x|~z) + 18446744073709518700*(z&(x|~y)) + 16458*(z^~(x|(~y&z))) + 18446744073709535158*(~(x^y)|(x^z)), 49374 + 3735936685*(x^y)
3735936685*(~z&(x^y)) + 18446744069973664305*(z^~(~x&(~y&z))) + 3735837937*(~z|~(x^y)) + 18446744069973664305*((x&z)|~(y|z)) + 18446744069973664305*(z^~(x|~y)) + 18446744066237776994*~(x&(y^z)) + 11207661933*(~x|(~y|z)), 49374 + 3735936685*(x^y)
12297829379982393496*~(x|y) + 12297829387454266866*(y^(~x|(y&z))) + 12297829383718330181*((x&~y)|(y^z)) + 6148914686255284750*(z^~(~x&(~y|z))) + 6148914682519348065*(y^~(x|(~y&z))) + 6148914697463045431*(y|~z) + 12297829383718330181*(y^(x&(y^z))) + 12297829383718330181*(x|z), 49374 + 3735936685*(x^y)
14423481661251693083*~(x&(y|z)) + 7211740832493790197*(y^~(~x&(y&z))) + 3188478416299994979*(y^~(x|(y^z))) + 4023262412457858533*(~(x^y)|(x^z)) + 10400219248793834550*(z&(x|y)) + 8046524828651653751*(z^~(x|(y&z))) + 18446744069973614931*(z|~(x|y)) + 11235003244951648730*(x|(y|z)), 49374 + 3735936685*(x^y)
12297829379982442870*(x&~z) + 18446744069973664305*~(x|y) + 12297829383718330181*(z^(x|y)) + 6148914693727108746*((y&z)^~(~x&(y^z))) + 6148914693727158120*~(x|~y) + 6148914689991221435*~(x^(y^z)) + 6148914693727108746*(y^~(~x&(y&z))) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744066237628872*~(x|z) + 11207859429*(z^(~x|(~y|z))) + 3735936685*(x&(y^z)) + 7471873370*(~x&(y&z)) + 18446744069973565557*(z^~(~x&(y|z))) + 18446744069973565557*(y^~(~x&(y|z))) + 3735986059*(~x|(~y&z)) + 18446744073709502242*(z^~(x|~y)), 49374 + 3735936685*(x^y)
18446744069973614931*~(y|z) + 7471823996*(z^(~x|(~y|z))) + 18446744069973614931*~z + 18446744069973614931*(x&(y&z)) + 3735936685*(x|(y&z)) + 18446744073709502242*(z|(x&y)), 49374 + 3735936685*(x^y)
49374*(z^(x&(~y|z))) + 18446744066237826368*(x&(y&z)) + 3735837937*~(~x|(y^z)) + 18446744073709502242*((x&y)^(x^(~y|z))) + 3735936685*(y^(x&(y^z))) + 18446744073709502242*(y|z), 49374 + 3735936685*(x^y)
18446744062501692187*~(x|(y&z)) + 3735887311*((y&z)^~(~x&(y^z))) + 18446744069973614931*(z^~(~x&(y|z))) + 11207810055*((x&z)^(y|z)) + 3735936685*(~z|~(x^y)) + 11207760681*(~(x&~y)&~(y^z)) + 18446744062501642813*(y&(x|z)) + 18446744069973713679*(y^~(x|z)), 49374 + 3735936685*(x^y)
49374*(y^(x&(y|z))) + 3735887311*(~x|(~y&z)) + 18446744069973664305*~(y^z) + 7471774622*(y&~(x&~z)) + 3735936685*(z&~(x&~y)) + 18446744066237727620*(y^~(x|(y&z))) + 18446744066237727620*(z|~(x|~y)) + 7471774622*(x|(~y|z)), 49374 + 3735936685*(x^y)
18446744069973516183*(z^(~x|(~y|z))) + 3735986059*((x&y)^(y|~z)) + 18446744069973614931*(z^~(~x&(y|z))) + 3735986059*(x^(y&z)) + 18446744069973516183*((x&~y)|~(x^(y^z))) + 18446744069973516183*(~(x|~y)|(y^z)) + 7471972118*~(x&(y&z)) + 18446744073709502242*(z^(x&~y)), 49374 + 3735936685*(x^y)
7471577126*((y&z)^~(x&(y^z))) + 18446744069973664305*(~y&~(x^z)) + 18446744069973861801*((x&y)^(y|~z)) + 49374*(~y|(x^z)) + 18446744066237974490*((x&y)|~(y|z)) + 7471478378*((x&y)|~(y^z)) + 18446744066237875742*(z^(x&~y)) + 7471725248*((x&y)^(x^(y&z))), 49374 + 3735936685*(x^y)
7471873370*~z + 18446744066237628872*(~y&~(x^z)) + 18446744069973614931*((x|~y)&~(x^(y^z))) + 18446744058765755502*(x^z) + 18679732799*(z^~(~x|(~y&z))) + 3735936685*(y&z) + 3735936685*~(x&~z) + 18446744066237628872*(x|(y|z)), 49374 + 3735936685*(x^y)
16397105842467176548*(~y&~(x^z)) + 4099276462484750136*((y&~z)|~(x|(~y&z))) + 8198552921233563587*((y&~z)^(~x|(y^z))) + 2049638227506438383*(y&(x|~z)) + 10248191152475938655*(y^~(x&(y|z))) + 12297829379982426412*(y^~(x|z)) + 4099276462484750136*(z^~(x|(y&z))) + 8198552924969500272*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*((y&~z)^(~x|(y^z))) + 18446744069973565557*(y&(x|~z)) + 49374*~(x^(y|z)) + 18446744073709502242*~(~x&(y|z)) + 18446744069973614931*(x|(y&z)) + 7471873370*(x|y), 49374 + 3735936685*(x^y)
7471774622*(z^(x|y)) + 3735986059*~(x|(~y&z)) + 18446744066237727620*(z^(x&(y|z))) + 7471873370*(z&~(x&y)) + 18446744069973565557*(~x|(~y&z)) + 18446744069973664305*(~(x|y)|(x^(y^z))) + 3735837937*(~(x&~y)&~(y^z)), 49374 + 3735936685*(x^y)
