# 49374 + 3735936685*(x^y)
11045209123311650142*~y + 3735936685*(x^y) + 11045209123311650142*y + 11045209123311699516, 49374 + 3735936685*(x^y)
18446744066237727620*(x&y) + 7471823996*x + 18446744069973614931*(x|~y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
3735887311*~(x&y) + 18446744073709502242*(x&y) + 3735936685*x + 18446744069973614931*(x|~y), 49374 + 3735936685*(x^y)
18446744069973664305*~(x|y) + 3735887311*~(x&y) + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 49374*~x + 3735887311*~(x&y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 49374*~(x|~y) + 3735887311*(x^y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
18446744069973664305*x + 18446744073709502242*(x|~y) + 18446744069973614931*y + 7471823996*(x|y), 49374 + 3735936685*(x^y)
11742402069443241945*(x&~y) + 11742402069443241945*~(x|~y) + 6704342008002196982*(x^y) + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
3735936685*(x^y) + 49374*(x&y) + 18446744073709502242*x + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735887311*~y + 3735887311*~(x|~y) + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
49374*(x&~y) + 3735936685*(x^y) + 18446744073709502242*~(x&y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
11312959530609587227*~(x|~y) + 11312959526873650542*(x|~y) + 18446744069973614931*~(x&~y) + 11312959523137763231, 49374 + 3735936685*(x^y)
18446744069973614931*(x|~y) + 18446744069973614931*~(x&~y) + 18446744066237727620, 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 3842777309394033504*~(x|~y) + 3842777305658096819*~(x^y) + 14603966768051405423*~(x&~y), 49374 + 3735936685*(x^y)
3735887311*~(x|~y) + 18446744069973664305*(x&y) + 18446744073709502242*~(x^y) + 3735887311*x, 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744069973614931*~(x&~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
18446744062501790935*~(x|y) + 7471823996*~x + 3735887311*(x|~y) + 18446744069973614931*y, 49374 + 3735936685*(x^y)
18446744066237727620*~(x^y) + 3735887311*x + 18446744069973664305*y + 7471774622*~(x&~y), 49374 + 3735936685*(x^y)
18446744066237727620*~(x^y) + 18446744069973664305*x + 7471774622*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
1129085816773041888*~x + 3735936685*(x^y) + 1129085816773041888*x + 1129085816773091262, 49374 + 3735936685*(x^y)
18446744073709502242*~x + 18446744066237678246*(x&y) + 3735887311*x + 3735936685*y, 49374 + 3735936685*(x^y)
12520028772385455615*~x + 3735936685*(x^y) + 12520028772385455615*x + 12520028772385504989, 49374 + 3735936685*(x^y)
7056703708970272819*(x&~y) + 7056703708970322193*~(x|~y) + 11390040368475166108*(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
14175474217055502683*(x&~y) + 18446744069973614931*(x|~y) + 14175474213319565998*~(x&~y) + 14175474209583678687, 49374 + 3735936685*(x^y)
7471873370*(x&~y) + 18446744069973614931*~y + 18446744069973614931*x + 18446744069973664305, 49374 + 3735936685*(x^y)
7471823996*(x&~y) + 3735887311*~x + 3735887311*(x&y) + 18446744069973614931*(x|~y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 18446744069973614931*(x&y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
3735936685*~x + 18446744069973614931*y + 7471873370*(x|y) + 3735986059, 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 3735986059*~(x|~y) + 18446744073709502242*~x + 18446744073709502242*y, 49374 + 3735936685*(x^y)
3735887311*~(x|~y) + 18446744069973614931*(x&y) + 3735936685*x + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
3735986059*(x&~y) + 3735936685*~(x|~y) + 18446744073709502242*~(x&y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 3735887311*~x + 3735887311*x + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
49374*(x&~y) + 3735887311*(x^y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
11806791982628349590*(x&~y) + 11806791978892412905*~(x^y) + 6639952091081202026*(x|~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
3735887311*~(x|y) + 18446744069973614931*x + 18446744069973614931*~(x&~y) + 7471823996*(x|y), 49374 + 3735936685*(x^y)
3735986059*(x^y) + 18446744073709502242*~(x&y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 3735936685*~(x&y) + 3735936685*y + 3735986059, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 18446744069973565557*~y + 3735936685*~(x&y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
18446744069973614931*~(x^y) + 18446744069973664305*y + 3735887311*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 18446744073709502242*~(x^y) + 18446744069973664305*x + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~x + 3735887311*~(x&y) + 18446744069973565557*(x&y) + 3735936685*y, 49374 + 3735936685*(x^y)
49374*~x + 3735936685*(x^y) + 18446744073709502242*~(x&y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
8841018004472204929*(x^y) + 8841018000736268244*~(x^y) + 8841018000736317618, 49374 + 3735936685*(x^y)
18446744069973614931*(x&y) + 49374*y + 18446744073709502242*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*(x&y) + 49374*x + 18446744073709502242*(x|~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
908074713034988672*~(x|~y) + 3735887311*(x^y) + 908074713034939298*~(x^y) + 17538669360674562944*~(x&~y), 49374 + 3735936685*(x^y)
3735887311*~(x&y) + 18446744073709502242*~(x^y) + 3735887311*y + 18446744069973664305*~(x&~y), 49374 + 3735936685*(x^y)
6888302805772865254*(x&~y) + 3735936685*(x^y) + 6888302805772865254*~(x&~y) + 6888302805772914628, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 18446744073709502242*~(x|~y) + 3735936685*~(x&y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
3735986059*(x&~y) + 3735986059*~(x|~y) + 18446744073709502242*~(x&y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
7471774622*~(x|~y) + 18446744073709502242*~(x^y) + 3735887311*x + 18446744069973664305*y, 49374 + 3735936685*(x^y)
7471823996*~x + 7471823996*x + 18446744069973614931*(x|~y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
8666645965353410524*(x^y) + 9780098112092028403*~(x&y) + 9780098112092028403*(x&y) + 8666645961617473839*~(x^y), 49374 + 3735936685*(x^y)
3735887311*~(x&y) + 18446744073709502242*~(x^y) + 3735887311*x + 18446744069973664305*(x|~y), 49374 + 3735936685*(x^y)
12464419312321209050*~(x&y) + 6482094547196979173*(x&y) + 5982324761388293192*~(x^y) + 5982324765124229877*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*~x + 3735887311*(x^y) + 49374*~(x&y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
7471823996*~y + 18446744069973614931*x + 11207760681*y + 18446744066237678246*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973664305*~(x|y) + 18446744073709502242*~x + 3735936685*~(x&y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
49374*~x + 3735887311*(x^y) + 49374*y + 18446744073709452868*~(x&~y), 49374 + 3735936685*(x^y)
424869193047800369*~(x|y) + 424869193047800369*(x&y) + 18021874876925814562*~(x^y) + 18446744069973664305, 49374 + 3735936685*(x^y)
18446744066237727620*~(x|y) + 3735887311*~y + 3735887311*~x + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
18446744066237678246*(x&y) + 3735936685*x + 3735936685*y + 49374, 49374 + 3735936685*(x^y)
3735887311*(x&~y) + 18446744069973614931*(x&y) + 3735936685*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 3735936685*~x + 18446744069973614931*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 18446744069973664305*x + 18446744073709502242*(x|~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744069973664305*~y + 18446744069973664305*~x + 7471774622*~(x&y) + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
18446744066237776994*~(x|y) + 3735887311*~y + 3735887311*~x + 18446744073709502242*~(x^y), 49374 + 3735936685*(x^y)
3735887311*~(x|~y) + 18446744073709502242*(x|~y) + 18446744069973614931*y + 3735936685*(x|y), 49374 + 3735936685*(x^y)
3735936685*(x^y) + 49374*y + 18446744073709502242*~(x&~y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
3735887311*~x + 18446744073709502242*~(x^y) + 18446744069973664305*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 7471823996*~x + 3735887311*x + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
49374*~(x|~y) + 3735887311*~x + 18446744069973614931*~(x&~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 7471823996*~y + 18446744069973614931*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
3735936685*~x + 3735936685*y + 18446744066237678246*~(x&~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 3735936685*(x&~y) + 18446744069973614931*x + 3735887311*(x|y), 49374 + 3735936685*(x^y)
3735936685*~(x&y) + 3735936685*x + 18446744069973614931*(x|~y) + 49374, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 18446744073709502242*~y + 18446744069973614931*(x&y) + 3735887311*y, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 17481029085260191341*~(x&y) + 17481029081524254656*(x&y) + 17481029081524304030, 49374 + 3735936685*(x^y)
49374*~(x|~y) + 3735887311*(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~y + 7471873370*~(x&y) + 3735936685*x + 3735986059, 49374 + 3735936685*(x^y)
6521685790600051463*~(x&y) + 6521685786864114778*(x&y) + 3735936685*(x|y) + 6521685790600100837, 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744069973565557*~x + 3735936685*~(x&y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
18446744073709502242*~x + 18446744069973565557*x + 18446744069973614931*y + 7471873370*(x|y), 49374 + 3735936685*(x^y)
18446744069973664305*~(x|y) + 18446744073709502242*~y + 3735936685*~(x&y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~x + 18446744066237678246*(x|~y) + 18446744069973614931*y + 18446744062501790935, 49374 + 3735936685*(x^y)
18446744069973565557*~(x|y) + 3735936685*~y + 3735887311*~(x|~y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
7471873370*~(x|~y) + 18446744073709502242*~x + 3735887311*x + 18446744069973614931*y, 49374 + 3735936685*(x^y)
4415088842435931011*~x + 18446744069973614931*~(x^y) + 4415088842435931011*x + 4415088838700043700, 49374 + 3735936685*(x^y)
18446744069973565557*~(x|y) + 3735936685*~x + 18446744069973614931*y + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*~(x|y) + 49374*~x + 3735887311*(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 3735887311*~y + 18446744069973614931*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
3735887311*~(x|y) + 3735887311*(x&~y) + 18446744069973614931*~(x^y) + 3735887311*y, 49374 + 3735936685*(x^y)
18446744069973664305*~y + 3735887311*~(x&y) + 18446744069973614931*~(x^y) + 3735887311*(x|~y), 49374 + 3735936685*(x^y)
3735887311*~(x|y) + 18446744069973614931*(x|~y) + 18446744069973614931*y + 7471823996*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735936685*(x&~y) + 3735887311*~x + 18446744073709502242*x, 49374 + 3735936685*(x^y)
18446744066237678246*~(x|y) + 3735936685*~y + 18446744069973614931*x + 18446744069973664305, 49374 + 3735936685*(x^y)
18280893935722247153*(x&~y) + 18280893935722296527*~(x|~y) + 165850141723191774*(x^y) + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
18446744069973614931*~y + 18446744062501790935*(x&y) + 7471823996*x + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
98748*(x&~y) + 18446744073709502242*~y + 3735887311*(x^y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
7471823996*(x&~y) + 18446744069973664305*~y + 3735887311*~x + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 49374*(x&~y) + 3735887311*~(x&y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
9142814395591928138*~(x|~y) + 4651964842794723737*(x^y) + 13794779234650715190*(x|~y) + 4651964839058787052*~(x&~y), 49374 + 3735936685*(x^y)
18446744073709452868*~(x|y) + 49374*~y + 3735887311*(x^y) + 18446744073709502242*x, 49374 + 3735936685*(x^y)
18446744073709502242*(x&~y) + 18446744069973614931*(x&y) + 18446744073709502242*~(x&~y) + 3735936685*(x|y), 49374 + 3735936685*(x^y)
18446744073709502242*~y + 18446744069973614931*(x&y) + 18446744073709502242*y + 3735936685*(x|y), 49374 + 3735936685*(x^y)
7471823996*~(x|~y) + 3735887311*x + 18446744069973664305*y + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
7471823996*(x&~y) + 18446744069973614931*~y + 3735887311*~x + 18446744073709502242*(x&y), 49374 + 3735936685*(x^y)
49374*(x&~y) + 18446744069973664305*(x&y) + 18446744073709502242*(x|~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735936685*~y + 18446744069973614931*(x|~y) + 18446744069973664305, 49374 + 3735936685*(x^y)
3735986059*(x&~y) + 18446744069973565557*~y + 3735936685*~(x&y) + 18446744073709502242*(x|y), 49374 + 3735936685*(x^y)
7540482452198372118*~(x|y) + 7540482455934308803*(x^y) + 7540482452198372118*(x&y) + 7540482452198421492, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 3735887311*(x&~y) + 3735936685*~x + 18446744073709502242*~(x&~y), 49374 + 3735936685*(x^y)
7471823996*~y + 3735936685*x + 18446744066237678246*(x|~y) + 3735887311*y, 49374 + 3735936685*(x^y)
3372515968390886937*~(x|y) + 7537114054527275995*~(x&y) + 7537114050791339310*~(x^y) + 10909630022918162932*(x|y), 49374 + 3735936685*(x^y)
3735936685*~(x|~y) + 18446744073709502242*~x + 18446744069973614931*(x&y) + 3735887311*x, 49374 + 3735936685*(x^y)
18446744066237727620*~(x|y) + 3735887311*~y + 18446744069973614931*(x&y) + 3735887311*~(x&~y), 49374 + 3735936685*(x^y)
3735936685*~y + 7471873370*~(x|~y) + 18446744069973565557*~x + 18446744073709502242*x, 49374 + 3735936685*(x^y)
18446744069973614931*~(x|y) + 16562946728218946434*~(x&y) + 16562946724483009749*(x&y) + 16562946724483059123, 49374 + 3735936685*(x^y)
3735936685*(x&~y) + 3735986059*~(x|~y) + 18446744073709502242*~(x&y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
10980682526458448968*(x^y) + 7466061550987039333*~(x&y) + 7466061550987039333*(x|y) + 7466061550987088707, 49374 + 3735936685*(x^y)
17396863306111869358*(x&~y) + 1049880771333569569*(x^y) + 1049880767597632884*~(x^y) + 17396863306111869358*~(x&~y), 49374 + 3735936685*(x^y)
4143529713224290423*(x&~y) + 18446744069973614931*~(x^y) + 4143529713224290423*~(x&~y) + 4143529709488403112, 49374 + 3735936685*(x^y)
18446744069973565557*~(x|y) + 18446744073709502242*(x&~y) + 3735936685*~(x&y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
7471873370*(x&~y) + 18446744069973614931*~y + 3735936685*~x + 49374, 49374 + 3735936685*(x^y)
3735887311*~y + 18446744069973614931*(x|~y) + 18446744073709502242*y + 3735936685*(x|y), 49374 + 3735936685*(x^y)
49374*(x&~y) + 3735887311*~y + 18446744069973614931*(x|~y) + 3735887311*(x|y), 49374 + 3735936685*(x^y)
3735887311*~(x|~y) + 18446744069973614931*~x + 3735936685*~(x&y) + 18446744073709502242*(x|~y), 49374 + 3735936685*(x^y)
49374*~x + 3735986059*(x^y) + 18446744073709452868*~(x&y) + 18446744073709502242*y, 49374 + 3735936685*(x^y)
18446744069973614931*~y + 7471823996*~(x&y) + 3735887311*(x&y) + 18446744069973614931*~(x&~y), 49374 + 3735936685*(x^y)
3145102062818682098*~(x&y) + 3145102059082745413*(x&y) + 3735936685*(x|y) + 3145102062818731472, 49374 + 3735936685*(x^y)
7471922744*(x&~y) + 18446744073709502242*~(x&y) + 18446744069973565557*x + 3735936685*y, 49374 + 3735936685*(x^y)
18446744069973614931*x + 18446744069973664305*y + 18446744073709502242*~(x&~y) + 7471823996*(x|y), 49374 + 3735936685*(x^y)
