# 3735936685*~x
9925453257363832303*~(y|~z) + 7471873370*(y^(~x|(y|z))) + 18446744069973614931*~y + 4260645406304891314*(y^z) + 3735936685*(y^(x|(y^z))) + 9925453264835705673*(y^~(x|(y^z))) + 4260645406304891314*~(x^(y&z)) + 4260645402568954629*~(x^(y|z)), 3735936685*~x
12297829383718346639*((y&z)^~(~x&(y^z))) + 6148914693727141662*((x&z)^~(y&~z)) + 6148914686255268292*(x^(y&z)) + 12297829387454283324*(y^(x&(~y|z))) + 6148914689991204977*((x^y)|(x^z)) + 12297829379982409954*((x&z)|~(y|z)) + 6148914693727141662*(z|~(x|y)), 3735936685*~x
3735936685*~(y|z) + 3735936685*(z^(~x|(y&z))) + 18446744069973614931*(x|~z) + 3735936685*(y|~(x|~z)), 3735936685*~x
12371699363672756623*((x|~y)&~(y^z)) + 6075044706300858308*~(~x|(~y&z)) + 6075044710036794993*((x&y)^(x^(~y|z))) + 12371699363672756623*(y^(~x&(y^z))) + 3735936685*~(x&(~y&z)), 3735936685*~x
3735936685*((x|~y)&(y^z)) + 18446744069973614931*((x|y)&~(x^(y^z))) + 7471873370*(z^(x&y)) + 18446744069973614931*(~(x|y)|~(x^(y^z))) + 3735936685*(z^~(x&(y|z))) + 18446744069973614931*(x&(y|z)) + 18446744069973614931*(x|(~y&z)) + 3735936685*(y^~(x|z)), 3735936685*~x
3735936685*(x^z) + 3735936685*(~x|(~y&z)) + 18446744069973614931*(~y|(x^z)) + 18446744069973614931*((x&y)|(x^(y^z))) + 3735936685*(~z|~(x^y)), 3735936685*~x
12297829383718346639*(z^~(x&(~y&z))) + 12297829379982409954*(z^(x&(y|z))) + 6148914686255268292*(y&~(x^z)) + 6148914689991204977*(x&(y|z)) + 3735936685*((y&z)|(~x&(y|z))) + 6148914689991204977*(~(x^y)|(x^z)) + 3735936685*~(x&~y), 3735936685*~x
3735936685*(~z&~(x^y)) + 18446744069973614931*(~(x&y)&~(y^z)) + 11207810055*(y^~(~x&(y|z))) + 18446744066237678246*~(x&(y&z)) + 18446744069973614931*(z^~(x|~y)) + 18446744062501741561*y + 14943746740*(y|~(x|~z)), 3735936685*~x
7471873370*~(~x|(~y|z)) + 6148914689991204977*(z^~(x&~y)) + 6148914697463078347*(~y|(x^z)) + 12297829394926156694*(~(x&~y)&(x^(y^z))) + 12297829372510536584*((x&y)|(x^(y^z))) + 6148914689991204977*(y|~(x|z)) + 3735936685*(y|(x&~z)) + 6148914686255268292*(z|(x&y)), 3735936685*~x
10851025930106720580*~(x|(~y&z)) + 4340410372042688232*((x&z)^~(y&~z)) + 15191436294677535442*(~z|(x^y)) + 2170205186021344116*(z^(x&y)) + 2170205186021344116*~(x^(y|z)) + 11936128519381455953*((x&~y)|(x^(y^z))) + 17361641480698879558*(y|~(x|z)) + 5425512961317423605*((x&~y)|~(y^z)), 3735936685*~x
3735936685*(y^(~x|(y|z))) + 18446744069973614931*((x&y)|~(y|~z)) + 3735936685*(y|~(x|~z)), 3735936685*~x
18446744069973614931*(y^~(~x&(~y&z))) + 3735936685*(y^~(~x&(y|z))) + 18446744069973614931*(x&(y&z)) + 3735936685*(y^~(x&(~y|z))), 3735936685*~x
6148914693727141662*(y^(x&(~y|z))) + 12297829379982409954*(z^(x&y)) + 12297829383718346639*((x|~y)&~(y^z)) + 18446744066237678246*((x|y)&(x^(y^z))) + 18446744069973614931*(z^~(x&(~y|z))) + 6148914697463078347*(z^~(x|~y)) + 6148914697463078347*(y|~z) + 12297829379982409954*(x|(y&z)), 3735936685*~x
2635249153920784043*(~z|(x^y)) + 10540996608211262802*~(x^(y|z)) + 10540996615683136172*(z^~(x|(~y&z))) + 2635249157656720728*((x&z)^~(x^(~y&z))) + 2635249150184847358*~(x&(y^z)) + 15811494919788767573*(y^(~x&(y^z))) + 5270498304105631401*((x&y)^(x^(y&z))) + 7905747465498288814*(x|(~y|z)), 3735936685*~x
18446744066237678246*(x&~z) + 18446744069973614931*((x&z)^~(x^(y&z))) + 18446744069973614931*(y&(x^z)) + 18446744069973614931*(z^~(~x|(~y&z))) + 14943746740*(~y|(x^z)) + 7471873370*(y&~(x^z)) + 18446744069973614931*(y^~(x&(y&z))) + 18446744069973614931*(z^~(x|y)), 3735936685*~x
7471873370*(~(x&y)&~(y^z)) + 18446744069973614931*(y^~(~x&(y|z))) + 3735936685*(y^(x|(~y&z))) + 3735936685*(y^~(x|~z)) + 3735936685*(y^(~x&(y^z))) + 18446744066237678246*(z^~(~x|(y&z))), 3735936685*~x
14884255562127011332*(z^(~x|(~y|z))) + 18446744069973614931*(z^(x|(~y|z))) + 18446744069973614931*((y&z)^~(x&(y^z))) + 3735936685*(y^~(x&~z)) + 18446744069973614931*(x&(~y|z)) + 3735936685*(z^(x&~y)) + 14884255554655137962*((y&z)|(x&(y|z))) + 3562488519054413654*~(~x&(~y&z)), 3735936685*~x
7471873370*(~y&~(x^z)) + 7471873370*(z^(x&(y|z))) + 7471873370*~(~x|(~y&z)) + 3735936685*(z&~(x^y)) + 18446744066237678246*(z^~(x|~y)) + 18679683425*((x&z)^~(x^(~y&z))) + 18446744066237678246*(~(x|~y)|~(y^z)) + 18446744058765804876*(y^~(x|z)), 3735936685*~x
11207810055*~(x|(y|z)) + 18446744062501741561*~(~x|(~y|z)) + 3735936685*~(x|y) + 3735936685*(z^(x|(~y&z))) + 18446744062501741561*(~(x&y)&~(x^(y^z))) + 7471873370*(y^(x&z)) + 18446744069973614931*((y&~z)|~(~x|(~y&z))) + 3735936685*((y&z)|(x&(y|z))), 3735936685*~x
15418270759306844432*(y^(x|(y&z))) + 3735936685*~x + 15418270759306844432*(z^~(~x&(y|z))) + 12389797444904137248*~(x^(~y&z)) + 3028473314402707184*(~x|(y^z)) + 12389797444904137248*(y^(~x&(y|z))) + 12389797444904137248, 3735936685*~x
3735936685*(x&~z) + 18446744066237678246*((x^y)&~(x^z)) + 7471873370*~(y|~z) + 3735936685*(y^~(~x&(y|z))) + 7471873370*(~(x|~y)|(y^z)) + 7471873370*((x&y)|(y^z)) + 11207810055*(y^(x&~z)) + 18446744055029868191*(x|(y|z)), 3735936685*~x
18446744069973614931*(~(x&y)&(x^(y^z))) + 3735936685*(~(x&y)&~(y^z)) + 18446744066237678246*(x|(y&z)) + 7471873370*(x|(y|z)), 3735936685*~x
3410687315261088280*(~z&~(x^y)) + 7518028371752358298*(x&~z) + 7518028382960168353*(z^(~x|(y|z))) + 3735936685*(z^(x|(y&z))) + 10928715694485319948*(~(x&y)&(y^z)) + 10928715698221256633*((x^y)&(x^z)) + 7518028379224231668*((y&~z)^(~x|(y^z))), 3735936685*~x
18446744058765804876*~(x|(~y|z)) + 22415620110*((x&y)^~(x^(y&z))) + 18446744069973614931*(z^(x&(y|z))) + 18446744069973614931*(~z|(x^y)) + 18446744058765804876*~(x^y) + 3735936685*(x&(~y|z)) + 11207810055*(y&z), 3735936685*~x
18446744069973614931*(x&(y&z)) + 3735936685*(~x|(y&z)), 3735936685*~x
7471873370*~(x|(y&z)) + 18446744069973614931*(y^~(x&(y&z))) + 3735936685*(y^~(x|(y&z))) + 18446744069973614931*~(x&~y) + 3735936685*((x&y)^(x^(y&z))), 3735936685*~x
13316120715520985967*~(x|(~y&z)) + 13316120715520985967*((x&z)^~(y&~z)) + 5130623361924502334*(~x|(y^z)) + 15881432396483237134*(y&~(x^z)) + 15881432392747300449*(y^~(x|(y^z))) + 7695935039150816816*(~(x|~y)|~(y^z)) + 2565311680962251167*(y|(x&~z)) + 13316120711785049282*(x|y), 3735936685*~x
18446744069973614931*((x&z)^~(x^(y&z))) + 3735936685*(x^(y|z)) + 18446744069973614931*((x&y)|(x^(y^z))) + 3735936685*(y^~(x&(y&z))) + 18446744069973614931*(y&z) + 18446744069973614931*(~(x^y)|(x^z)) + 7471873370*~(x&~y), 3735936685*~x
6724686033*~(x|y) + 18446744069973614931*(~(x|y)|~(x^(y^z))) + 2988749348*((x^y)|(x^z)) + 18446744070720802268*(x|~z) + 18446744072215176942*(~(x^y)|~(x^z)) + 18446744072962364279*(z&~(x&~y)) + 5230311359*(y|~(x^z)), 3735936685*~x
8429107933848243882*(y^z) + 3735936685*(~(x&y)&~(y^z)) + 8429107926376370512*(x^y) + 16858215860224614394*(x&(y&z)) + 10017636143597244419*~(~x&(~y|z)) + 18446744069973614931*((x&y)|~(y|~z)) + 10017636147333181104*(z|~(x|~y)), 3735936685*~x
3735936685*(y^(x|z)) + 11207810055*(z^~(~x&(y&z))) + 18446744066237678246*(z&(x^y)) + 22415620110*((x|y)&~(y^z)) + 18446744062501741561*~(y^z) + 18446744058765804876*((x&z)^(x^(y&z))) + 14943746740*((x&y)|~(x^(y^z))) + 18446744062501741561*~(~x&(~y&z)), 3735936685*~x
18446744069973614931*(y^(~x&(y|z))) + 18446744069973614931*(x&(~y|z)) + 3735936685*(z^~(x|~y)) + 3735936685*~(x&~y) + 3735936685*~(y&~z) + 18446744069973614931*~(x&~z), 3735936685*~x
3735936685*~y + 18446744069973614931*((x&z)|~(y|z)) + 3735936685*((x&z)^~(x^(~y&z))), 3735936685*~x
1181805168044747285*~(x|(~y|z)) + 9814274622745117793*~(x|y) + 17264938913136677701*(~x&(y^z)) + 9814274615273244423*(~(x&y)&(x^(y^z))) + 9814274615273244423*(x&(y^z)) + 8632469454700370508*(z^~(x&(~y&z))) + 3735936685*(x^(y&z)), 3735936685*~x
15047669126202793548*(z^(~x|(~y|z))) + 3735936685*(y^~(x&(y^z))) + 3399074940034884698*(z^~(~x&(~y&z))) + 7471873370*((x&y)^(y|~z)) + 3399074936298948013*(y^(x|~z)) + 15047669133674666918*(~y|(x^z)) + 18446744069973614931*(y&(x|z)) + 3735936685*(z^~(x|(y&z))), 3735936685*~x
18446744066237678246*~(~x|(y|z)) + 3735936685*(y^~(x&(y^z))) + 11207810055*(x^y) + 18446744066237678246*(y^(x&(~y|z))) + 3735936685*~(~x|(~y&z)) + 18446744069973614931*(x&(~y|z)), 3735936685*~x
3735936685*((x&z)^~(x^(y&z))) + 7471873370*(y&~(x&z)) + 18446744055029868191*((x|y)&~(x^(y^z))) + 3735936685*(~z|(x^y)) + 18446744062501741561*(~(x|y)|(x^(y^z))) + 3735936685*z + 7471873370*(x|(~y|z)), 3735936685*~x
17928881830360328516*(z^(x|(y&z))) + 9482303158529387358*(y^(~x|(~y|z))) + 3735936685*(x^z) + 3735936685*(~x|(~y&z)) + 18446744069973614931*(z^~(~x|(~y&z))) + 9482303158529387358*(z^~(~x|(y&z))) + 8964440915180164258*(z^~(x|y)), 3735936685*~x
16820323135046885097*(y^~(~x|(~y&z))) + 18446744069973614931*(y&~(x&z)) + 18446744066237678246*(x^y) + 7471873370*((x&y)^(y|z)) + 3735936685*~(x^(y|z)) + 16820323123839075042*((y&~z)^(x|(y^z))) + 16820323123839075042*(z|~(x|~y)) + 3252841896005016463*(z|(x^y)), 3735936685*~x
18446744069973614931*(z^(x|(~y|z))) + 3735936685*(~(x&~y)&(y^z)) + 3735936685*(z^~(x&~y)) + 18446744069973614931*((x&y)|(y^z)) + 3735936685*(~(x|y)|~(y^z)), 3735936685*~x
3735936685*(z^(x&y)) + 18446744069973614931*~(~x|(~y&z)) + 3735936685*(z^~(x&(y&z))) + 3735936685*~(x&(y^z)) + 3735936685, 3735936685*~x
6148914689991204977*(z^~(~x&(~y&z))) + 12297829383718346639*(z^~(x&~y)) + 6148914693727141662*(~x&(y|z)) + 12297829383718346639*(y^~(~x&(y|z))) + 6148914693727141662*~(x^y) + 12297829379982409954*(x&(y|z)), 3735936685*~x
14918202730579871788*~z + 3735936685*(z^~(~x&(~y&z))) + 14918202734315808473*~(x|~y) + 3735936685*~(x|(~y&z)) + 14918202734315808473*(z^(x|~y)) + 7057082678787486286*(z^~(~x&(y&z))), 3735936685*~x
18446744058765804876*(z^(x|(~y|z))) + 11207810055*~(x&(y|z)) + 18446744062501741561*(x^y) + 18446744066237678246*(z^(~x|(~y&z))) + 18446744066237678246*(y^~(x&(~y|z))) + 11207810055*~(~x&(~y|z)) + 18446744055029868191*((x&z)^(x^(y&z))) + 22415620110*((x&y)|~(y^z)), 3735936685*~x
13230558468730705046*~y + 5216185604978846570*(y^(~x|(~y|z))) + 3735936685*~(x&(~y|z)) + 5216185608714783255*((y&~z)^(x|(y^z))) + 13230558464994768361*(x|(~y&z)), 3735936685*~x
2988749348*(y^~(x&~z)) + 18446744072962364279*(y^~(~x|(~y&z))) + 3735936685*~(x|~z) + 18446744071467989605*(x|(~y&z)) + 1494374674*((x&y)|(y^z)) + 2988749348*(~(x|~y)|~(y^z)) + 18446744071467989605*(z|~(x^y)), 3735936685*~x
2241562011*(z^(x&(~y|z))) + 2988749348*(~x&(y|z)) + 18446744071467989605*(z&(x^y)) + 1494374674*(~x|(y^z)) + 18446744072962364279*(y^(~x&(y|z))) + 2988749348*(z^(~x&(~y|z))) + 18446744072215176942*((y&~z)^(x|(y^z))) + 747187337, 3735936685*~x
17402543836763026180*~z + 2088400462685240817*(x&(~y&z)) + 3735936685*(z^(~x|(y&z))) + 2088400470157114187*~(x&z) + 17402543840498962865*~(x&y) + 17402543840498962865*(z^(x&y)), 3735936685*~x
18446744066237678246*(y^~(~x&(~y&z))) + 3735936685*(~(x|~y)|~(x^(y^z))) + 3735936685*((x&y)|(x^(y^z))) + 18446744069973614931*(z^(~x&(y|z))) + 18446744069973614931*y + 18446744069973614931*(y|(x&~z)) + 7471873370*((x^y)|~(x^z)), 3735936685*~x
18088521180039421235*((x|~y)&~(x^(y^z))) + 358222897406067066*~(y&z) + 18446744069973614931*(x&z) + 3735936685*(~(x|~y)|(x^(y^z))) + 358222897406067066*((y&z)|(x&(y|z))) + 3735936685*(z|~(x|~y)) + 18088521172567547865*(x|(y|z)), 3735936685*~x
12297829383718346639*(y^~(x&(~y&z))) + 3735936685*(~x&(y^z)) + 6148914689991204977*(z^~(~x&(~y&z))) + 12297829383718346639*((x&~y)|~(x^(y^z))) + 6148914689991204977*((y&~z)|~(~x|(~y&z))) + 6148914689991204977*(x&(y|z)) + 6148914693727141662*(y|~(x|z)), 3735936685*~x
18446744069973614931*~(y|z) + 3735936685*((x&z)^~(y&~z)) + 4240735287698262978*(~x|(y^z)) + 4240735287698262978*(y&~(x^z)) + 4240735283962326293*(z&(x|~y)) + 14206008789747225323*(z^~(x|(~y&z))) + 14206008786011288638*(y|z), 3735936685*~x
11474555224237925765*~(x|(~y&z)) + 11474555224237925765*(~x&(~y|z)) + 6972188853207562536*~x + 11474555224237925765*~(~x|(~y&z)) + 6972188849471625851*((x&y)|~(y^z)), 3735936685*~x
3735936685*~(x|(~y|z)) + 3735936685*(x^(y|z)) + 3735936685*(z|~(x|y)) + 18446744069973614931*(z|(x^y)), 3735936685*~x
18446744069973614931*(z^(~x|(y|z))) + 18446744069973614931*(y^(x|(y&z))) + 18446744058765804876*(x^(~y|z)) + 14943746740*(z^~(~x&(y|z))) + 18446744066237678246*(x^(y&z)) + 11207810055*(~(x|~y)|~(x^(y^z))) + 18446744069973614931*((x&y)|~(y|z)) + 3735936685*(y^(~x&(y|z))), 3735936685*~x
11207810055*~(x|(~y|z)) + 3735936685*~(x&(y|z)) + 3735936685*(~(x|~y)|~(x^(y^z))) + 7471873370*~(x^(y|z)) + 3735936685*((y&~z)^(x|(y^z))) + 18446744066237678246*(~(x^y)|~(x^z)) + 3735936685*(y^~(x|(y&z))) + 18446744066237678246*~(~x&(~y&z)), 3735936685*~x
3735936685*(~(x|y)|(y^z)) + 3735936685*((y&~z)|~(x|(~y&z))) + 7471873370*(z^(x&(~y|z))) + 18446744062501741561*(z^~(~x&(~y|z))) + 18446744069973614931*~(x^(y|z)) + 18446744069973614931*(y&z) + 3735936685*(y|(x&~z)) + 3735936685*(y|~(x|~z)), 3735936685*~x
3735936685*~(x^z) + 18446744069973614931*~(x^(~y|z)) + 18446744069973614931*(x|~z) + 18446744069973614931*(z|~(x^y)) + 18446744066237678246, 3735936685*~x
