# 49374 + 3735936685*x
5172858198*((((x&y)^(y|~z))&~t)|((~(x^y)&(x^z))&t)) + 6322365784*(((y|z)&~t)|(((x|~y)&~(x^(y^z)))&t)) + 4310715165*((((y&z)^~(x&(y^z)))&~t)|((y^(x|z))&t)) + 18446744070548344037*((~(x&~x)&~t)|((y^(~x|(~y|z)))&t)) + 18446744059915263088*(((x^(~y|z))&~t)|(((x&~y)|(y^z))&t)) + 18446744063938613700*((((x|~y)&~(y^z))&~t)|(((x^y)&(x^z))&t)) + 5172858198*((((x&~y)|~(y^z))&~t)|((y&~(x&z))&t)) + 18446744071123122517*((((x&z)^~(y&~z))&~t)|((~x|(~y&z))&t)) + 14369067008*(((x^(~y|z))&~t)|(~(~x|(y^z))&t)) + 18446744073422187063*(((x|y)&~t)|((~(x&~y)&(x^(y^z)))&t)) + 18446744066812407352*(((z^~(~x&(y&z)))&~t)|(~(x^y)&t)) + 18446744063076421293*((((x&y)^(x^(y&z)))&~t)|((x^(~y&z))&t)) + 18446744068249279491*(((~z|~(x^y))&~t)|((y^(x&~z))&t)) + 18446744058478341575*(((~(x&~y)&~(x^(y^z)))&~t)|((y^(x&(y^z)))&t)) + 6322365784*((((y&z)^~(~x&(y^z)))&~t)|((~x|(~y|z))&t)) + 21553575825*((((x&y)|~(y^z))&~t)|((x|(y|z))&t)), 49374 + 3735936685*x
17577525769544513630*(((z^(x|~y))&~t)|((~(x^y)&(x^z))&t)) + 13521173666006582458*(((z|~(x|y))&~t)|((y^~(x&(y^z)))&t)) + 1835016421564385386*(((~(x&y)&~(y^z))&~t)|((~(x&~y)&(y^z))&t)) + 14776711226844794785*(((~z&(x^y))&~t)|((y^(x|(y|z)))&t)) + 9030212414122068978*((((x&y)|(x^(y^z)))&~t)|((z^~(~x&(~y|z)))&t)) + 10913518742303658445*((~(x^z)&~t)|((z&(x^y))&t)) + 1786726526155040734*(((z^~(x|y))&~t)|((y^~(x|(y^z)))&t)) + 1303827459983493664*(((~x|(~y|z))&~t)|((~(x|y)|(x^(y^z)))&t)) + 144869716115527436*(((y|~(x|~z))&~t)|((~z|~(x^y))&t)) + 16708307457907602274*((~y&~t)|((z^~(x|(~y&z)))&t)) + 4008062193184839780*(((x&(y&z))&~t)|((~(x|~y)|~(y^z))&t)) + 17867265201775519128*((~(x|~y)&~t)|((z^~(x|y))&t)) + 2076465958386095606*(((z&(x|~y))&~t)|((y^(x&(y^z)))&t)) + 10140880251372880499*(((x|~y)&~t)|((x|(y&z))&t)) + 2414495297234354559*(((~(x|~y)|(x^(y^z)))&~t)|((x|(y&z))&t)) + 17336076236458740095*(((y^(x&(y|z)))&~t)|((z|(x&y))&t)), 49374 + 3735936685*x
9850654267011952561*(((y^(x&(~y|z)))&~t)|(~(x|(y|z))&t)) + 16123476557376156906*(((y^(~x|(y&z)))&~t)|((z^(~x|(y|z)))&t)) + 12545644584464296001*(((y&~(x&~z))&~t)|(((y&z)^~(x&(y^z)))&t)) + 418188152192838523*((~(x|z)&~t)|((z^(x|(y&z)))&t)) + 12499179233390455582*(((y^~(~x&(y&z)))&~t)|((z^(x|y))&t)) + 12359783183904871010*(((y^~(~x&(~y&z)))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 8689020508845279893*(((x|(y^z))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 17563902418250034151*((~(~x&(~y|z))&~t)|((~(x|y)|(y^z))&t)) + 6876871843116467859*(((~(x&y)&(x^(y^z)))&~t)|(~(x|(~y&z))&t)) + 5529376688126306885*((~(~x&(~y|z))&~t)|(((x&y)^(y|~z))&t)) + 1719217963581081822*((x^y)^z) + 2090940764700079926*(((~(x^y)&(x^z))&~t)|((z^~(x&(~y|z)))&t)) + 8596089806697549681*(((z^~(x&(~y|z)))&~t)|((~y|~(x^z))&t)) + 17145714266057195628*(((x&(~y|z))&~t)|(((x&y)|~(x^(y^z)))&t)) + 5343515287566733772*(((y^(~x|(y&z)))&~t)|((x|(y&z))&t)) + 1998010062552349714*((((y&z)|(~x&(y|z)))&~t)|((z|~(x|y))&t)), 49374 + 3735936685*x
6416258826276734401*(((~(x&~y)&~(y^z))&~t)|((x&~z)&t)) + 8822355851106165097*((~(x&(y^z))&~t)|((z^~(x&~y))&t)) + 4010161764087986229*(((y^(x&(~y|z)))&~t)|((y^(x|(y|z)))&t)) + 10426420601572530685*(((z^(x|y))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 6416258796389290295*(((y^(x&z))&~t)|((y^~(~x|(y^z)))&t)) + 15238614647495406018*(((z^(x|y))&~t)|((z^~(~x&(y|z)))&t)) + 802032352817587371*((~(x&(y&z))&~t)|((y^(x|(y^z)))&t)) + 12030485251168704526*(((z|~(x|y))&~t)|(((y&~z)|~(~x|(~y&z)))&t)) + 5614226484667006459*(((y^(~x|(y|z)))&~t)|(x&t)) + 3208129403798525488*(((x&y)&~t)|((~(x^y)|~(x^z))&t)) + 12030485262376514581*(((z^~(x&y))&~t)|((x|(y^z))&t)) + 10426420575421023264*(((y&~(x&~z))&~t)|((z&~(x&~y))&t)) + 9624388215131562523*((((x&z)^(x^(y&z)))&~t)|(~(x&~y)&t)) + 12832517603986341271*(((z^~(~x&(~y&z)))&~t)|(((y&z)|(x&(y|z)))&t)) + 15238614662439103384*((((y&~z)^(~x|(y^z)))&~t)|(((x&y)|~(x^(y^z)))&t)) + 11228452913294863895*((((x&y)|(y^z))&~t)|(~(~x&(~y&z))&t)), 49374 + 3735936685*x
12297829377396015037*(((~x|(y|z))&~t)|((y&~z)&t)) + 6322331602*((((x|~y)&~(x^(y^z)))&~t)|((z^(x|(y|z)))&t)) + 12297829375671702385*(((~(x|y)|(x^(y^z)))&~t)|((~x&(~y|z))&t)) + 12297829380844541593*(((z^(~x&(~y|z)))&~t)|((z^(x&(y|z)))&t)) + 12297829383718346639*(((z^(~x|(~y|z)))&~t)|((x^y)&t)) + 12297829388891185847*(((y^~(~x|(y^z)))&~t)|((z&~(x&y))&t)) + 18446744070260975686*(((z^(x|y))&~t)|((z^~(~x|(~y&z)))&t)) + 6148914690565926487*(((~x|(y^z))&~t)|((z^(~x&(y|z)))&t)) + 6148914679932936690*((((x|y)&(y^z))&~t)|(~(x^z)&t)) + 6148914690853336616*(((y|~(x|~z))&~t)|((x|(~y&z))&t)) + 12297829381994083361*((((x&y)|(y^z))&~t)|(((x&y)|(y^z))&t)) + 12357302449*(((x|(y^z))&~t)|((~(x^y)|~(x^z))&t)) + 12297829390615449125*(((z^~(x|(~y&z)))&~t)|((~(x&~y)&~(y^z))&t)) + 12297829384580478278*(((~(x&y)&~(x^(y^z)))&~t)|((y&(x|z))&t)) + 12297829378832917560*((~y&~t)|((y^(~x&(y^z)))&t)) + 6148914688841663209*((((x&y)^(x^(y&z)))&~t)|(~(x&~y)&t)), 49374 + 3735936685*x
14757395257473306118*((~(y&~z)&~t)|((~x&(y|z))&t)) + 18446744073709452868*(((y^(~x|(~y&z)))&~t)|((x&(y&z))&t)) + 18446744069973713679*((~(~x|(y|z))&~t)|((z^(~x|(~y&z)))&t)) + 11068046459916941541*((~(~x|(y&z))&~t)|((y^~(x|~z))&t)) + 3689348801292350636*(((z&(x|y))&~t)|((~z|~(x^y))&t)) + 7378697636208526429*(((x|y)&~t)|(~(x^z)&t)) + 3689348823708217616*((z&~t)|(~(~x&(~y|z))&t)) + 7378697617528694882*(((z^(x|(~y|z)))&~t)|((x|(y^z))&t)) + 14757395268681264295*((((x|~y)&~(y^z))&~t)|(((x|y)&~(y^z))&t)) + 11068046437500975813*(((~z|~(x^y))&~t)|((y&(x|z))&t)) + 7378697628736653059*(((x^(~y|z))&~t)|((~(x|y)|~(y^z))&t)) + 7378697628736406189*(((x&~z)&~t)|(((y&z)|(~x&(y|z)))&t)) + 18446744062501741561*(((x|(y|z))&~t)|((z&(x|y))&t)) + 14757395257473108622*(((~x|(~y|z))&~t)|(~(~x&(y^z))&t)) + 3736183555*((~(x&~y)&~t)|((x|(~y|z))&t)) + 3689348823708069494*((~(x&(~y&z))&~t)|((x|(~y|z))&t)), 49374 + 3735936685*x
18446744066237704832*(((z^(~x|(y|z)))&~t)|(~(x|y)&t)) + 3735912631*((((x^y)|(x^z))&~t)|(((x&z)^~(x^(y&z)))&t)) + 7471820198*(((~z|~(x^y))&~t)|(((x&y)^(y|~z))&t)) + 18446744058765856782*(((y^~(~x|(~y&z)))&~t)|(~(x&z)&t)) + 18446744062501799797*(((~x|(~y|z))&~t)|((y&~(x^z))&t)) + 18446744069973625059*(((y^(~x|(y&z)))&~t)|((z^~(x&y))&t)) + 11207764479*(((x^(y&z))&~t)|((~(x|y)|(x^(y^z)))&t)) + 7471834124*((((x^y)&~(x^z))&~t)|((y^(~x&(y|z)))&t)) + 18446744066237725088*((((x|~y)&~(y^z))&~t)|((y^~(x&(y|z)))&t)) + 11207748021*(((y^~(x&(~y|z)))&~t)|((y^~(x&(y|z)))&t)) + 18446744069973608601*(((z^~(x|y))&~t)|((z&(x|~y))&t)) + 18446744066237714960*(((x&y)&~t)|((x|(y^z))&t)) + 18446744069973622527*(((y^(x|(y^z)))&~t)|(y&t)) + 3735915163*(((z^(x&(~y|z)))&~t)|((y|(x&z))&t)) + 18446744066237713694*(((~x&(~y&z))&~t)|((z|(x&~y))&t)) + 14943677110*(((~(x|~y)|~(y^z))&~t)|((x|(y|z))&t)), 49374 + 3735936685*x
14757395249254245411*(((y^z)&~t)|(((x&y)^~(x^(y&z)))&t)) + 9223372021911152503*(((z^(~x|(~y&z)))&~t)|((x&(~y&z))&t)) + 11068046436006749261*((((x|y)&(y^z))&~t)|(((x&~y)|(y^z))&t)) + 11068046465893995871*((~(~x|(y^z))&~t)|((z^(x&(~y|z)))&t)) + 11207711307*((~(x&~z)&~t)|((y^~(~x&(y|z)))&t)) + 9223371992023856519*(((~z|(x^y))&~t)|(((x&~y)|~(x^(y^z)))&t)) + 7378697675061922335*((x^y)|~z) + 11068046424798988580*(((~(x&y)&~(y^z))&~t)|((y^(x|(~y&z)))&t)) + 11207711307*(((y^~(~x|(~y&z)))&~t)|((z^~(x&(y&z)))&t)) + 9223372014439328507*(((x^(y|z))&~t)|((~(x&~y)&(x^(y^z)))&t)) + 11068046473365819867*((((x&~y)|(y^z))&~t)|((y^~(x&(y&z)))&t)) + 1844674387944237459*(((y|z)&~t)|(~(x&(y^z))&t)) + 16602069633462595559*(((z^(~x|(~y&z)))&~t)|(((x&~y)|~(y^z))&t)) + 16602069693237138153*((((x&z)^~(x^(~y&z)))&~t)|(~(~x&(y^z))&t)) + 14757395241782470789*(((z^~(~x|(y&z)))&~t)|(~(~x&(~y&z))&t)) + 3689348843134792134*((~(x&~y)&~t)|((z|~(x|~y))&t)), 49374 + 3735936685*x
9340123575288216662*((((x&z)^~(x^(~y&z)))&~t)|(~(x|(~y|z))&t)) + 18446744069973664305*((~(~x&(~y&z))&~t)|((y^~(x&(y^z)))&t)) + 10974645206754312003*(((y|(x&z))&~t)|((y^~(~x&(~y&z)))&t)) + 12842669933766873729*(((z^(x|(~y&z)))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 3502546339799121764*(((~z&(x^y))&~t)|((y^~(~x|(y^z)))&t)) + 4436558699569465942*(((~(x^y)&~(x^z))&~t)|(~(x|~z)&t)) + 6071080334771448594*((~(x&z)&~t)|((z^~(~x&(y|z)))&t)) + 1634521627730208030*(((z|~(x^y))&~t)|((y^~(~x&(~y|z)))&t)) + 16345216247414636194*(((z^(~x|(~y|z)))&~t)|((y^~(x&z))&t)) + 18213241008050381215*(((z^(~x|(~y&z)))&~t)|((y^~(x&z))&t)) + 17979737897560266838*(((y^(x|~z))&~t)|((~(x^y)|~(x^z))&t)) + 5137067982472928412*(((y^~(~x&(y^z)))&~t)|((y&~(x&~z))&t)) + 11908657566524705555*(((y^~(~x|(y^z)))&~t)|((y|~z)&t)) + 1167515440373162571*(((z^~(x|(~y&z)))&~t)|(~(x&(y^z))&t)) + 9573626670834683047*((((y&z)|(~x&(y|z)))&~t)|((~(x^y)|(x^z))&t)) + 11908657559052881559*(((~(x&~y)&~(x^(y^z)))&~t)|((y|(x&z))&t)), 49374 + 3735936685*x
6699329048965409984*(((y^(x&(y|z)))&~t)|(~(x|(y|z))&t)) + 10284885441579878328*(((y|~(x|~z))&~t)|(~(x|z)&t)) + 12360733880392435609*(((x|(~y|z))&~t)|((~(x&~y)&(y^z))&t)) + 1179459340658940195*(((x|~z)&~t)|((z^(~x|(y&z)))&t)) + 235891868131788039*(((y^(x&(y^z)))&~t)|((z^(~x|(y&z)))&t)) + 9954636828436907460*(((z^(x|(y|z)))&~t)|(((x^y)&(x^z))&t)) + 16889857745534105483*(((y^~(~x&(y&z)))&~t)|((z^(x|(~y&z)))&t)) + 16276538886149874821*((~(x|(y&z))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 4953729227031661508*(((z^~(x|(~y&z)))&~t)|(((x&z)^~(y&~z))&t)) + 5425512963295237586*(((~x&(y&z))&~t)|((z^~(x&(y&z)))&t)) + 11888950147864796216*(((z^~(x|~y))&~t)|(((x&z)|(y&~z))&t)) + 10615134058458736507*(((~(x|~y)|(y^z))&~t)|((y^(~x|(y^z)))&t)) + 16465252379908127790*(((~(x&y)&(y^z))&~t)|((z^~(x|~y))&t)) + 3679913141361587858*((~(y&z)&~t)|(~(~x&(y&z))&t)) + 14436582319205042264*((((x&y)|~(y|~z))&~t)|(~(x&(~y&z))&t)) + 11275631288480565554*(((z^~(~x|(~y&z)))&~t)|((z|(x&y))&t)), 49374 + 3735936685*x
280195843863*(((y^~(~x&(y|z)))&~t)|((z^(~x|(y|z)))&t)) + 12297828625321603158*(((y^(x|(y|z)))&~t)|(~(x|y)&t)) + 354914725685*(((~y&(x^z))&~t)|((y^~(x&~z))&t)) + 332499056201*((~(x^(y&z))&~t)|(~(x|(~y&z))&t)) + 12297829454701275318*((((x&z)^(x^(~y&z)))&~t)|((y^(x|(y^z)))&t)) + 12297830041244618587*(((~(x|y)|~(x^(y^z)))&~t)|((y^~(x&(~y|z)))&t)) + 12297829757312788665*(((x&~y)&~t)|(((x|~y)&(x^(y^z)))&t)) + 12297829028803604496*((~(x|(~y&z))&~t)|((y^~(x&(y|z)))&t)) + 12297829174505431455*(((y|(x&z))&~t)|((y^(~x&(~y|z)))&t)) + 6148914473306399965*(((y^~(~x|(y&z)))&~t)|(~(x^(y|z))&t)) + 6148914589120684070*((~(x&~y)&~t)|(~(~x&(y|z))&t)) + 6148914947771395814*((((x&~y)|(x^(y^z)))&~t)|(((x&y)|~(y|~z))&t)) + 6148914633952023038*(((z|~(x^y))&~t)|(y&t)) + 410953924082*((~(x|(~y|z))&~t)|((y|~z)&t)) + 12297828983972265528*((((x&z)^~(x^(y&z)))&~t)|(~(x&(y^z))&t)) + 6148914331340509691*(((y^~(x&(y^z)))&~t)|((y|(x&z))&t)), 49374 + 3735936685*x
5719920642981734303*(((z^~(~x&(y|z)))&~t)|((z^(~x|(y|z)))&t)) + 16587769868756602623*(((x&~z)&~t)|((~y&~(x^z))&t)) + 12726823426991880628*(((~z|~(x^y))&~t)|(((x&y)^(y|~z))&t)) + 6577908744472477703*((z&~t)|~x) + 13155817477737244099*(((z^(x|(y|z)))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 14013805575492083730*((~x&~t)|((z&(x|~y))&t)) + 3735903769*(((y&(x|~z))&~t)|((z&(x|~y))&t)) + 2716962306443708851*(((x^(~y|z))&~t)|((~(x&~y)&~(y^z))&t)) + 14013805575492083730*(((~x&(y|z))&~t)|((y^~(x|z))&t)) + 10581853191944598576*(((y|(x^z))&~t)|((y^~(x|z))&t)) + 12869821451378831267*((~(x^(~y|z))&~t)|((y|(x&~z))&t)) + 8007888894944175914*(((y|z)&~t)|((~x|(y&z))&t)) + 4289940485038245012*((((x&y)|~(y|~z))&~t)|((y^~(~x|(y&z)))&t)) + 7006902787746033636*((((x^y)&(x^z))&~t)|(~(~x&(y^z))&t)) + 5147928575321260647*(((y^(x&(y^z)))&~t)|((y|(x&z))&t)) + 13584811524746720259*(((~(x|y)|(x^(y^z)))&~t)|((z|~(x|y))&t)), 49374 + 3735936685*x
8038246016250037731*(((x&~x)&~t)|((~(x&y)&(x^(y^z)))&t)) + 13397076704957872940*((~(y&~z)&~t)|(((x&y)^~(x^(y&z)))&t)) + 14118457754968193243*(((~(x&y)&~(x^(y^z)))&~t)|((z^~(~x&(~y&z)))&t)) + 8553518193761427466*(((x^(y|z))&~t)|((x&(y^z))&t)) + 12366532346199206159*((((y&z)^~(x&(y^z)))&~t)|(~(y|~z)&t)) + 1442762103756478543*(((~x|(y|z))&~t)|((~x&(~y|z))&t)) + 6389375043730565305*(((~x|(y^z))&~t)|((~(x^y)&~(x^z))&t)) + 4328286315005421688*(((z^(~x|(y&z)))&~t)|(((x|y)&(x^(y^z)))&t)) + 12366532349935142844*(((y^(x&(~y|z)))&~t)|(~(~x|(~y&z))&t)) + 12881804519974659209*((~(x|(~y|z))&~t)|((z^~(x&(y&z)))&t)) + 3297741952510867596*(((~z|(x^y))&~t)|((y^~(x&(~y|z)))&t)) + 5358830677500025154*((((x^y)&(x^z))&~t)|((y^(~x&(y|z)))&t)) + 12160423469964388280*((~(x|(~y|z))&~t)|(((x&y)|(y^z))&t)) + 13190967828723055061*(((z&~(x^y))&~t)|((z^(x&~y))&t)) + 13397076701221936255*((~(~x|(~y|z))&~t)|(((x&y)|~(x^(y^z)))&t)) + 8862681513717583999*(((y&z)&~t)|((~x|(~y|z))&t)), 49374 + 3735936685*x
15749851664180089948*((~(x|(y&z))&~t)|((y^~(~x&(y^z)))&t)) + 8198552932441373642*(((z|(x&~y))&~t)|(~(x|~z)&t)) + 5609536211821252620*(((z^~(x&y))&~t)|(((x&z)^~(y&~z))&t)) + 14023840514609384810*(((z|~(x|y))&~t)|((x^(y|z))&t)) + 2157513923887603025*((~(x^(~y|z))&~t)|((~x|(~y&z))&t)) + 3991400758631712124*(((x^(y|z))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 9708812666834129386*(((y^~(~x|(~y&z)))&~t)|(~(~x|(y^z))&t)) + 11758450905548377824*((~x&~t)|(((x|~y)&~(y^z))&t)) + 14886846089394737379*((~(x^y)&~t)|((x&y)&t)) + 8414304313995942245*((x&~t)|((x^(y^z))&t)) + 13160834951031842296*((~(y^z)&~t)|(~(x^z)&t)) + 2265389624004753726*((~x&~t)|((z^~(x|~y))&t)) + 10679693941736583282*(((~(x&~y)&~(x^(y^z)))&~t)|(((x&y)|(y^z))&t)) + 14023840518345321495*((~(y&z)&~t)|((~(x&~y)&~(y^z))&t)) + 17260111413516592432*(((y^(~x&(y|z)))&~t)|((y|~(x^z))&t)) + 8522180021584916942*((~(~x&(y&z))&~t)|(~(~x&(~y&z))&t)), 49374 + 3735936685*x
17361641484654556894*(((z^(x&y))&~t)|((~(x^y)&(x^z))&t)) + 9765923335118185167*(((z^~(x|(y&z)))&~t)|((~(x^y)&(x^z))&t)) + 5787213838180683458*(((z^(~x|(y&z)))&~t)|((x&(y^z))&t)) + 2893606919090317042*((~(x^(y&z))&~t)|(((x&y)^(y|~z))&t)) + 14468034569300176537*(((y|(x&z))&~t)|(((x&y)^(y|~z))&t)) + 14468034558092366482*((~(x|~z)&~t)|((z^(x|~y))&t)) + 18085043206955299815*(((x^(~y&z))&~t)|((y^(x&(y|z)))&t)) + 3978709496937501709*(((y^~(x|(~y&z)))&~t)|((y^(x&z))&t)) + 9404222468363933366*(((x&~y)&~t)|(((x^y)|(x^z))&t)) + 12659530235528868158*((((x&z)^~(x^(y&z)))&~t)|(((x|~y)&(x^(y^z)))&t)) + 5425512949010811547*(((y^(x&(~y|z)))&~t)|(~(x^z)&t)) + 6510615567953250375*(((z^(x|(y&z)))&~t)|((z^~(x&(y|z)))&t)) + 1808504322563498324*(((y^~(x|(y&z)))&~t)|(((y&~z)^(x|(y^z)))&t)) + 11574427657681683491*(((z^(x|(~y&z)))&~t)|(~(y^z)&t)) + 13021231117226866699*((((x|y)&~(x^(y^z)))&~t)|(y&t)) + 4340410374899563565*(((y^~(~x|(y&z)))&~t)|(z&t)), 49374 + 3735936685*x
2721650755113108445*((~(x|(y^z))&~t)|(~(~x|(y|z))&t)) + 15120282046739149964*(((z^~(x&~y))&~t)|(~(y|z)&t)) + 3024056392909748078*((((x^y)|~(x^z))&~t)|(~(~x|(~y|z))&t)) + 1512028196454874039*((((y&z)^~(~x&(y^z)))&~t)|((z^(~x|(y|z)))&t)) + 604811286800990573*(((z^(~x&(~y|z)))&~t)|((z^(~x|(y|z)))&t)) + 11793819974937557466*(((~y&(x^z))&~t)|((z^~(x&~y))&t)) + 6350518449767593836*((((x&y)^(y|z))&~t)|(((x^y)&(x^z))&t)) + 8164952276547184764*(((x|(y^z))&~t)|(((x&y)^(y|~z))&t)) + 2116839498199561978*(((x|y)&~t)|((~x&(~y|z))&t)) + 6350518468447227887*(((~(x&y)&(x^(y^z)))&~t)|((~x|(y^z))&t)) + 18144338454592595408*(((x|(~y|z))&~t)|(~(~x|(y^z))&t)) + 4536084608044256168*(((x|z)&~t)|((y^~(x&(y|z)))&t)) + 302405634060653574*(((~x|(y|z))&~t)|((x|(~y&z))&t)) + 8769763589499682758*(((z^(~x|(y&z)))&~t)|(y&t)) + 5443301510226266264*(((z^~(x&~y))&~t)|(((x&y)^(x^(~y|z)))&t)) + 18144338428441087987*((~(x&y)&~t)|((~x|(y&z))&t)), 49374 + 3735936685*x
12597776438577483858*(((z^~(~x|(y&z)))&~t)|((y^~(x&(~y&z)))&t)) + 17456918784081734543*(((y^(x|(~y|z)))&~t)|((z^~(~x&(~y&z)))&t)) + 8998411735436597010*(((y|(x&z))&~t)|((~y&~(x^z))&t)) + 10168205267693302171*((z&~t)|(((x|y)&(y^z))&t)) + 2069634704305990188*((y&~t)|((y^(~x|(~y|z)))&t)) + 14307474665097521866*(((~(x&y)&~(y^z))&~t)|((y&(x^z))&t)) + 15747220550089823165*(((z^(x|(~y&z)))&~t)|(~(x&(~y|z))&t)) + 14397458793883863967*(((~(x|~y)|~(x^(y^z)))&~t)|((y^(x|(y^z)))&t)) + 8548491162487732894*(((x|(y&z))&~t)|((x&(y&z))&t)) + 17456918776609861173*((~(x|(y|z))&~t)|((~(x&~y)&(x^(y^z)))&t)) + 18176791720973955478*(((y^~(x&(y^z)))&~t)|((~(x&~y)&~(y^z))&t)) + 11697935266528198831*(((z^~(x&(~y|z)))&~t)|((y|(x&~z))&t)) + 16647061722139108192*(((~x&(y^z))&~t)|((y^(~x&(y^z)))&t)) + 5399047050975393587*(((y^~(~x|(y&z)))&~t)|((y|(x&z))&t)) + 15567252311196822388*(((z^(~x&(y|z)))&~t)|((z|(x^y))&t)) + 17186966435082124464*(((y^~(x&(~y|z)))&~t)|((~x|(y|z))&t)), 49374 + 3735936685*x
4566025759635521104*(((~(x|~y)|~(y^z))&~t)|(((y&z)^~(x&(y^z)))&t)) + 15159205522886637818*((~(x^(y^z))&~t)|((z^(x|(y&z)))&t)) + 2009051338274419181*(((y^~(~x|(y^z)))&~t)|((x&~y)&t)) + 1278487216284381928*((~(x^(~y&z))&~t)|((z^~(x&(~y&z)))&t)) + 17898820986886932189*(((x&y)&~t)|((y^(x|(y|z)))&t)) + 14428641404632537250*((((x&z)|~(y|z))&~t)|((z^(x|(~y&z)))&t)) + 6392436066478459144*(((y^~(~x&(y&z)))&~t)|(~(x|~z)&t)) + 8949410487839610441*(((y^~(x|~z))&~t)|(~x&t)) + 17168256857425120314*(((x&~x)&~t)|((y^~(~x&(~y|z)))&t)) + 11871666975799611331*((~(x|(~y&z))&~t)|((~z|(x^y))&t)) + 13698077278906662060*(((y^~(~x|(y&z)))&~t)|(~(x^(~y|z))&t)) + 8218846369585509873*((y&~t)|((x|(~y&z))&t)) + 8949410491575497752*((((x&z)^(y|z))&~t)|((y&~(x&~z))&t)) + 10227897707859929054*(((x&z)&~t)|((y|~z)&t)) + 12602231101525486521*(((x|(y^z))&~t)|((y|(x^z))&t)) + 1643769275411456899*(((~(x|~y)|~(y^z))&~t)|((y^(x&(y^z)))&t)), 49374 + 3735936685*x
17742669876814820276*((~(~x&(y&z))&~t)|(~z&t)) + 5914223282309059558*(((z^(~x&(y|z)))&~t)|((y^~(~x|(~y&z)))&t)) + 7604001372041871647*(((z^~(x&y))&~t)|((z^~(~x&(y|z)))&t)) + 10701927859299984353*(((~(x&~y)&(x^(y^z)))&~t)|((y^(x|~z))&t)) + 14363113704821118842*(((x|~y)&~t)|(~(x^(y^z))&t)) + 14081484027557650354*((((x|y)&(y^z))&~t)|((z&~(x&y))&t)) + 17038595672448166192*(((~(x|y)|~(x^(y^z)))&~t)|((y^(x|(~y&z)))&t)) + 5773408451149124623*(((y^~(~x|(y^z)))&~t)|((~(x^y)&~(x^z))&t)) + 2393852275419684000*((((x&z)^(x^(~y&z)))&~t)|(((x|~y)&~(y^z))&t)) + 140814849839618360*(((x&(y^z))&~t)|((z^~(x&(y&z)))&t)) + 422444515895178045*((~(x|(y|z))&~t)|(((x&y)|(x^(y^z)))&t)) + 5632593608781527755*((~(x^(y|z))&~t)|((z&(x|~y))&t)) + 14926373074292000054*((((y&~z)^(x|(y^z)))&~t)|((z^(x&~y))&t)) + 14081484023821763043*(((~(x&y)&~(y^z))&~t)|(((y&z)|(~x&(y|z)))&t)) + 15348817593923262906*(((z^~(x&y))&~t)|(((x&y)^(x^(y&z)))&t)) + 15067187905451934989*(((~(x&~y)&(y^z))&~t)|(((x&y)|~(x^(y^z)))&t)), 49374 + 3735936685*x
5763939012*((~(y|~z)&~t)|(~(x|z)&t)) + 18446744072535393033*(((y^~(~x|(~y&z)))&~t)|((~z&~(x^y))&t)) + 18446744073175825215*(((~x|(y^z))&~t)|((z^(x|y))&t)) + 18446744065277128721*((~y&~t)|(((x|~y)&~(x^(y^z)))&t)) + 2028101075*((~(x^(y&z))&~t)|(((x^y)&(x^z))&t)) + 18446744072321932097*(((y&(x|z))&~t)|(~(x|(~y&z))&t)) + 18446744071788255070*((~(x^(y^z))&~t)|(((x|y)&~(x^(y^z)))&t)) + 18446744071147724140*(((~x|(y&z))&~t)|((z&~(x&y))&t)) + 6617881504*(((y^(x&(y|z)))&~t)|((~(x|y)|~(x^(y^z)))&t)) + 18446744073175825215*(((y^~(x|~z))&~t)|((y^~(x&(~y|z)))&t)) + 18446744066558042459*((((y&z)|(~x&(y|z)))&~t)|((~(x&~y)&(x^(y^z)))&t)) + 4162858557*(((~y|~(x^z))&~t)|((x^(y^z))&t)) + 10033552724*(((~(x^y)|(x^z))&~t)|((x&(y|z))&t)) + 18446744071788205696*(((~(x|y)|~(x^(y^z)))&~t)|(((x|y)&~(y^z))&t)) + 49374*(((~z|~(x^y))&~t)|((y^~(x|z))&t)) + 18446744072855559750*(((~(x|y)|(x^(y^z)))&~t)|((y|~(x|z))&t)), 49374 + 3735936685*x
