# 3735936685*~x
4554857727453019050*~(x|y) + 4554857727453019050*~(x|~y) + 13891886349992469251*~x, 3735936685*~x
3735936685*~(x&y) + 3735936685*~(x^y) + 18446744069973614931*(x|~y), 3735936685*~x
14165817873840053677*~(x|y) + 14165817873840053677*~(x|~y) + 4280926203605434624*~x, 3735936685*~x
900187602786405385*(x&~y) + 900187606522342070*~x + 17546556470923146231*~(x&y), 3735936685*~x
3735936685*~(x|y) + 18446744069973614931*(x&~y) + 3735936685*(x^y), 3735936685*~x
18446744066237678246*~y + 7471873370*~(x&y) + 3735936685*(x|~y) + 18446744069973614931*(x|y), 3735936685*~x
7471873370*~(x&y) + 7471873370*(x&y) + 18446744069973614931*(x|~y) + 18446744069973614931*(x|y), 3735936685*~x
7471873370*~(x|~y) + 3735936685*(x|~y) + 18446744069973614931*(x|y), 3735936685*~x
8298135988806193495*~(x|~y) + 10148608088639294806*~x + 10148608084903358121*(x|y) + 10148608084903358121, 3735936685*~x
3735936685*~(x|y) + 14186050121508585886*~y + 14186050125244522571*~(x|~y) + 4260693952200965730*~(x&y), 3735936685*~x
3735936685*(x&~y) + 18446744069973614931*x + 3735936685*~(x&~y), 3735936685*~x
3735936685*~(x|y) + 4584898839276254409*~y + 4584898843012191094*~(x|~y) + 13861845234433297207*~(x&y), 3735936685*~x
3735936685*~(x&y) + 3735936685*(x&y) + 18446744069973614931*x, 3735936685*~x
3735936685*~(x|y) + 14912727077388278548*~y + 14912727081124215233*~(x|~y) + 3534016996321273068*~(x&y), 3735936685*~x
7471873370*~(x|y) + 18446744069973614931*(x|~y) + 3735936685*(x|y), 3735936685*~x
3735936685*~y + 18446744069973614931*x + 3735936685*y, 3735936685*~x
1481043158682013350*(x&~y) + 3735936685*~x + 1481043158682013350*(x&y) + 16965700915027538266*x, 3735936685*~x
12954069481390453171*~(x|y) + 12954069481390453171*~(x|~y) + 5492674596055035130*~x, 3735936685*~x
631313267374558425*~(x|y) + 631313267374558425*~(x|~y) + 17815430810070929876*~x, 3735936685*~x
3735936685*~(x|y) + 6933060389945278131*~y + 6933060393681214816*~(x|~y) + 11513683683764273485*~(x&y), 3735936685*~x
17374964874583024591*~x + 17374964870847087906*x + 17374964870847087906, 3735936685*~x
5671583173340060691*~x + 5671583169604124006*~(x^y) + 5671583169604124006*y + 7103577734501303604*~(x&~y), 3735936685*~x
3735936685*~(x|y) + 3735936685*~(x&y) + 3735936685*(x&y) + 18446744069973614931*(x|~y), 3735936685*~x
13197537667719194751*~x + 13197537663983258066*(x&y) + 5249206409726293550*~(x&~y), 3735936685*~x
14275205820990599888*~(x|y) + 14275205820990599888*~(x|~y) + 4171538256454888413*~x, 3735936685*~x
6838197674946595811*~x + 6838197671210659126*x + 6838197671210659126, 3735936685*~x
3735936685*(x&~y) + 3735936685*~(x|~y) + 3735936685*~(x^y) + 18446744069973614931*x, 3735936685*~x
4321792419984288826*(x&~y) + 14124951653725262790*~y + 14124951653725262790*~(x|~y) + 4321792423720225511*~x, 3735936685*~x
3735936685*~(x|y) + 18446744069973614931*~(x^y) + 3735936685*~(x&~y), 3735936685*~x
3735936685*~y + 18446744069973614931*(x|~y) + 3735936685*~(x&~y), 3735936685*~x
3875796211083687609*~(x|~y) + 14570947866361800692*~x + 14570947862625864007*(x^y) + 3875796211083687609*~(x&y), 3735936685*~x
14335014868541284189*(x&~y) + 14335014872277220874*~x + 4111729205168267427*~(x&y), 3735936685*~x
18446744069973614931*~y + 18446744069973614931*~(x^y) + 18446744066237678246*(x|y) + 18446744062501741561, 3735936685*~x
13854748041096494874*(x&~y) + 13854748044832431559*~x + 4591996032613056742*~(x&y), 3735936685*~x
18446744066237678246*(x&y) + 3735936685*~(x^y) + 3735936685*y, 3735936685*~x
18446744069973614931*~y + 18446744069973614931*(x&y) + 18446744069973614931*(x|y) + 18446744066237678246, 3735936685*~x
3735936685*~x + 5263469057558150501*~(x&y) + 5263469057558150501*(x&y) + 5263469057558150501, 3735936685*~x
1432527385285674966*(x&~y) + 1432527389021611651*~x + 17014216688423876650*~(x&y), 3735936685*~x
3735936685*~(x|~y) + 18446744069973614931*(x^y) + 3735936685*~(x&y), 3735936685*~x
3735936685*~(x|y) + 18446744069973614931*x + 3735936685*(x|y), 3735936685*~x
5428224625537328879*~(x|~y) + 13018519451908159422*~x + 13018519448172222737*(x|y) + 13018519448172222737, 3735936685*~x
8363750875889749327*~(x|y) + 10082993197819802289*(x&~y) + 10082993201555738974*~x + 8363750875889749327*(x^y), 3735936685*~x
13016076326972465480*~(x|y) + 18446744069973614931*(x|~y) + 13016076323236528795*(x|y) + 13016076319500592110, 3735936685*~x
3735936685*~(x|y) + 18446744069973614931*(x&y) + 3735936685*y, 3735936685*~x
6082247232178719819*(x&~y) + 18446744069973614931*(x&y) + 6082247235914656504*~(x&~y) + 6082247232178719819, 3735936685*~x
18446744069973614931*~y + 18446744062501741561*(x&y) + 7471873370*~(x^y) + 3735936685*(x|y), 3735936685*~x
3735936685*(x^y) + 3735936685*(x&y) + 18446744066237678246*x + 3735936685*(x|~y), 3735936685*~x
18446744069973614931*(x|~y) + 18446744069973614931*(x|y) + 18446744066237678246, 3735936685*~x
3735936685*~(x|y) + 18446744069973614931*(x|~y) + 18446744069973614931, 3735936685*~x
3735936685*~(x|~y) + 18446744069973614931*(x&y) + 3735936685*~(x^y), 3735936685*~x
3735936685*~(x|y) + 3735936685*(x^y) + 3735936685*(x&y) + 18446744069973614931*x, 3735936685*~x
3735936685*~(x&y) + 3735936685*y + 18446744069973614931*(x|y), 3735936685*~x
3735936685*~(x|~y) + 18446744069973614931*(x^y) + 18446744069973614931*(x&y) + 18446744069973614931, 3735936685*~x
7471873370*(x^y) + 7471873370*~(x^y) + 18446744069973614931*(x|~y) + 18446744069973614931*(x|y), 3735936685*~x
17940838537772127676*(x^y) + 17940838534036190991*(x&y) + 3735936685*~(x&~y) + 505905535937423940*(x|y), 3735936685*~x
8378961845640872682*~x + 8378961841904935997*(x&y) + 10067782231804615619*~(x&~y), 3735936685*~x
17064306574974826709*~x + 1382437502470661592*(x^y) + 1382437502470661592*~(x&~y) + 17064306571238890024*(x|y), 3735936685*~x
3735936685*~(x|~y) + 18446744069973614931*x + 3735936685*(x|~y), 3735936685*~x
5197415669718632029*~(x|y) + 5197415669718632029*~(x|~y) + 13249328407726856272*~x, 3735936685*~x
16580650484776688797*~(x|~y) + 16580650481040752112*~(x^y) + 18446744069973614931*y + 1866093596404736189*~(x&~y), 3735936685*~x
18446744069973614931*(x&~y) + 3735936685*(x^y) + 18446744069973614931*(x|y) + 18446744069973614931, 3735936685*~x
18446744069973614931*(x&~y) + 18446744069973614931*(x&y) + 18446744069973614931, 3735936685*~x
18446744066237678246*~(x^y) + 3735936685*(x|~y) + 7471873370*~(x&~y) + 18446744069973614931*(x|y), 3735936685*~x
18446744066237678246*(x&~y) + 18446744066237678246*(x&y) + 3735936685*(x|~y) + 3735936685*(x|y), 3735936685*~x
3735936685*~(x&y) + 3735936685*~(x&~y) + 3735936685, 3735936685*~x
3735936685*(x&~y) + 18446744069973614931*~(x^y) + 7471873370*~(x&~y) + 18446744069973614931*(x|y), 3735936685*~x
18350400899056237242*~(x|y) + 96343182125187744*~(x|~y) + 96343178389251059*~(x^y) + 18350400895320300557*y, 3735936685*~x
608603340383780578*(x&~y) + 608603344119717263*~x + 17838140733325771038*~(x&y), 3735936685*~x
3578521190011027132*~(x|y) + 3578521190011027132*~(x|~y) + 14868222887434461169*~x, 3735936685*~x
3735936685*~(x|y) + 3735936685*(x&~y) + 18446744069973614931*x + 3735936685*y, 3735936685*~x
3735936685*~y + 18446744069973614931*(x^y) + 18446744066237678246*(x|~y) + 18446744066237678246, 3735936685*~x
3735936685*(x^y) + 18446744069973614931*y + 7471873370*~(x&~y) + 3735936685, 3735936685*~x
16399294755193519517*~x + 2047449322251968784*(x^y) + 2047449322251968784*~(x^y) + 16399294751457582832*x, 3735936685*~x
3735936685*~x + 12699622396618018495*(x^y) + 12699622396618018495*~(x^y) + 12699622396618018495, 3735936685*~x
3735936685*(x&~y) + 3735936685*~(x^y) + 18446744066237678246*x + 3735936685*(x|y), 3735936685*~x
18446744069973614931*(x&~y) + 3735936685*(x^y) + 18446744069973614931*y + 3735936685*~(x&~y), 3735936685*~x
3735936685*~y + 3735936685*~(x^y) + 18446744066237678246*(x|~y) + 18446744069973614931, 3735936685*~x
7471873370*~(x|y) + 3735936685*(x&~y) + 18446744069973614931*(x|~y) + 3735936685*y, 3735936685*~x
18446744069973614931*~(x|~y) + 3735936685*(x^y) + 18446744069973614931*x + 3735936685*~(x&~y), 3735936685*~x
14302355236445412314*~x + 4144388841000075987*~(x&y) + 4144388841000075987*y + 14302355232709475629*(x|y), 3735936685*~x
3735936685*~(x|~y) + 3735936685*~(x&y) + 3735936685*(x&y) + 18446744069973614931*(x|y), 3735936685*~x
3735936685*~(x|y) + 3735936685*(x^y) + 3735936685*~(x^y) + 18446744069973614931*(x|~y), 3735936685*~x
8585612801841815575*~y + 18446744069973614931*x + 8585612801841815575*y + 8585612798105878890, 3735936685*~x
7471873370*~(x|y) + 18446744069973614931*~(x^y) + 3735936685*y, 3735936685*~x
3637237422393644561*~(x|y) + 14809506655051843740*~x + 14809506651315907055*(x&y) + 3637237422393644561*y, 3735936685*~x
9528857374502158749*~(x|y) + 9528857374502158749*~(x|~y) + 8917886702943329552*~x, 3735936685*~x
3735936685*~x + 12621236637557624510*(x^y) + 12621236637557624510*~(x^y) + 12621236637557624510, 3735936685*~x
6148914693727141662*~(x&y) + 6148914689991204977*(x|~y) + 6148914693727141662*~(x&~y) + 6148914689991204977*(x|y), 3735936685*~x
10493876678854537068*(x&~y) + 7952867394855014548*~(x&y) + 7952867391119077863*x + 7952867391119077863, 3735936685*~x
18446744069973614931*(x&y) + 18446744069973614931*x + 3735936685*(x|~y) + 3735936685*y, 3735936685*~x
8320611200056642980*~x + 10126132877388845321*~(x&y) + 10126132877388845321*(x&y) + 8320611196320706295*x, 3735936685*~x
18446744069973614931*~y + 3735936685*~(x&y) + 18446744069973614931*x + 3735936685*(x|~y), 3735936685*~x
3712655410391925448*(x&~y) + 3712655414127862133*~x + 14734088663317626168*~(x&y), 3735936685*~x
3915174066386918799*~x + 3915174062650982114*x + 3915174062650982114, 3735936685*~x
18446744069973614931*~y + 18446744069973614931*(x^y) + 7471873370*~(x&y), 3735936685*~x
10374402168473199882*~(x|y) + 10374402164737263197*(x&~y) + 8072341905236351734*~y + 3735936685*~(x&y), 3735936685*~x
3461822996717286499*~(x|y) + 14984921080728201802*~y + 14984921084464138487*~(x|~y) + 3461822992981349814*(x^y), 3735936685*~x
4018857310781235985*~x + 4018857307045299300*x + 4018857307045299300, 3735936685*~x
756921636033509011*(x&~y) + 3735936685*~x + 756921636033509011*~(x&~y) + 756921636033509011, 3735936685*~x
6646023728749605829*~(x|~y) + 18446744069973614931*(x&y) + 6646023728749605829*~(x^y) + 11800720348695882472*~(x&~y), 3735936685*~x
17732580824529946907*(x&y) + 714163245443668024*x + 714163249179604709*~(x&~y) + 714163245443668024, 3735936685*~x
3735936685*~y + 3735936685*~(x|~y) + 3735936685*~(x^y) + 18446744069973614931*(x|~y), 3735936685*~x
18446744069973614931*(x&y) + 3735936685*~(x^y) + 18446744069973614931*x + 3735936685*(x|y), 3735936685*~x
15988987167352014914*~x + 2457756910093473387*~(x&y) + 2457756910093473387*(x&y) + 15988987163616078229*x, 3735936685*~x
18446744069973614931*(x^y) + 7471873370*~(x&y) + 3735936685*(x&y) + 18446744069973614931*(x|~y), 3735936685*~x
447978498792115397*~y + 447978498792115397*~(x|~y) + 3735936685*~x + 17998765574917436219*~(x&y), 3735936685*~x
18446744069973614931*(x&~y) + 3735936685*~y + 18446744069973614931*(x|~y) + 18446744069973614931, 3735936685*~x
3735936685*~(x|y) + 3735936685*(x&~y) + 18446744069973614931*(x|~y) + 3735936685*~(x&~y), 3735936685*~x
18446744069973614931*~(x|~y) + 3735936685*~(x&y) + 18446744069973614931*x + 3735936685*y, 3735936685*~x
15666100012636782534*~(x|y) + 2780644068544642452*~(x|~y) + 2780644064808705767*~(x^y) + 15666100008900845849*y, 3735936685*~x
7471873370*~(x|~y) + 3735936685*~(x^y) + 18446744069973614931*y, 3735936685*~x
6586587238028744067*~y + 3735936685*~x + 6586587238028744067*(x&y) + 11860156835680807549*(x|~y), 3735936685*~x
4538357867469166986*~(x|~y) + 6954193106856129000*~x + 11492550970589359301*(x|~y) + 6954193103120192315*(x|y), 3735936685*~x
12690144436758407653*~(x|~y) + 5756599640687080648*~x + 5756599636951143963*x + 12690144436758407653*(x|~y), 3735936685*~x
18446744069973614931*(x&y) + 3735936685*y + 18446744069973614931*(x|y) + 18446744069973614931, 3735936685*~x
3735936685*~(x|y) + 1790466949227749345*~(x|~y) + 1790466945491812660*(x&y) + 16656277128217738956*y, 3735936685*~x
528714731294755144*(x&~y) + 528714735030691829*~x + 17918029342414796472*~(x&y), 3735936685*~x
187130537078350366*~(x|y) + 187130537078350366*~(x|~y) + 18259613540367137935*~x, 3735936685*~x
16597035438155844902*~(x|y) + 16597035434419908217*(x&~y) + 1849708635553706714*~y + 3735936685*~(x&y), 3735936685*~x
9512262477350064358*(x^y) + 9512262477350064358*~(x^y) + 18446744069973614931*x + 9512262473614127673, 3735936685*~x
17683879661591804672*(x&y) + 762864408381810259*x + 762864412117746944*~(x&~y) + 762864408381810259, 3735936685*~x
18446744066237678246*(x&~y) + 7471873370*~y + 18446744069973614931*~(x^y) + 3735936685*y, 3735936685*~x
15457137282152462604*~(x|y) + 3735936685*~x + 15457137282152462604*(x|y) + 15457137282152462604, 3735936685*~x
11207810055*~(x|~y) + 18446744069973614931*(x^y) + 3735936685*(x|~y) + 18446744069973614931*y, 3735936685*~x
10265725145955015945*~x + 8181018931490472356*~(x&y) + 8181018931490472356*~(x&~y) + 8181018931490472356, 3735936685*~x
18446744069973614931*(x|~y) + 18446744069973614931*y + 3735936685*~(x&~y) + 18446744069973614931, 3735936685*~x
3735936685*~(x|y) + 6511170898809000821*~(x|~y) + 6511170895073064136*~(x^y) + 11935573178636487480*~(x&~y), 3735936685*~x
7471873370*~(x|y) + 3735936685*(x^y) + 3735936685*y + 3735936685, 3735936685*~x
8731855899465759473*~(x|y) + 3735936685*~x + 8731855899465759473*(x&y) + 9714888174243792143*~(x^y), 3735936685*~x
1010588450978415514*~(x|~y) + 17436155626467072787*~x + 17436155622731136102*(x&y) + 1010588450978415514*~(x^y), 3735936685*~x
8846270991643550045*~y + 3735936685*~x + 8846270991643550045*(x&y) + 9600473082066001571*(x|~y), 3735936685*~x
15864195270277942864*(x&~y) + 15864195274013879549*~x + 15864195270277942864*(x&y) + 15864195270277942864, 3735936685*~x
18446744066237678246*(x&~y) + 7471873370*(x^y) + 3735936685*~(x^y) + 18446744069973614931*y, 3735936685*~x
3735936685*~y + 3735936685*(x&y) + 18446744066237678246*x + 3735936685*(x|y), 3735936685*~x
5963798902141981535*~(x|y) + 5963798902141981535*~(x|~y) + 12482945175303506766*~x, 3735936685*~x
15895497856788760677*~(x|~y) + 2551246220656727624*~x + 2551246216920790939*y + 15895497856788760677*~(x&~y), 3735936685*~x
17698174309758778728*~x + 17698174306022842043*(x&y) + 748569767686709573*~(x&~y), 3735936685*~x
3735936685*~y + 18446744069973614931*(x^y) + 18446744066237678246*~(x^y) + 7471873370*~(x&~y), 3735936685*~x
18446744066237678246*(x&~y) + 7471873370*~y + 18446744069973614931*(x|~y) + 3735936685*(x|y), 3735936685*~x
9300082494339507435*(x&~y) + 9300082490603570750*(x&y) + 9146661579370044181*x + 3735936685*~(x&~y), 3735936685*~x
18446744066237678246*(x&~y) + 3735936685*(x^y) + 18446744069973614931*(x&y) + 3735936685*(x|~y), 3735936685*~x
18446744069973614931*(x^y) + 3735936685*~(x&y) + 18446744069973614931*(x|~y) + 18446744069973614931, 3735936685*~x
11207810055*~y + 18446744069973614931*(x^y) + 18446744066237678246*(x|~y) + 7471873370*y, 3735936685*~x
8938600158396629393*~(x|y) + 8938600158396629393*~(x|~y) + 9508143919048858908*~x, 3735936685*~x
14814010992156877758*~y + 14814010995892814443*~x + 14814010992156877758*(x^y) + 7265466163105347716*~(x&y), 3735936685*~x
14788001466881647742*~y + 11129258860053743868*~(x|~y) + 3658742610563840559*~x + 3658742606827903874*(x^y), 3735936685*~x
6728940047689909327*~x + 6728940043953972642*(x&y) + 11717804029755578974*~(x&~y), 3735936685*~x
3735936685*~(x|~y) + 3735936685*(x^y) + 3735936685*~(x^y) + 18446744069973614931*(x|y), 3735936685*~x
18446744066237678246*(x&y) + 3735936685*(x|~y) + 7471873370*y + 18446744069973614931*(x|y), 3735936685*~x
3735936685*~(x|y) + 3735936685*~(x&y) + 3735936685*y + 3735936685, 3735936685*~x
3735936685*~x + 4549858079589260227*~(x&y) + 4549858079589260227*(x&y) + 4549858079589260227, 3735936685*~x
18446744069973614931*(x^y) + 7471873370*~(x&y) + 3735936685*y + 3735936685, 3735936685*~x
5547647143687105794*~(x|y) + 3735936685*~(x|~y) + 5547647139951169109*x + 12899096933758382507*(x|~y), 3735936685*~x
3121292183913849139*(x^y) + 3121292183913849139*~(x^y) + 18446744069973614931*x + 3121292180177912454, 3735936685*~x
14628875078412044552*~(x|y) + 14628875078412044552*~(x|~y) + 3817868999033443749*~x, 3735936685*~x
14087846148029831244*(x&~y) + 14087846151765767929*~x + 4358897925679720372*~(x&y), 3735936685*~x
18446744069973614931*x + 18446744069973614931*y + 3735936685*~(x&~y) + 3735936685*(x|y), 3735936685*~x
18446744069973614931*(x&~y) + 7471873370*~y + 18446744069973614931*(x|~y) + 3735936685*y, 3735936685*~x
14380219774442534274*~y + 14380219774442534274*~(x|~y) + 3735936685*~x + 4066524299267017342*~(x&y), 3735936685*~x
7537056558400523285*~(x|y) + 10909687522780901701*~(x|~y) + 10909687519044965016*(x|~y) + 7537056554664586600*(x|y), 3735936685*~x
4179336132436767988*(x&~y) + 4179336128700831303*(x&y) + 14267407941272783628*x + 3735936685*~(x&~y), 3735936685*~x
17252336398963724908*~x + 17252336395227788223*x + 17252336395227788223, 3735936685*~x
3735936685*~(x|y) + 16945253576691901187*~(x|~y) + 16945253572955964502*x + 1501490500753587114*(x|y), 3735936685*~x
3157916937796044244*~(x|y) + 15288827139649444057*~y + 15288827143385380742*~(x|~y) + 3157916934060107559*(x^y), 3735936685*~x
2368687536889760225*~y + 2368687540625696910*~x + 2368687536889760225*(x^y) + 13709368999930031166*~(x&y), 3735936685*~x
17920832760038921891*~(x|~y) + 17920832756302985206*(x|~y) + 18446744069973614931*(x|y) + 17920832752567048521, 3735936685*~x
18446744069973614931*(x|~y) + 18446744066237678246*y + 7471873370*~(x&~y) + 3735936685*(x|y), 3735936685*~x
17150857683259361534*~(x|y) + 17150857679523424849*(x&~y) + 1295886394186126767*~y + 3735936685*~(x|~y), 3735936685*~x
3735936685*~y + 7471873370*~(x|~y) + 3735936685*~(x^y) + 3735936685, 3735936685*~x
11175151785046333992*(x&y) + 7271592284927280939*~(x^y) + 7271592284927280939*y + 11175151792518207362*~(x&~y), 3735936685*~x
18446744069973614931*~y + 3735936685*~(x&y) + 18446744069973614931*(x|y) + 18446744069973614931, 3735936685*~x
3735936685*~y + 18446744069973614931*(x&y) + 7471873370*y + 18446744069973614931*(x|y), 3735936685*~x
12962949603694049106*~x + 12962949599958112421*(x&y) + 5483794473751439195*~(x&~y), 3735936685*~x
4376759484416822793*~(x|y) + 3735936685*~(x|~y) + 4376759480680886108*(x&y) + 14069984593028665508*~(x^y), 3735936685*~x
2917712435259441767*~x + 15529031642186046534*(x^y) + 15529031642186046534*~(x^y) + 2917712431523505082*x, 3735936685*~x
4116561475872772707*~x + 4116561472136836022*x + 4116561472136836022, 3735936685*~x
3735936685*~y + 3735936685*~(x|~y) + 3735936685*~(x&~y) + 3735936685, 3735936685*~x
13930394960421894898*~(x|y) + 13930394956685958213*x + 4516349113287656718*(x|~y) + 18446744069973614931, 3735936685*~x
4845566924855680026*~x + 9691133842239486682*x + 13601177152589808275*(x|~y) + 13601177152589808275*(x|y), 3735936685*~x
2105097892279963262*~(x|~y) + 3735936685*~x + 2105097892279963262*(x&y) + 16341646181429588354*y, 3735936685*~x
6674845903156052685*~(x|y) + 6674845899420116000*(x&~y) + 6674845903156052685*~(x|~y) + 11771898174289435616*~(x&y), 3735936685*~x
13298108976533775630*(x&~y) + 13298108972797838945*(x&y) + 5148635097175775986*x + 3735936685*~(x&~y), 3735936685*~x
3735936685*(x^y) + 3735936685*y + 18446744066237678246*(x|y) + 18446744069973614931, 3735936685*~x
7471873370*~(x|y) + 3735936685*(x^y) + 3735936685*(x&y) + 18446744069973614931*(x|~y), 3735936685*~x
7471873370*(x^y) + 11207810055*~(x^y) + 18446744066237678246*(x|~y) + 18446744069973614931*y, 3735936685*~x
18446744066237678246*(x&~y) + 3735936685*~y + 18446744069973614931*~(x^y) + 18446744069973614931, 3735936685*~x
18446744062501741561*(x&~y) + 7471873370*~y + 18446744069973614931*~(x^y) + 3735936685*(x|y), 3735936685*~x
4538381767878019004*~x + 4538381764142082319*x + 4538381764142082319, 3735936685*~x
73067949502959850*~(x|y) + 3735936685*~(x|~y) + 73067945767023165*x + 18373676127942528451*(x|~y), 3735936685*~x
10141564387026321086*~x + 8305179690419167215*~(x&y) + 8305179690419167215*(x&y) + 10141564383290384401*x, 3735936685*~x
733410948310204143*~x + 733410944574267458*x + 733410944574267458, 3735936685*~x
3559835502756822523*~x + 14886908574688665778*(x^y) + 14886908574688665778*~(x^y) + 3559835499020885838*x, 3735936685*~x
2188317175427417067*(x&~y) + 16258426898282134549*~(x&y) + 16258426894546197864*x + 16258426894546197864, 3735936685*~x
18446744066237678246*(x&~y) + 18446744069973614931*~(x^y) + 18446744069973614931*y + 18446744066237678246, 3735936685*~x
2171720783532446089*~(x|~y) + 18446744069973614931*(x&y) + 2171720783532446089*~(x^y) + 16275023293913042212*~(x&~y), 3735936685*~x
8182319043353357724*~(x|y) + 10264425030356193892*(x&~y) + 10264425034092130577*~x + 8182319043353357724*(x^y), 3735936685*~x
18446744069973614931*(x^y) + 3735936685*~(x&y) + 18446744069973614931*~(x^y) + 3735936685*~(x&~y), 3735936685*~x
18446744069973614931*~(x|y) + 3735936685*~(x&y) + 3735936685*~(x^y) + 18446744069973614931*x, 3735936685*~x
9682765192985839122*~x + 9682765189249902437*(x&y) + 8763978884459649179*~(x&~y), 3735936685*~x
7615656715526114026*~(x|y) + 7615656715526114026*~(x|~y) + 10831087361919374275*~x, 3735936685*~x
3735936685*~(x|y) + 3735936685*(x^y) + 3735936685*~(x&~y) + 3735936685, 3735936685*~x
7394458910364385533*~(x|y) + 7394458902892512163*x + 11052285167081102768*(x|~y) + 3735936685*(x|y), 3735936685*~x
15495652292765894331*~x + 15495652289029957646*(x&y) + 2951091784679593970*~(x&~y), 3735936685*~x
3744766610985728208*~y + 3744766614721664893*~x + 3744766610985728208*(x^y) + 10957210851738095200*~(x&y), 3735936685*~x
18446744069973614931*(x^y) + 18446744069973614931*(x&y) + 18446744069973614931*(x|~y) + 18446744066237678246, 3735936685*~x
317700271410813006*~(x|~y) + 9064521904885305990*~x + 9382222172560182311*~(x^y) + 9064521901149369305*y, 3735936685*~x
5527200359092795083*~(x|y) + 5527200355356858398*x + 12919543714616756533*(x|~y) + 18446744069973614931, 3735936685*~x
14757145797849069550*~x + 11067547514516714114*x + 3689598279596418751*(x|~y) + 3689598279596418751*(x|y), 3735936685*~x
7205771465956159484*~(x|~y) + 18446744069973614931*x + 7205771465956159484*(x|~y) + 7205771462220222799, 3735936685*~x
18446744069973614931*(x&~y) + 18446744066237678246*(x&y) + 3735936685*(x|~y) + 3735936685*y, 3735936685*~x
7471873370*~(x|y) + 18446744069973614931*~y + 18446744069973614931*~(x^y) + 18446744069973614931, 3735936685*~x
3735936685*(x&~y) + 3735936685*~(x|~y) + 3735936685*~(x&~y) + 18446744069973614931*(x|y), 3735936685*~x
7471873370*~(x|y) + 18446744069973614931*(x&~y) + 18446744069973614931*~(x^y) + 3735936685*(x|y), 3735936685*~x
11207810055*~(x|y) + 18446744069973614931*~y + 18446744069973614931*~(x^y) + 3735936685*(x|y), 3735936685*~x
1597553422189182485*~x + 1597553418453245800*x + 1597553418453245800, 3735936685*~x
1704013838157028500*(x&~y) + 1704013841892965185*~x + 16742730235552523116*~(x&y), 3735936685*~x
486102243623934617*~(x|y) + 3735936685*~x + 486102243623934617*(x|y) + 486102243623934617, 3735936685*~x
8727197241039224029*(x&~y) + 8727197244775160714*~x + 9719546832670327587*~(x&y), 3735936685*~x
9481944602311210638*(x&y) + 8964799467662404293*x + 8964799471398340978*~(x&~y) + 8964799467662404293, 3735936685*~x
1234752109448751643*~y + 1234752109448751643*~(x|~y) + 3735936685*~x + 17211991964260799973*~(x&y), 3735936685*~x
