# 3735936685*~x
16689911286994657724*((((x^y)&~(x^z))&~t)|((y^~(x&(y^z)))&t)) + 15811494930996577628*((((x&y)^(y|~z))&~t)|((~(x&~y)&(y^z))&t)) + 14933078530167257312*(((y^(~x|(y&z)))&~t)|(((x^y)&~(x^z))&t)) + 13176245769603920215*(((z^(x|y))&~t)|(~(~x|(y&z))&t)) + 18446744062501741561*(((z^(x|(~y|z)))&~t)|((z^~(x&(~y&z)))&t)) + 4392081940635677935*(((y^(~x|(y|z)))&~t)|((z^~(x&(~y&z)))&t)) + 14933078530167257312*((~(x|~z)&~t)|((y^(x|(~y|z)))&t)) + 4392081940635677935*((((x|y)&(y^z))&~t)|(~(y&z)&t)) + 10540996623155009542*(((x^(~y&z))&~t)|((~(x&y)&~(y^z))&t)) + 6148914697463078347*(((y^(x|(y|z)))&~t)|(~(x|~z)&t)) + 9662580211117879171*(((y^(x|(~y|z)))&~t)|(((x^y)|(x^z))&t)) + 7905747454290478759*((y&~z)|x) + 4392081918220057825*((((x&~y)|~(x^(y^z)))&~t)|(~(y^z)&t)) + 14054662140545747051*(((x|z)&~t)|(~(x&~y)&t)) + 6148914704934951717*(((y^~(~x&(y|z)))&~t)|((y|(x^z))&t)) + 4392081929427867880*(((x^(~y&z))&~t)|((z|~(x|y))&t)), 3735936685*~x
12297829387454283324*(((y^~(~x|(y&z)))&~t)|((y^(~x|(y|z)))&t)) + 6148914689991204977*((((x|y)&~(y^z))&~t)|((~x&(y&z))&t)) + 18446744062501741561*((((x|y)&(x^(y^z)))&~t)|((y^~(~x|(~y&z)))&t)) + 12297829394926156694*(((y|~(x^z))&~t)|((y&~(x&z))&t)) + 7471873370*((~y&~t)|((y^(x&(y|z)))&t)) + 6148914675047458237*((~(x|y)&~t)|(~(x^(y^z))&t)) + 12297829372510536584*((((x^y)|~(x^z))&~t)|((y&~(x^z))&t)) + 6148914697463078347*((~(~x&(~y|z))&~t)|((y^~(x|(~y&z)))&t)) + 12297829379982409954*(((y^(x|~z))&~t)|((z^~(x&(~y|z)))&t)) + 12297829376246473269*((~(x^(y^z))&~t)|((x|~y)&t)) + 6148914678783394922*((((x&y)|(y^z))&~t)|((y&z)&t)) + 7471873370*((~(x|(y&z))&~t)|((y&~(x&~z))&t)) + 11207810055*(((y^~(x&(~y|z)))&~t)|((~(x|y)|~(y^z))&t)) + 12297829376246473269*((~(x^y)&~t)|((~x|(y&z))&t)) + 6148914697463078347*((((x|~y)&(x^(y^z)))&~t)|(((x&~y)|~(y^z))&t)) + 6148914697463078347*((~(x&(~y|z))&~t)|((y|~(x^z))&t)), 3735936685*~x
3850888583*((((y&z)|(~x&(y|z)))&~t)|((y^(~x|(~y|z)))&t)) + 18446744072042749095*(((y^~(x|(y^z)))&~t)|((x^(~y|z))&t)) + 4655551869*((~(x&(y&z))&~t)|((y^(x&(y|z)))&t)) + 4655551869*((((x&y)|(y^z))&~t)|(~(x&y)&t)) + 18446744066065250399*(((~(x&~y)&(y^z))&~t)|((z^~(~x|(~y&z)))&t)) + 18446744071697893401*(((y^z)&~t)|(((x|~y)&~(y^z))&t)) + 2701369603*((((x&z)^(x^(y&z)))&~t)|((x&y)&t)) + 18446744071812845299*((~(y|z)&~t)|(~(x^(~y|z))&t)) + 2643893654*(((z^~(~x&(y|z)))&~t)|((z&(x|~y))&t)) + 18446744068536716206*(((x|z)&~t)|((z^~(x|(~y&z)))&t)) + 977091133*(((z^(~x&(y|z)))&~t)|((~(x|~y)|(x^(y^z)))&t)) + 5862546798*(((~x&(y^z))&~t)|((y|~(x|~z))&t)) + 18446744071697893401*(((z|~(x|~y))&~t)|((y|(x^z))&t)) + 18446744068536716206*(((z|(x^y))&~t)|((y|(x&z))&t)) + 1839230368*((((x&y)|~(y|~z))&~t)|(~(~x&(~y&z))&t)) + 2241562011*(((y^(x|(~y&z)))&~t)|((x|(~y|z))&t)), 3735936685*~x
9708812660542035890*((x&~t)|((y^(~x|(y&z)))&t)) + 18679683425*(((z^~(x&(y&z)))&~t)|((~(x&~y)&(y^z))&t)) + 12621456466176520027*((~(x&z)&~t)|(((x|~y)&~(x^(y^z)))&t)) + 7767050128433628712*~((x&~t)^y) + 12621456481120266767*((((x|~y)&~(x^(y^z)))&~t)|((y^~(x&~z))&t)) + 1941762513428723753*(((~(x&y)&~(y^z))&~t)|(((x&z)^(x^(~y&z)))&t)) + 7767050139641438767*(((y|~(x^z))&~t)|(~(x&z)&t)) + 15534100264339130794*(((y|z)&~t)|((z^(x&y))&t)) + 15534100290490687589*((((x&z)^~(y&~z))&~t)|((z^~(~x|(~y&z)))&t)) + 4854406326535081260*(((y^~(~x&(y|z)))&~t)|((x&y)&t)) + 17475862826335031452*(((z^~(~x|(~y&z)))&~t)|(((x&z)|~(y|z))&t)) + 16504981537865207753*(((y&(x|~z))&~t)|((z&(x|~y))&t)) + 5825287596325221534*(((y|(x&~z))&~t)|((y|~(x|z))&t)) + 18446744058765804876*(((y^(~x|(~y|z)))&~t)|((y^~(~x|(y&z)))&t)) + 5825287611268968274*((((x^y)|~(x^z))&~t)|(((y&z)|(x&(y|z)))&t)) + 4854406337742891315*((~(x&~y)&~t)|((z|(x^y))&t)), 3735936685*~x
16040647017043496750*(((z^~(x&(~y&z)))&~t)|(~z&t)) + 16040647024515370120*((~(x|(y|z))&~t)|((~(x&y)&~(y^z))&t)) + 4010161752392905845*((((x&~y)|~(y^z))&~t)|((~(x&~y)&~(x^(y^z)))&t)) + 7218291162526291228*((((x&y)^(y|z))&~t)|((z&(x^y))&t)) + 13634549967849315254*(((x|(y&z))&~t)|((x^y)&t)) + 2406097052930118181*(((~y|~(x^z))&~t)|((y^(x&z))&t)) + 8822355865725015577*(((x^y)&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 6416258812794897396*(((~x&(~y&z))&~t)|((y^~(x|(y^z)))&t)) + 8822355858253142207*(((z^(x|y))&~t)|((y^~(x&(y|z)))&t)) + 3735936685*((~(x&(~y|z))&~t)|((y^~(x|~z))&t)) + 16842679374246763952*((((x&y)|~(y^z))&~t)|(~(y^z)&t)) + 12030485260914654220*(((z&~(x&y))&~t)|((y^(x&(y^z)))&t)) + 11228452911183260388*(((~x&(y&z))&~t)|((y^~(~x|(y&z)))&t)) + 8822355858253142207*(((y^(~x&(~y|z)))&~t)|(((x&y)|~(x^(y^z)))&t)) + 6416258809058960711*(((y^(~x|(~y&z)))&~t)|(~(y&~z)&t)) + 3208129406397448698*((~(~x&(y&z))&~t)|((z|(x^y))&t)), 3735936685*~x
6148914689991204977*((~(x|(y&z))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 11107716853795302942*((~(x^(y|z))&~t)|((y&(x^z))&t)) + 15669814865864630908*(((y^~(x&(~y|z)))&~t)|((y^~(~x|(y^z)))&t)) + 16661575295636701153*((~(y&z)&~t)|((z^(x&(y|z)))&t)) + 8925843912779872425*(((~x|(y^z))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 8727491812628898973*((((x&y)^(y|~z))&~t)|(((x^y)|(x^z))&t)) + 7735731386592765413*((((x&z)^(x^(y&z)))&~t)|((y^~(x|(y^z)))&t)) + 14082998158055260417*(((~(x&~y)&(y^z))&~t)|((z^~(x&(y&z)))&t)) + 15273110684242367429*(((y^(x&~z))&~t)|((y^~(x&z))&t)) + 1586816696601560436*((~(y^z)&~t)|((y^~(x&(y|z)))&t)) + 3735936685*((~z&~t)|((~z|~(x^y))&t)) + 3967041734032027720*(((x|(y&z))&~t)|((z^~(x|~y))&t)) + 3570337559881637611*(((~(x|y)|(y^z))&~t)|((y|~(x|z))&t)) + 11107716865003112997*(((y^~(~x&(y|z)))&~t)|((z|~(x|~y))&t)) + 7735731390328702098*(((y&~(x&z))&~t)|((z|~(x^y))&t)) + 8727491816364835658*((((x&z)^~(y&~z))&~t)|((z|~(x^y))&t)), 3735936685*~x
5825287618740841644*(z&~t) + 9708812660542035890*(((z&~(x&y))&~t)|(~(x|(~y|z))&t)) + 15534100271811004164*((x&~t)|((z^(x|(~y|z)))&t)) + 10679693937804049534*(((y^~(x&z))&~t)|((~(x&~y)&(y^z))&t)) + 6796168866115361808*(((z&(x|y))&~t)|((y^(x|(y|z)))&t)) + 6796168866115361808*((~(x^(y^z))&~t)|((y&(x^z))&t)) + 17475862803919411342*(((z|~(x|~y))&~t)|((~(x&~y)&~(x^(y^z)))&t)) + 11650575207594189808*(((~(x|y)|~(x^(y^z)))&~t)|(~(x^(~y&z))&t)) + 2912643801898547452*((((y&~z)^(~x|(y^z)))&~t)|((~x|(~y&z))&t)) + 9708812664277972575*(((~(x^y)|~(x^z))&~t)|((z^(~x&(~y|z)))&t)) + 10679693937804049534*(((x|(y&z))&~t)|((z^(~x&(y|z)))&t)) + 14563219009492737260*(((~(x&~y)&(y^z))&~t)|((~(x|~y)|(x^(y^z)))&t)) + 15534100271811004164*((~(x|(~y&z))&~t)|((y^(~x&(y^z)))&t)) + 9708812668013909260*(((z^(x&(y|z)))&~t)|((y^(~x&(y^z)))&t)) + 15534100268075067479*((((y&z)|(x&(y|z)))&~t)|((z|~(x|~y))&t)) + 16504981549073017808*(((~(x|~y)|~(x^(y^z)))&~t)|((~x|(y|z))&t)), 3735936685*~x
6016204307099723053*(((~(x&y)&(x^(y^z)))&~t)|(~(x|z)&t)) + 14996273954149807452*(((y^(~x&(~y|z)))&~t)|((~z&(x^y))&t)) + 9333964028824238553*(((x^(y|z))&~t)|(~(~x|(~y|z))&t)) + 11280383072543036125*((~(~x&(~y&z))&~t)|((~x&(~y|z))&t)) + 16677272217141894436*((((x^y)&(x^z))&~t)|(((x&z)^~(y&~z))&t)) + 17296587368434949123*(((z^(x|(~y&z)))&~t)|((~x&(y|z))&t)) + 13094091710954731663*((((x&z)^(x^(~y&z)))&~t)|((x^(~y|z))&t)) + 7166361012374325546*(((z|~(x^y))&~t)|((y^(x|(~y&z)))&t)) + 17075403388231960318*((((x|y)&~(y^z))&~t)|((y^~(x&(~y|z)))&t)) + 16588798631038197610*(((x&(y&z))&~t)|((~z|~(x^y))&t)) + 18225560089770626126*(((z|(x&y))&~t)|((x&(~y|z))&t)) + 13624933268672216154*((~(~x&(y^z))&~t)|((y^~(x&(y&z)))&t)) + 1990655836770645985*(((~(x|y)|(y^z))&~t)|(((x|y)&~(y^z))&t)) + 8404991303752624865*(((~y|~(x^z))&~t)|((y^(x&~z))&t)) + 13005618128586971522*(((y^~(x&(y^z)))&~t)|((x|(~y|z))&t)) + 3317759721724515500*(((z^~(x&y))&~t)|((~x|(y|z))&t)), 3735936685*~x
8556071580963556247*((~(~x&(~y&z))&~t)|(~(x|z)&t)) + 4332882404497419623*(((y^(~x|(y^z)))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 17550916066580371120*(((x|(y|z))&~t)|(((x&z)^(x^(~y&z)))&t)) + 5704047726868931973*((~(x|(y&z))&~t)|((~x&(y&z))&t)) + 5393250248069619590*(((y^~(x&(y&z)))&~t)|((z^(x|~y))&t)) + 3290796762483819585*(((y^~(x&z))&~t)|((~x&(y|z))&t)) + 530183923654068326*((~(y&z)&~t)|(((x&z)^(y|z))&t)) + 5539507886689975817*(((x^z)&~t)|(~(x&(~y|z))&t)) + 14479505752687244163*(((~y&(x^z))&~t)|((z&~(x&y))&t)) + 5210428206332063505*(((~x&(y^z))&~t)|((y^~(x|(~y&z)))&t)) + 11408095442530053891*(((z^~(x&~y))&~t)|((z^~(x&(~y|z)))&t)) + 18318768647855605373*(((z&(x|y))&~t)|((~y|~(x^z))&t)) + 8647482603700302632*(((x&(y&z))&~t)|((~(x&~y)&~(y^z))&t)) + 16124904135797122298*(((x^(~y|z))&~t)|((y&(x|z))&t)) + 6380489277935546471*(((~(x&~y)&(y^z))&~t)|((~(x|y)|~(y^z))&t)) + 7696807980687512294*(((z|(x&y))&~t)|((x|(y|z))&t)), 3735936685*~x
7595718147338767721*(((~z&~(x^y))&~t)|(~(x|y)&t)) + 17361641476962942873*(((y&~z)&~t)|(~(x|y)&t)) + 3255307775296079489*(((y^(x|(~y&z)))&~t)|((y^~(~x&(y^z)))&t)) + 5425512965053360290*((~(x&~x)&~t)|(~(x|(y^z))&t)) + 17361641484434816243*(((x&z)&~t)|((~x|(~y&z))&t)) + 5425512965053360290*(((x|y)&~t)|(((x&y)|~(y|z))&t)) + 4340410372042688232*(((y^(x|~z))&~t)|((x^(y^z))&t)) + 4340410368306751547*((((y&~z)^(x|(y^z)))&~t)|((z^(~x&(~y|z)))&t)) + 6510615558064032348*((((x&z)^~(x^(y&z)))&~t)|(~(x^z)&t)) + 13021231104920254641*(((~(x&y)&(y^z))&~t)|(~(x^(~y|z))&t)) + 11936128515645519268*(((y&z)&~t)|((x|(y^z))&t)) + 14106333709138736754*(((~x&(y|z))&~t)|(~(~x&(y&z))&t)) + 10851025922634847210*(((x|(y&z))&~t)|((y^~(x|(y&z)))&t)) + 13021231108656191326*(((y^~(~x&(~y&z)))&~t)|((x|y)&t)) + 8680820744085376464*((((x&~y)|(y^z))&~t)|((z|(x^y))&t)), 3735936685*~x
12297829374522194799*((~(x^y)&~t)|((~x&(y^z))&t)) + 12297829390328080774*(((y^~(x|(y^z)))&~t)|((y^~(x&(y^z)))&t)) + 12297829382281447914*(((z^(x&(y|z)))&~t)|((~y&~(x^z))&t)) + 12297829380269789699*((((x^y)|(x^z))&~t)|(((x&z)^(x^(~y&z)))&t)) + 6148914698899977072*(((z^~(~x&(~y|z)))&~t)|((~(x&y)&~(y^z))&t)) + 18446744069398855441*((~y&~t)|((y^~(~x|(y^z)))&t)) + 6148914698612597327*((~(~x|(y&z))&~t)|((z&(x^y))&t)) + 12297829386017384599*((((x&y)^(x^(~y|z)))&~t)|((x^(y&z))&t)) + 18446744061639602326*((((x&z)^~(y&~z))&~t)|((y^(x|(y^z)))&t)) + 12297829386017384599*((~(x&(y|z))&~t)|((y^~(~x&(y&z)))&t)) + 12297829372223156839*(((~(x^y)&~(x^z))&~t)|((z^~(x&y))&t)) + 6148914702923293502*(((y^(~x|(y^z)))&~t)|((z^~(x&y))&t)) + 574759490*(((y^(~x|(~y&z)))&~t)|((x&y)&t)) + 12297829365900802449*((((x&z)|(y&~z))&~t)|(((x&y)|~(y^z))&t)) + 3448556940*(((~(x|~y)|(y^z))&~t)|(((y&z)|(~x&(y|z)))&t)) + 6148914702348534012*(((~(x^y)&~(x^z))&~t)|((y|(x^z))&t)), 3735936685*~x
4400140790075127734*((~(x|z)&~t)|((z^(~x|(y|z)))&t)) + 7107919734652490683*((((x&y)|~(y|~z))&~t)|(~(y|~z)&t)) + 15738965121660315297*(((y^(x|~z))&~t)|(((x&z)^~(x^(y&z)))&t)) + 5584794078561220067*((~(x|z)&~t)|((y^(x|(~y|z)))&t)) + 15400492754055137014*((((x&y)^(y|z))&~t)|((z^(x|~y))&t)) + 3892432240535328652*(((~x|(~y&z))&~t)|(~(x&z)&t)) + 507708553275735767*(((~z|(x^y))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 12692713816949647435*((((y&~z)^(~x|(y^z)))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 15569728943461631183*(((z&~(x&~y))&~t)|(~(x&(y&z))&t)) + 14723548022580717133*(((y|~z)&~t)|((x&z)&t)) + 13708130919765182284*(((x^z)&~t)|((z^~(x|~y))&t)) + 1184653288486092333*((~(~x|(~y&z))&~t)|(((x&y)|~(y|~z))&t)) + 9477226315360612034*((((x&y)^(x^(y&z)))&~t)|((y|(x&~z))&t)) + 10831115785781325166*(((~(x|~y)|~(x^(y^z)))&~t)|((z&~(x&~y))&t)) + 16585146046277166032*((((y&~z)^(~x|(y^z)))&~t)|((x|(y|z))&t)) + 7277155916587111482*((~(x^y)&~t)|((x|(y|z))&t)), 3735936685*~x
747187337*(((z^(~x&(y|z)))&~t)|((y^(~x|(y&z)))&t)) + 18446744071467989605*(((z|~(x|y))&~t)|(((x&~y)|(y^z))&t)) + 2241562011*(((y^~(x|(y&z)))&~t)|((~x&(y|z))&t)) + 18446744072215176942*(((x&(~y|z))&~t)|((~(x&y)&~(x^(y^z)))&t)) + 747187337*(((y^(~x&(y|z)))&~t)|((x^(y&z))&t)) + 1494374674*(((z^(~x&(y|z)))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 2241562011*(((~x|(~y|z))&~t)|((y^~(~x&(y&z)))&t)) + 18446744072962364279*(((y^~(~x&(~y&z)))&~t)|(((x|y)&(x^(y^z)))&t)) + 18446744071467989605*(((y^(~x|(~y|z)))&~t)|((y^~(x|(y^z)))&t)) + 3735936685*((((x&z)^~(y&~z))&~t)|((y^~(x|(y^z)))&t)) + 18446744072962364279*(((z^(~x|(~y&z)))&~t)|((x&(~y|z))&t)) + 1494374674*(((z^~(x&(~y&z)))&~t)|((z^~(x|(~y&z)))&t)) + 1494374674*((((x^y)&~(x^z))&~t)|(((x&y)^(x^(y&z)))&t)) + 18446744071467989605*(((y|(x&~z))&~t)|(((x&y)|~(x^(y^z)))&t)) + 18446744072962364279*((((x&~y)|(x^(y^z)))&~t)|((z|(x&~y))&t)), 3735936685*~x
15092790607120882844*((~(~x&(y^z))&~t)|(~(~x|(y|z))&t)) + 18446744069973614931*(((~(x&~y)&~(y^z))&~t)|(~(~x|(y&z))&t)) + 1676976731799959712*(((y^~(x&(~y&z)))&~t)|(((x|y)&(y^z))&t)) + 5030930205113314517*(((y^~(~x&(y^z)))&~t)|(~(y|~z)&t)) + 5030930204366127180*(((y^(x&~z))&~t)|((z^(x&(y|z)))&t)) + 13415813869343424436*((((x|~y)&(y^z))&~t)|((z^~(~x&(y|z)))&t)) + 4483124022*(((~(x&~y)&~(x^(y^z)))&~t)|((y^(x&z))&t)) + 6707906931682962870*(((~z|(x^y))&~t)|(~(x^y)&t)) + 1676976734788709060*((((y&~z)|~(~x|(~y&z)))&~t)|((y^~(x|~z))&t)) + 13415813875320923132*(((z|(x^y))&~t)|((y^~(x|~z))&t)) + 13415813876068110469*(((y^~(~x&(~y|z)))&~t)|(~(x^z)&t)) + 1676976730305585038*((((x&z)^~(x^(y&z)))&~t)|(((y&~z)^(x|(y^z)))&t)) + 10061860399018818979*(((~z&(x^y))&~t)|(y&t)) + 5030930199883003158*(((y^~(~x|(y&z)))&~t)|((z&~(x&~y))&t)) + 6707906944385147599*((~(x|(y&z))&~t)|((~(x^y)|(x^z))&t)) + 15092790603384946159*((((x|y)&~(y^z))&~t)|((~x|(y|z))&t)), 3735936685*~x
11207810055*(((y^~(x&(y^z)))&~t)|(~(x|(~y|z))&t)) + 26151556795*((~(y&z)&~t)|((z^(x|(~y|z)))&t)) + 11207810055*(((z|(x&~y))&~t)|((~(x^y)&(x^z))&t)) + 82190607070*(((~x&(~y&z))&~t)|((y^~(~x&(~y&z)))&t)) + 18446744058765804876*(((~(x&y)&(y^z))&~t)|((y&~(x&z))&t)) + 18446744021406438026*(((y^(x|(y|z)))&~t)|(((y&~z)|~(x|(~y&z)))&t)) + 18446744028878311396*((((x^y)&(x^z))&~t)|((y^~(~x|(y^z)))&t)) + 18446744025142374711*((((y&~z)^(~x|(y^z)))&~t)|((z^(~x&(~y|z)))&t)) + 18446744017670501341*(((y^~(x|~z))&~t)|((x|~y)&t)) + 18446744062501741561*((~(~x&(y&z))&~t)|((x|(y^z))&t)) + 56039050275*(((z^(x&~y))&~t)|(y&t)) + 3735936685*((((x&y)^~(x^(~y|z)))&~t)|((z&~(x&~y))&t)) + 18446744043822058136*((~(x|~y)&~t)|((z^(x&~y))&t)) + 26151556795*(((z^~(x&~y))&~t)|((y^~(x|(y&z)))&t)) + 26151556795*(((y^(x&(y|z)))&~t)|(~(x&~y)&t)) + 33623430165*(((y^(x&(y|z)))&~t)|((x|(y|z))&t)), 3735936685*~x
18446744066237678246*(((y^(x|(y|z)))&~t)|((~(x&~y)&(y^z))&t)) + 3735936685*(((~(x&y)&(y^z))&~t)|(~(y|~z)&t)) + 3735936685*(((z^~(~x&(y|z)))&~t)|(~(y&z)&t)) + 3735936685*(((y^(x|z))&~t)|((y^~(~x|(~y&z)))&t)) + 7471873370*((((x&y)|(y^z))&~t)|(((x&z)^(y|z))&t)) + 18446744066237678246*(((y^~(x|~z))&~t)|((x^(y&z))&t)) + 3735936685*(((y|~(x|z))&~t)|((z^(x&y))&t)) + 18446744069973614931*(((y^~(~x|(y&z)))&~t)|(~(x&(y&z))&t)) + 18446744069973614931*((~(~x&(y&z))&~t)|((z&~(x^y))&t)) + 3735936685*((~y&~t)|((x^(~y&z))&t)) + 3735936685*((~(~x|(y^z))&~t)|((z^(~x&(~y|z)))&t)) + 18446744069973614931*((((x|~y)&~(x^(y^z)))&~t)|((z&(x|~y))&t)), 3735936685*~x
6148914741719559077*(((y^~(x|z))&~t)|((~z&(x^y))&t)) + 12297829341760903869*(((y^(x&(y^z)))&~t)|((~z&(x^y))&t)) + 12297829370498878369*((x|~t)&~z) + 6148914662690129202*(((~(x^y)&(x^z))&~t)|(~(x|(~y&z))&t)) + 19541822660*((((x^y)|(x^z))&~t)|((y&(x^z))&t)) + 4023316430*((((y&~z)^(~x|(y^z)))&~t)|((x^z)&t)) + 6148914671886281042*((~(x&~x)&~t)|((~(x&~y)&(x^(y^z)))&t)) + 12297829401823270574*(((x|(y|z))&~t)|((~z|~(x^y))&t)) + 6148914682519331607*(((z^(x|~y))&~t)|(((y&~z)^(x|(y^z)))&t)) + 12297829391190220009*(((~(x|y)|(y^z))&~t)|(((x&~y)|~(y^z))&t)) + 6148914710969926362*(((y&~(x^z))&~t)|((y^(x&(y^z)))&t)) + 6148914694014521407*((~(~x|(y|z))&~t)|(((x^y)|~(x^z))&t)) + 12297829351531815199*(((y^~(x|z))&~t)|((x|(y&z))&t)) + 1436898725*(((x|~z)&~t)|((z|~(x|y))&t)) + 12297829379407650464*(((y^(x|(y&z)))&~t)|((z|(x&~y))&t)) + 10058291075*((~(x^(~y&z))&~t)|((z|(x&~y))&t)), 3735936685*~x
10248191153970340759*(((z&~(x^y))&~t)|(~(x|(y|z))&t)) + 683212742751210402*((~(x^y)&~t)|((x&~y)&t)) + 15030680357711937595*(((z^(x|(y|z)))&~t)|(((x|y)&(y^z))&t)) + 16397105841719983725*((((x&z)^~(x^(~y&z)))&~t)|((z^~(x&(~y&z)))&t)) + 8881765666226357944*((y&~t)|((x^(y|z))&t)) + 14347467610477603171*(((z^(x|(y|z)))&~t)|(~(x&(y|z))&t)) + 683212745739959750*(((z^(x&(y|z)))&~t)|((x^(~y|z))&t)) + 10248191145751280052*~(~x|(~y&(~z|t))) + 1366425491479919500*(((x|(y&z))&~t)|((x^(y^z))&t)) + 683212744245585076*((((x&z)|~(y|z))&~t)|(~(x^(y|z))&t)) + 11614616637231199552*(((x^(y&z))&~t)|((x|(y^z))&t)) + 12297829379982409954*((((x|~y)&(x^(y^z)))&~t)|(((x|y)&~(y^z))&t)) + 8198552924969522216*((~(x|z)&~t)|((y|(x&~z))&t)) + 12981042128711119052*(((~(x^y)|~(x^z))&~t)|(((x&y)|~(x^(y^z)))&t)) + 16397105842467171062*((((y&~z)|~(x|(~y&z)))&~t)|((y|(x&z))&t)), 3735936685*~x
18446744072962364279*((((y&z)^~(~x&(y^z)))&~t)|((~z&(x^y))&t)) + 18446744069973614931*(((~z|(x^y))&~t)|((z^(~x|(~y|z)))&t)) + 12297829382971159302*(((~(x&~y)&(y^z))&~t)|((x&~z)&t)) + 1494374674*((~(x|(y&z))&~t)|((x&~y)&t)) + 6148914689991204977*(((y^~(x|(~y&z)))&~t)|(~(~x|(y&z))&t)) + 12297829382223971965*((~(~x|(y|z))&~t)|(((x|y)&(y^z))&t)) + 2241562011*(((z^(~x&(y|z)))&~t)|((x^(y|z))&t)) + 12297829386707095987*(((x^z)&~t)|(~(x&z)&t)) + 18446744072215176942*(((~(x|~y)|(x^(y^z)))&~t)|((z&(x^y))&t)) + 1494374674*(((z^~(~x&(y&z)))&~t)|((y^(x|(~y&z)))&t)) + 6148914692232766988*((~(x|z)&~t)|((z^(~x&(y|z)))&t)) + 12297829385212721313*(((~x|(~y&z))&~t)|(~(x^z)&t)) + 12297829381476784628*(((~(x|y)|(y^z))&~t)|(((y&~z)^(x|(y^z)))&t)) + 3735936685*((~(x&~x)&~t)|((z^~(x|y))&t)) + 12297829379235222617*(((y^(x|(y|z)))&~t)|(((x&~y)|~(y^z))&t)) + 12297829379235222617*(((y|~(x|~z))&~t)|((y|z)&t)), 3735936685*~x
10170258146174050290*(((y^~(x|(y&z)))&~t)|((x&~z)&t)) + 7013971123826987615*((((x&y)|(y^z))&~t)|((z^(x|(~y|z)))&t)) + 4418801814847766331*((~x&~t)|(((x^y)&(x^z))&t)) + 2384750178141082903*((~x&~t)|((z^(x|~y))&t)) + 4559081236651837480*(((~(x^y)&~(x^z))&~t)|(~(x&(y|z))&t)) + 14869618808365895604*(((x|(y|z))&~t)|(~(x^(y^z))&t)) + 11923750920592907995*((~(~x|(~y|z))&~t)|(((x^y)|(x^z))&t)) + 15921714481236270934*((~(x|(y|z))&~t)|(((x|y)&(x^(y^z)))&t)) + 1472933930810715407*(((y^~(x&(y^z)))&~t)|((x&y)&t)) + 7715368247791090100*((~(x&y)&~t)|(~(x^y)&t)) + 17043949836989156701*((((x&~y)|~(y^z))&~t)|(~(x^(~y|z))&t)) + 14448780531745872102*(((y^(x|(y&z)))&~t)|((z^~(x&(y|z)))&t)) + 12835567167923275491*(((y|(x&~z))&~t)|(y&t)) + 7294529974907003283*((z&~t)|((~(x|y)|~(y^z))&t)) + 10100118425932173003*((((y&~z)|~(x|(~y&z)))&~t)|(((x^y)|~(x^z))&t)) + 5400757771212201059*(((x^(y&z))&~t)|(~(x&~x)&t)), 3735936685*~x
16010381649725860652*((((x&~y)|~(y^z))&~t)|(~(x|(y|z))&t)) + 4524673075247389896*((~(x|(~y&z))&~t)|((~x&(~y&z))&t)) + 4176621298791461179*(((y|~(x|z))&~t)|((z^~(~x&(~y&z)))&t)) + 7309087275687009577*((((x&y)^(y|~z))&~t)|((x&(y^z))&t)) + 4872724851703318613*((x&~z)|~y) + 6612983726511088828*(~x&(~y|(z|t))) + 14618174547638082469*((~(~x&(~y&z))&~t)|((y^(x&(~y|z)))&t)) + 6961035495495144175*((~(~x|(y^z))&~t)|((y^~(x&z))&t)) + 4176621302527397864*(((y&~(x&~z))&~t)|((y^~(x&z))&t)) + 3132465973159611713*((~(~x&(y|z))&~t)|((z^~(x|~y))&t)) + 10789605025302550007*((((y&~z)^(~x|(y^z)))&~t)|((z^~(x|(~y&z)))&t)) + 14618174547638082469*((((x^y)|(x^z))&~t)|((x|(~y&z))&t)) + 1740258874807770215*(((z^~(x&y))&~t)|((~(x|~y)|~(y^z))&t)) + 18098692297253622899*(((y&~(x&z))&~t)|((z^(x&~y))&t)) + 4524673078983326581*((((y&~z)|~(~x|(~y&z)))&~t)|((~(x|~y)|(x^(y^z)))&t)) + 9745449699670700541*((((x|y)&~(x^(y^z)))&~t)|((y|~(x|~z))&t)), 3735936685*~x
