# 49374 + 3735936685*x
18446744069973614931*~(x|(~y|z)) + 3735936685*(y&~z) + 18446744069973614931*~(x&(~y|z)) + 18446744069973664305, 49374 + 3735936685*x
18446744069973614931*(z^(x|(~y|z))) + 18446744062501790935*(~x&(y^z)) + 7471823996*((x&~y)|(y^z)) + 49374*(~(x^y)&~(x^z)) + 18446744073709502242*(z^(~x|(~y&z))) + 3735936685*((x|y)&(x^(y^z))) + 3735887311*((x&y)^(x^(~y|z))) + 18446744069973614931*((x&y)^(x^(y&z))), 49374 + 3735936685*x
6148914693727141662*(y^(~x|(~y|z))) + 6148914689991204977*(~(x|y)|(y^z)) + 18446744069973614931*(~(x&~y)&~(x^(y^z))) + 12297829383718297265*(~x|(~y&z)) + 18446744069973614931*((x|~y)&(x^(y^z))) + 12297829387454233950*(y^~(x&(y&z))) + 6148914697463028973*(y&(x|z)) + 18446744069973664305*(z|~(x|y)), 49374 + 3735936685*x
3735936685*(~(x&y)&(y^z)) + 7471922744*(z^~(x&(y&z))) + 18446744069973565557*~(x^(y|z)) + 18446744069973565557*(~(x^y)|(x^z)) + 14943845488*(x|(y&z)) + 3735986059*(y|(x&z)) + 18446744058765656754*(x|y), 49374 + 3735936685*x
7471823996*((x&y)^~(x^(y&z))) + 8701130604408379026*(x&~y) + 18446744069973614931*(y^(x|(~y|z))) + 9745613473037109275*(~(x|y)|(y^z)) + 18446744069973614931*~(x&(~y|z)) + 9745613476772996586*(z^~(x|(y&z))) + 9745613476772996586*(x|z) + 17402261197608997371*(~x|(y|z)), 49374 + 3735936685*x
18446744072962364279*~(y|z) + 5230261985*(y^(x|(y|z))) + 18446744069973614931*(~(x&y)&(y^z)) + 18446744069973614931*((x^y)&(x^z)) + 18446744071467989605*(x^(~y|z)) + 2241562011*(x^(y&z)) + 2988699974*(y|~(x|z)) + 747187337*(y|(x^z)), 49374 + 3735936685*x
18446744073709502242*(~z&(x^y)) + 17235452264115407724*(~x&(~y&z)) + 1211291805858207207*(~x&(~y|z)) + 1211291805858256581*(~(x|y)|(x^(y^z))) + 1211291805858207207*(z^~(x|(~y&z))) + 16024160461993087828*(~y|~(x^z)) + 1211291809594143892*(x|(~y&z)) + 17235452267851295035*(y^~(x|(y&z))), 49374 + 3735936685*x
18446744073709518700*(y^~(x&(y^z))) + 18446744073709518700*~(x|~y) + 16458*((y&~z)|~(~x|(~y&z))) + 18446744073709518700*((x&z)|~(y|z)) + 3735920227*(x&(y|z)) + 16458*(~(x^y)|(x^z)) + 18446744069973598473*(y|~(x|~z)) + 3735920227*(y|(x^z)), 49374 + 3735936685*x
1716099180842130304*(~x&(y^z)) + 3735887311*(y^~(~x&(y^z))) + 2288132239877528177*((x&z)^~(y&~z)) + 15586578771060688881*~(x&(y|z)) + 17874711014674153743*(y^~(x&(y|z))) + 3735936685*((x&z)^(x^(y&z))) + 1144066118070795746*(y|~z) + 17874711014674104369*(y^(~x&(y^z))), 49374 + 3735936685*x
18446744073709502242*((x&y)^~(x^(y&z))) + 18446744069973664305*(~x|(~y&z)) + 18446744069973664305*(z&~(x^y)) + 3735887311*((x&y)|~(y|~z)) + 49374*~(~x&(y&z)) + 3735837937*(~x|(~y|z)), 49374 + 3735936685*x
15550228544814072938*(x&(~y&z)) + 2896515528895528052*((y&~z)|~(x|(~y&z))) + 15550228544814023564*(y^~(~x|(y^z))) + 18446744073709502242*(~x|(~y&z)) + 15550228544814023564*(y^~(x|(~y&z))) + 2896515532631415363*x, 49374 + 3735936685*x
3735887311*((x^y)&~(x^z)) + 7471823996*(y^(x|(y^z))) + 18446744066237727620*(y^(x|(~y&z))) + 3735936685*((y&~z)|~(~x|(~y&z))) + 18446744073709502242*~(x&(~y&z)), 49374 + 3735936685*x
18446744073709502242*(y^(x|z)) + 18446744069973664305*(y^~(~x|(~y&z))) + 18446744073709502242*((y&~z)^(~x|(y^z))) + 3735837937*(y|(x&~z)) + 18446744069973614931*((y&z)|(~x&(y|z))) + 3735936685*(z|(x^y)) + 49374*(x|(y|z)), 49374 + 3735936685*x
3735936685*~(~x|(y&z)) + 18446744069973664305*(~x|(~y&z)) + 18446744073709502242*(~y|(x^z)) + 49374*((x&y)|~(y|~z)) + 18446744073709502242*((x&y)|(y^z)) + 3735887311*~(x&~z), 49374 + 3735936685*x
7471774622*~(x|y) + 18446744066237727620*~(x|(~y&z)) + 22415373240*(y^~(~x|(~y&z))) + 18446744058765952998*(x^(y|z)) + 3735887311*(z^~(x|~y)) + 18446744069973664305*((x^y)|~(x^z)) + 3735887311*(z|~(x^y)), 49374 + 3735936685*x
7471873370*(x&~y) + 2638634185077820197*((x&z)^~(x^(y&z))) + 15808109884895745360*(~(x&~y)&~(x^(y^z))) + 2638634196285679626*(y^(~x&(~y|z))) + 15808109881159808675*(~z|~(x^y)) + 15808109884895745360*(z^~(x|~y)) + 2638634188813756882*((x&z)^(x^(y&z))), 49374 + 3735936685*x
12297829379982459328*(~y&(x^z)) + 6148914693727092288*((x|~y)&(y^z)) + 12297829383718346639*~(y&z) + 6148914689991106229*((x&z)^~(y&~z)) + 12297829383718396013*((y&~z)^(~x|(y^z))) + 6148914697463078347*~(~x|(y^z)) + 6148914689991204977*(y^~(x&(~y|z))) + 6148914689991155603*(z^(~x&(y|z))), 49374 + 3735936685*x
10540996615149409771*(y^(~x|(y&z))) + 15811494917120234316*~x + 7905747458560141845*(y^~(~x&(y&z))) + 7905747462296029156*((x^y)|(x^z)) + 13176245768002790386*(~y|~(x^z)) + 15811494920856171001*(y&z) + 7905747462296029156*((x&~y)|~(y^z)), 49374 + 3735936685*x
3735936685*(x&~y) + 3735936685*(x&y) + 49374, 49374 + 3735936685*x
3735936685*(x&(~y&z)) + 3736134181*((x&~y)|(y^z)) + 18446744073709502242*(z^(x|~y)) + 18446744073709452868*((x&z)^(y|z)) + 18446744069973565557*(~x|(y^z)) + 18446744073709452868*(x|~z) + 18446744073709452868*(x|(~y&z)) + 3736084807*(y^~(x|z)), 49374 + 3735936685*x
11207760681*((x|~y)&~(x^(y^z))) + 18446744069973614931*((x&z)^(x^(~y&z))) + 18446744069973614931*(y^(x&z)) + 18446744069973614931*((y&z)|(~x&(y|z))) + 18679634051*(~(x|~y)|(x^(y^z))) + 18446744062501741561*~(x&(y^z)), 49374 + 3735936685*x
18446744069973614931*~z + 7471873370*(~(x^y)&(x^z)) + 14943697366*(z^(x&(y|z))) + 18446744062501741561*(~x|(y^z)) + 7471823996*((x|~y)&(x^(y^z))) + 18446744055029917565*(y^(~x&(y^z))) + 14943697366*(y|~(x^z)), 49374 + 3735936685*x
18446744066237678246*(~x&(y&z)) + 3735936685*(z&(x|~y)) + 18446744066237727620*(z^~(x|~y)) + 18446744069973614931*(~(x^y)|~(x^z)) + 3735887311*(x|(y^z)) + 3735936685*(y|(x&z)) + 3735887311*~(x&~z), 49374 + 3735936685*x
18446744073709452868*~(x|(~y|z)) + 3735887311*(z^(x|(y&z))) + 18446744069973664305*(~(x&y)&(y^z)) + 18446744073709502242*~(x|(y^z)) + 18446744069973664305*(y^~(x&(y|z))) + 3735936685*(z^~(x&(~y|z))) + 3735887311*((y&~z)^(x|(y^z))) + 18446744073709502242*(y^(~x|(~y&z))), 49374 + 3735936685*x
18446744073709502242*(~z&~(x^y)) + 3735936685*((x&z)^(x^(~y&z))) + 18446744069973565557*~(x|~z) + 18446744073709502242*((x&~y)|(x^(y^z))) + 3735936685*(y&z) + 18446744073709502242*(y&~(x&~z)) + 49374*((y&z)|(~x&(y|z))), 49374 + 3735936685*x
7471823996*~(~x|(y&z)) + 3735887311*~(x&(y|z)) + 18446744066237727620*(y^~(~x&(y|z))) + 7471823996*(z^~(x|(y&z))) + 18446744069973614931*(~x|(y|z)), 49374 + 3735936685*x
18446744069973614931*((x^y)&~(x^z)) + 3735887311*(~(x|~y)|~(x^(y^z))) + 18446744058765804876*(x&(y&z)) + 14943697366*((x|~y)&(x^(y^z))) + 18679683425*(z^(~x&(~y|z))) + 18446744062501741561*(y^(~x|(y^z))) + 7471873370*z + 18446744062501741561*~(y&~z), 49374 + 3735936685*x
18446744066237826368*(x&~y) + 3735887311*((x&z)^(x^(~y&z))) + 3735887311*(y^~(~x&(~y|z))) + 18446744069973664305*(~x|(~y&z)) + 3735837937*~(x&y) + 3735887311*(y^~(x|(~y&z))) + 3735887311*(x&(~y|z)) + 18446744069973664305*(~(x^y)|(x^z)), 49374 + 3735936685*x
3735887311*((y&z)^~(~x&(y^z))) + 7471823996*((y&~z)|~(x|(~y&z))) + 18446744073709502242*(x^(y|z)) + 18446744066237727620*(~(x|~y)|~(x^(y^z))) + 3735837937*(~(x^y)&~(x^z)) + 18446744066237776994*((x|~y)&~(y^z)) + 7471823996*(x&(~y|z)), 49374 + 3735936685*x
3735936685*~(~x|(~y|z)) + 18446744069973614931*(y&~(x&z)) + 18446744069973664305*(z^(x&(~y|z))) + 18446744073709502242*(x^(y|z)) + 3735936685*(y^(x|(~y&z))) + 3735936685*((x&z)^(x^(y&z))) + 18446744073709502242*(x|(~y|z)), 49374 + 3735936685*x
18446744069973713679*(~(x^y)&~(x^z)) + 3735936685*(y^~(x|(~y&z))) + 18446744073709502242*(~z|~(x^y)) + 18446744073709502242*(z^(~x&(~y|z))) + 3735936685*(x|(~y&z)) + 3735887311*(~(x&~y)&~(y^z)) + 18446744069973614931*(y^~(x|(y&z))), 49374 + 3735936685*x
18446744064743254198*(~(x&y)&(x^(y^z))) + 4483124022*(z^(x|(y&z))) + 5230311359*(z^~(x&(~y&z))) + 18446744071467989605*(~(x|y)|(y^z)) + 18446744072962364279*(y^~(~x|(y^z))) + 2988749348*(~(x&~y)&(x^(y^z))) + 18446744070720752894*((x&y)|~(x^(y^z))) + 3735936685*(z|(x^y)), 49374 + 3735936685*x
15063859316616674504*~(~x|(y|z)) + 18446744069973614931*(z^(~x|(~y|z))) + 18446744069973614931*(x&~y) + 1691442386018287239*(y^(x|(y&z))) + 16755301695163088373*(~(x&~y)&~(x^(y^z))) + 18446744069973614931*(~x&(y|z)) + 16755301695163088373*(z^~(x|~y)) + 1691442382282350554*(~(x^y)|(x^z)), 49374 + 3735936685*x
3735936685*(~z&(x^y)) + 18446744069973664305*(~y&~(x^z)) + 18446744073709502242*(y^(x|(~y|z))) + 18446744069973664305*(x^(y^z)) + 3735887311*(x&z) + 49374*~(x^(y|z)) + 3735887311*(x|~y) + 18446744073709502242*(y|~(x|z)), 49374 + 3735936685*x
18446744069973614931*(~x|(~y&z)) + 3735936685*~(x&y) + 18446744073709502242*(~x|(y^z)) + 18446744073709502242*~(~x|(y^z)) + 3735936685*(z^(~x&(y|z))) + 18446744069973614931*(z|~(x|~y)) + 3735936685*(z|(x&y)), 49374 + 3735936685*x
6148914689991172061*~(x|(~y|z)) + 12297829383718330181*(y^(x|(y|z))) + 6148914689991172061*(~x&(~y|z)) + 6148914693727108746*~(~x&(y|z)) + 12297829383718330181*(y|~(x|~z)) + 12297829383718330181*(y|(x&z)) + 6148914689991221435*(~x|(y|z)), 49374 + 3735936685*x
7471922744*~(~x|(y|z)) + 18446744073709502242*(~z&(x^y)) + 18446744069973614931*(z^~(x&~y)) + 3735887311*(z&~(x&y)) + 18446744073709502242*((x&y)|~(y|z)) + 7471873370*(z^~(x&(~y|z))) + 18446744069973614931*(~x|(~y|z)), 49374 + 3735936685*x
6728652737123429537*(y&~z) + 6728652733387443478*(z^~(~x&(~y&z))) + 13457305466774936330*(~x&(y|z)) + 13457305470510873015*((x&~y)|~(x^(y^z))) + 11718091336586122079*(~(x|~y)|~(x^(y^z))) + 4989438606934615286*~(x&(y&z)) + 6728652737123380163*(x&z) + 11718091340322058764*(y|(x^z)), 49374 + 3735936685*x
684993475643296859*(~x&(y&z)) + 17761750594330318072*((x^y)&(x^z)) + 18446744069973614931*~(x&(~y|z)) + 18446744069973614931*(~y|~(x^z)) + 18446744066237727620*((x&y)|~(x^(y^z))) + 7471823996*~(~x&(~y&z)) + 17761750601802142068*(z|~(x^y)) + 684993479379233544*(x|(~y|z)), 49374 + 3735936685*x
3735887311*(x&~y) + 98748*(y^(x|(~y|z))) + 18446744073709502242*(y^~(x&~z)) + 18446744073709502242*(y^~(x|(y^z))) + 18446744073709502242*(~z|~(x^y)) + 3736035433*(x|(y^z)) + 3736035433*(y&z) + 18446744069973466809*(z|(x^y)), 49374 + 3735936685*x
18446744066237727620*~(x|y) + 3735936685*((x&z)^~(x^(y&z))) + 18446744073709502242*((x&~y)|(y^z)) + 18446744069973614931*(~x&(y|z)) + 3735887311*(z^(x&(y|z))) + 3735887311*(y^~(x&z)) + 18446744073709502242*(z^~(x|y)) + 49374*(x|z), 49374 + 3735936685*x
18446744066237678246*~(x|(~y|z)) + 11207760681*(z^(x|y)) + 18446744069973614931*(y^(x|(y|z))) + 18446744066237678246*(x^(~y|z)) + 18446744069973614931*((x|y)&(x^(y^z))) + 7471823996*(z^~(x|y)), 49374 + 3735936685*x
18446744066237727620*~(~x|(~y|z)) + 3735887311*~(x|y) + 18446744069973614931*((x&y)^(y|~z)) + 7471823996*((x|y)&~(x^(y^z))) + 7471823996*(z^~(x&(y&z))) + 3735887311*(y|z) + 18446744066237727620*(~x|(y|z)), 49374 + 3735936685*x
18446744069973516183*(~x&(~y&z)) + 6148914689991221435*((x&y)^(y|~z)) + 6148914689991172061*~(x^(~y&z)) + 12297829383718280807*(x|~z) + 49374*(z^~(x|(~y&z))) + 6148914689991172061*(~(x&~y)&~(y^z)) + 12297829383718330181*(z|(x^y)) + 6148914693727158120*(x|(~y|z)), 49374 + 3735936685*x
18446744069973565557*(~x&(~y&z)) + 7892366579312216692*(z^~(x&(~y&z))) + 5277188743462706090*((y&~z)^(~x|(y^z))) + 3735936685*(z^~(~x|(~y&z))) + 10554377494397285550*~(~x&(~y|z)) + 13169555330246845526*(z&(x|~y)) + 7892366575576280007*(y&z) + 5277188750934579460*(~(x&~y)&~(y^z)), 49374 + 3735936685*x
3735936685*(z^(x|(y|z))) + 18446744069973614931*(~x&(y^z)) + 18446744069973565557*(z^~(~x&(~y&z))) + 18446744066237579498*(~x&(y&z)) + 3735986059*~(x&(y|z)) + 18446744073709502242*(~y|~(x^z)) + 3735936685*(z|(x&y)), 49374 + 3735936685*x
6404371194*~(x|y) + 18446744072642148188*(~(x&y)&(x^(y^z))) + 18446744067305131048*~(x|(~y&z)) + 18446744072642148188*(z^(x&(~y|z))) + 5870694167*(y^(x&(y|z))) + 18446744071574744760*(~(x|~y)|(y^z)) + 5870694167*(y|(x&~z)) + 18446744071574744760*((y&z)|(~x&(y|z))), 49374 + 3735936685*x
11207760681*(x&(~y&z)) + 11207760681*(z^~(~x&(y&z))) + 18446744055029917565*(x^(y|z)) + 18446744062501790935*(y^~(x|(y^z))) + 14943697366*(x^(y^z)) + 18446744069973614931*(z^~(x&(y|z))) + 18446744069973614931*(y^(~x|(~y&z))) + 7471823996*~(x&~y), 49374 + 3735936685*x
18446744073709403494*(y^~(x&(~y&z))) + 3735788563*(y^z) + 3735887311*((x&~y)|~(x^(y^z))) + 18446744069973713679*(~x|(~y&z)) + 7471675874*(z^(~x&(~y|z))) + 18446744069973861801*(x|~y) + 3735837937*(z^~(~x|(y&z))) + 18446744069973614931*((x&y)|~(x^(y^z))), 49374 + 3735936685*x
18446744055029917565*~(x|z) + 18446744073709502242*(~x&(y^z)) + 18446744066237678246*(z^~(~x&(y|z))) + 14943697366*(y^~(~x&(y|z))) + 7471823996*(y^~(x|(~y&z))) + 3735936685*(~(x|y)|(x^(y^z))) + 3735936685*(z^~(~x|(y&z))) + 18446744062501741561*((x&y)^(x^(y&z))), 49374 + 3735936685*x
18446744069973614931*~(~x|(y|z)) + 18446744069973664305*((x&z)^~(x^(y&z))) + 18446744069973565557*(~x&(~y|z)) + 3735887311*~(x&(y&z)) + 18446744073709502242*(y&(x|~z)) + 3735887311*(y^~(x&(y&z))) + 49374*(~(x^y)|(x^z)), 49374 + 3735936685*x
