# 49374 + 3735936685*(x^y)
9223372092893653274*((x&~z)|~t) + 12297829264168701879*(((~(x&~y)&~(y^z))&~t)|((~(x&y)&(x^(y^z)))&t)) + 3735936685*(((z^(x|(y&z)))&~t)|((~(x^y)&(x^z))&t)) + 15372286734317845926*((~(x&~y)&~t)|((z^(~x|(y&z)))&t)) + 3074457272145042856*((~(~x&(~y|z))&~t)|((x^(~y|z))&t)) + 12297829488324261117*(((~z&~(x^y))&~t)|((y^~(~x&(y&z)))&t)) + 78454423515*((~(x^(y|z))&~t)|((y^~(x|(y^z)))&t)) + 9223371992023659023*((((x&y)^~(x^(y&z)))&~t)|((x^(y^z))&t)) + 134493325668*(((y|(x&~z))&~t)|(((x&y)|~(y|~z))&t)) + 6148914551761959082*(((y^(x&(~y|z)))&~t)|((y^(~x|(~y&z)))&t)) + 18446744066237727620*((~(x|~y)&~t)|(((x|y)&~(y^z))&t)) + 15372286644655612356*((~(x&~x)&~t)|((~x|(y&z))&t)) + 3074457511244299460*(((y^(x|(~y&z)))&~t)|(~(x&(y^z))&t)) + 9223371943456630240*(((~(x^y)&(x^z))&~t)|(((x&y)^(x^(y&z)))&t)) + 18446744013934712778*(((x^(y|z))&~t)|(~(~x&(y^z))&t)) + 12297829432285358964*((((x&z)^(y|z))&~t)|(z&t)), 49374 + 3735936685*(x^y)
2367905033460761537*(((z^(x|(y|z)))&~t)|(((x&y)^~(x^(y&z)))&t)) + 6378066786990680857*(((x|~z)&~t)|((~y&~(x^z))&t)) + 12985285682188664107*((((x&z)^(y|z))&~t)|((y^~(~x&(~y&z)))&t)) + 7714787372745966192*(((~x&(~y|z))&~t)|(((x&~y)|(y^z))&t)) + 4239313854265348343*(((x&y)&~t)|(((x^y)&(x^z))&t)) + 16460759204405218641*((((x&z)|~(y|z))&~t)|(((x^y)&(x^z))&t)) + 7752979398875029617*(((~x|(y^z))&~t)|(~(x&(y&z))&t)) + 2406097055853888277*((((x&y)|(x^(y^z)))&~t)|((x&(y&z))&t)) + 14054662148551330364*((~(y|~z)&~t)|((z&~(x^y))&t)) + 16995447435718583427*((y&~t)|((~(x|y)|(x^(y^z)))&t)) + 13443589887395409464*(((x|(y^z))&~t)|(~(~x&(y&z))&t)) + 8631395775687632910*(((z^~(~x|(~y&z)))&~t)|((y&z)&t)) + 12641557536689425600*(((~(x^y)|(x^z))&~t)|(~(y^z)&t)) + 12603365510560362175*(((z&~(x^y))&~t)|((y^~(x|z))&t)) + 4392081921422284567*((~z&~t)|((y^(~x&(y^z)))&t)) + 7065523096668791922*(((y^~(~x|(y&z)))&~t)|((~x|(y|z))&t)), 49374 + 3735936685*(x^y)
3209810816797177118*(((z^(x&(~y|z)))&~t)|(~(x|(~y|z))&t)) + 4756707592555704502*(((~(x&~y)&(x^(y^z)))&~t)|((x&~z)&t)) + 12375174221011867064*((~(~x|(y&z))&~t)|((~y&(x^z))&t)) + 15623657450851981657*((~(y&z)&~t)|((z^(x|y))&t)) + 7425104533354327325*(((z^~(~x&(y&z)))&~t)|(((y&z)^~(~x&(y^z)))&t)) + 7850501147808695955*(((~x&(y^z))&~t)|(~(y|~z)&t)) + 12336501800497154967*(((y&(x^z))&~t)|((y^(x|z))&t)) + 13844726163212794250*((~(x|(y^z))&~t)|((y^~(~x|(~y&z)))&t)) + 10905622286282862622*((((x&z)^(x^(~y&z)))&~t)|((x^y)&t)) + 16822502456921550664*(((y|(x&~z))&~t)|((y^(x&(~y|z)))&t)) + 9281380665758924985*((((y&z)^~(~x&(y^z)))&~t)|((z^(~x&(y|z)))&t)) + 13844726163212794250*(((y^~(~x&(y|z)))&~t)|((x|(~y&z))&t)) + 7463776953869039422*(((z^(~x|(y|z)))&~t)|((z^~(x|(y&z)))&t)) + 9436070340346048125*((((x&z)^~(y&~z))&~t)|((y^~(~x|(y&z)))&t)) + 3557862586486135495*((((x&y)^(x^(~y|z)))&~t)|(((x&y)|~(x^(y^z)))&t)) + 11756415511455663197*((((x&~y)|~(y^z))&~t)|((x|(y|z))&t)), 49374 + 3735936685*(x^y)
9223372036854800495*((((x&y)|~(y^z))&~t)|((~(x&~y)&(y^z))&t)) + 15372286734317516766*(((~(x|y)|(x^(y^z)))&~t)|((x&(~y&z))&t)) + 6148914689991287267*(((y^(x&(y|z)))&~t)|((z^(~x|(y&z)))&t)) + 9223372033118863810*(((y^~(x|(y&z)))&~t)|((z^~(x&(~y&z)))&t)) + 17421924946881130057*(((z^~(~x&(~y&z)))&~t)|((y^(x|(y|z)))&t)) + 13322648503075355652*((~(x&(y|z))&~t)|((y^(x|z))&t)) + 4099276466220308287*((~z&~t)|((~x&(y|z))&t)) + 16397105846203080317*((~(~x&(~y|z))&~t)|((x^y)&t)) + 3074457350599153669*(((z^(~x|(~y&z)))&~t)|((x^(y&z))&t)) + 98748*(((~z&~(x^y))&~t)|((z^(x&y))&t)) + 15372286726846186510*(((y^(x|(~y|z)))&~t)|((z^~(~x|(~y&z)))&t)) + 3074457350599351165*(((y^~(x&(y^z)))&~t)|(((x&y)|~(y|z))&t)) + 17421924961824234935*(((y^(x&(y|z)))&~t)|((y&(x|~z))&t)) + 18446744073709304746*(((y^(x|(~y|z)))&~t)|((y^(~x&(y|z)))&t)) + 2049638220035190417*(((z^~(x&y))&~t)|(y&t)) + 14347467614960524211*(((x&~z)&~t)|((x|(y|z))&t)), 49374 + 3735936685*(x^y)
14493870351634466176*(((x&(~y|z))&~t)|(~(x|z)&t)) + 9223372051798399113*(((y^(~x|(~y&z)))&~t)|(~z&t)) + 10540996607143908748*((((x&z)|(y&~z))&~t)|((z^(~x|(y&z)))&t)) + 6588122873861062627*(((z^(~x&(y|z)))&~t)|((~(x&y)&(y^z))&t)) + 13176245755193949250*((((x&~y)|(x^(y^z)))&~t)|((~x&(y&z))&t)) + 1317624600176453611*(((~(x&~y)&(x^(y^z)))&~t)|(~(x|~y)&t)) + 17129119481004971375*(((~(x^y)&(x^z))&~t)|((z^~(~x&(y&z)))&t)) + 15811494929395398425*(((~z&(x^y))&~t)|((z^(x&(~y|z)))&t)) + 18446744066237727620*((((x^y)|~(x^z))&~t)|(((x|~y)&(x^(y^z)))&t)) + 11858621207320362359*((((x&~y)|~(x^(y^z)))&~t)|((y^~(x&z))&t)) + 17129119488476745997*((~(x&(~y&z))&~t)|(~(x^(y&z))&t)) + 11858621184904840997*((~(~x&(y|z))&~t)|((y&(x|z))&t)) + 13176245751458012565*(((x|(~y|z))&~t)|(~(x&(y^z))&t)) + 10540996618351620055*((~(~x&(y^z))&~t)|(((x&y)|~(x^(y^z)))&t)) + 2635249166729625179*(((x|(y|z))&~t)|((z|~(x|~y))&t)) + 6588122885068773934*((((x|y)&(y^z))&~t)|((x|(~y|z))&t)), 49374 + 3735936685*(x^y)
9223372031394604330*(((z^~(~x&(~y|z)))&~t)|(~(x|z)&t)) + 9223372039153796677*(((z^~(~x&(~y&z)))&~t)|((~z&(x^y))&t)) + 9223372036854751121*(((y^z)&~t)|((~z&~(x^y))&t)) + 6034932867*((((x&y)^~(x^(~y|z)))&~t)|(~(x|(y&z))&t)) + 9223372038866428326*(((~(x|y)|(y^z))&~t)|((y^~(~x&(~y&z)))&t)) + 9223372037716905548*((~(x^(y|z))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 287368351*((~(x&(~y&z))&~t)|((~x&(~y|z))&t)) + 9223372043751838415*(((~(x|~y)|(y^z))&~t)|((z^(x&(~y|z)))&t)) + 9223372040590687806*(((~(x|y)|~(y^z))&~t)|((x^(~y|z))&t)) + 9223372031394604330*(((z^~(x&~y))&~t)|((z^~(~x&(y|z)))&t)) + 9223372030245081552*((((y&~z)^(~x|(y^z)))&~t)|(~(x&(y&z))&t)) + 9223372032256709383*(((y^~(x|(~y&z)))&~t)|((z&~(x^y))&t)) + 9223372036567382770*(((y^~(x&z))&~t)|(~(~x&(y&z))&t)) + 18446744070835769358*(((z^~(~x&(~y|z)))&~t)|(~(y^z)&t)) + 7759192347*((~(x|(y^z))&~t)|(~(~x&(~y&z))&t)), 49374 + 3735936685*(x^y)
6612983726652168182*(((y^~(~x&(y|z)))&~t)|(~(x|z)&t)) + 13225967449568103435*(((z^~(x&~y))&~t)|((~z&(x^y))&t)) + 7657139050733132234*(((x&y)&~t)|((~z&~(x^y))&t)) + 14270122773649166235*((~(x&y)&~t)|(((x|~y)&(y^z))&t)) + 13225967449568300931*(((~(x&~y)&(y^z))&~t)|(((x&z)^(x^(~y&z)))&t)) + 10093501473588978350*((((x|~y)&~(y^z))&~t)|((y^~(x|(~y&z)))&t)) + 11833760350793468241*(((y|~(x|z))&~t)|((y&(x|~z))&t)) + 9397397920465699381*(((y^~(x|(y&z)))&~t)|(((y&~z)|~(~x|(~y&z)))&t)) + 14618174548342936125*(((x&(y&z))&~t)|((y^~(x&z))&t)) + 14618174548342985499*(((~x&(y^z))&~t)|((x&(y|z))&t)) + 1044155324081062800*(((z^(x|(y|z)))&~t)|((z^~(x|(~y&z)))&t)) + 16358433421811489331*(((z^(~x&(~y|z)))&~t)|((y^(~x|(~y&z)))&t)) + 9397397924201586692*((~(x|(y^z))&~t)|(((x&y)|(y^z))&t)) + 4872724853183614976*(((z|(x&~y))&~t)|((x|(y^z))&t)) + 1044155327817048859*((~(x|(y|z))&~t)|(((x&y)^(x^(y&z)))&t)) + 17402588749628390068*(((y|~(x|~z))&~t)|(~(~x&(~y&z))&t)), 49374 + 3735936685*(x^y)
292805477083606661*((~(x^(y^z))&~t)|((x&~y)&t)) + 2928054602717829557*((((y&~z)|~(x|(~y&z)))&~t)|((x&(y^z))&t)) + 9076969307652863564*((~(x^z)&~t)|((y^~(~x|(~y&z)))&t)) + 2049638234978328211*(((~(x|y)|~(y^z))&~t)|((y^~(~x&(y|z)))&t)) + 16689911297134998519*((~(~x&(~y|z))&~t)|((y^(x|(y^z)))&t)) + 10248191148739985512*((((x&~y)|(y^z))&~t)|((y^~(~x&(y&z)))&t)) + 7320136534814296526*(((~(x^y)|~(x^z))&~t)|((~x|(~y&z))&t)) + 2928054617661675045*(((y^(x&(y|z)))&~t)|((~y|(x^z))&t)) + 12297829387454299782*(((x^y)&~t)|((z^~(x|(~y&z)))&t)) + 4392081909680698737*(((~(x&y)&~(x^(y^z)))&~t)|((~y|~(x^z))&t)) + 13176245766401660557*(((y^~(~x&(y|z)))&~t)|(((x&y)|(y^z))&t)) + 292805450931852370*(((y^(~x&(y^z)))&~t)|((y|(x&~z))&t)) + 7612941996954057699*(((y^(x|(y^z)))&~t)|(((y&z)|(~x&(y|z)))&t)) + 16104300387799321661*((~(x&(~y|z))&~t)|(~(x&(~y&z))&t)) + 8198552928705502789*((((x&z)|(y&~z))&~t)|((y|z)&t)) + 11712218466910763495*(((y|(x^z))&~t)|((x|(y|z))&t)), 49374 + 3735936685*(x^y)
7990300909312591981*(((y|(x&z))&~t)|((x&(~y&z))&t)) + 10555088828299229481*((~(~x|(~y&z))&~t)|((y^~(~x&(~y&z)))&t)) + 2860725037715788068*((~(x^(y&z))&~t)|((y^~(~x&(y^z)))&t)) + 16769767316640966964*((((y&z)|(~x&(y|z)))&~t)|((y^(x|z))&t)) + 17262995800534221570*(((y^~(x|(~y&z)))&~t)|(((x&~y)|(y^z))&t)) + 15980601788737591734*((~z&~t)|((z^(x|~y))&t)) + 3945827650724784953*(((y^~(~x|(y^z)))&~t)|((z^(x|~y))&t)) + 14895499228031905935*((~(y|~z)&~t)|(((x&y)^(y|z))&t)) + 6116032790815889350*((((x&z)^(x^(~y&z)))&~t)|((x&y)&t)) + 6017387119441746134*((x&~t)|(((y&~z)^(x|(y^z)))&t)) + 4241764679791158837*((~(x|z)&~t)|((x|(~y&z))&t)) + 9272694868805910731*(((y&~(x&z))&~t)|((y|~(x|z))&t)) + 18052161309757864001*(((z&(x|~y))&~t)|((z^~(~x|(y&z)))&t)) + 15092790611875742772*(((z^(x&(y|z)))&~t)|(((y&z)|(x&(y|z)))&t)) + 12725294046845300507*(((z^~(x&y))&~t)|((~x|(~y|z))&t)) + 2268850867504544758*(((~(x&y)&~(x^(y^z)))&~t)|((x|z)&t)), 49374 + 3735936685*(x^y)
9624388195152392806*((((x|~y)&(x^(y^z)))&~t)|((x&~x)&t)) + 11228452910533517242*(((z^~(~x|(~y&z)))&~t)|((y^(~x|(y&z)))&t)) + 2406097061863901286*(((y^(x|(~y&z)))&~t)|((y^~(~x&(~y&z)))&t)) + 8822355859877426011*(((y^(x&(y^z)))&~t)|((z^~(x&(~y&z)))&t)) + 12030485271960040832*((((x&~y)|(x^(y^z)))&~t)|((y^(x|(~y|z)))&t)) + 12832517622178704993*((((x&~y)|~(x^(y^z)))&~t)|(~(x&y)&t)) + 802032353954600846*(((~(x&~y)&(y^z))&~t)|(~(~x|(y^z))&t)) + 16842679377008110605*(((x|(~y|z))&~t)|((~(x&~y)&(x^(y^z)))&t)) + 9624388210096139546*(((~(x&y)&~(y^z))&~t)|((y^~(x&(y|z)))&t)) + 4010161751093468927*(((y&~(x&z))&~t)|((x|~y)&t)) + 8822355871085285440*((~(~x|(y^z))&~t)|((y&(x|z))&t)) + 13634549961189608473*(((~(x&y)&~(x^(y^z)))&~t)|(((x^y)|~(x^z))&t)) + 3208129412082565447*(((y^(x&~z))&~t)|(((x&y)|~(x^(y^z)))&t)) + 9624388206360202861*((~(x&z)&~t)|((x|y)&t)) + 11228452918005390612*((~(x|y)&~t)|(z&t)) + 14436582307672335949*((~(x^(~y|z))&~t)|((z|~(x|y))&t)), 49374 + 3735936685*(x^y)
14563219005363507701*((~(x|z)&~t)|(~(x|(~y|z))&t)) + 15857727358988181842*(((y^(~x&(y^z)))&~t)|((y^(~x|(y&z)))&t)) + 14239591916023416712*(((y|(x^z))&~t)|(((x&y)^~(x^(y&z)))&t)) + 17152235708877067420*(((z^~(x&(y&z)))&~t)|((z^~(x&~y))&t)) + 9385185583392789645*(((~z|~(x^y))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 3559897975269917493*((~(x|z)&~t)|((y^(x|(y|z)))&t)) + 9708812676468916067*(((x|~z)&~t)|(~(y&z)&t)) + 14239591912287430653*((~(y|z)&~t)|((z^(x&(~y|z)))&t)) + 7119795958011708356*~(x^(y&(z^t))) + 16181354452064357638*((((y&~z)|~(x|(~y&z)))&~t)|((z&(x^y))&t)) + 970881275492343833*(((~z&(x^y))&~t)|(~(x^(~y&z))&t)) + 8737931404712508919*((((x&z)^~(y&~z))&~t)|((y^(x|(~y&z)))&t)) + 9061558494052649282*(((~(x|~y)|~(y^z))&~t)|((z^(x&y))&t)) + 9708812672732979382*(((y^~(~x&(y^z)))&~t)|((x&y)&t)) + 9708812672732979382*(((y^~(x|z))&~t)|((y^~(x&z))&t)) + 17475862801953095094*(((y^(x|(y&z)))&~t)|((z^~(x|(y&z)))&t)), 49374 + 3735936685*(x^y)
7905747474037614986*(((y^(x&(y|z)))&~t)|((z^(x|(y|z)))&t)) + 2258785011795712498*((~(~x|(y^z))&~t)|(((x&z)^~(x^(y&z)))&t)) + 7152819141753675774*(((y^z)&~t)|((~(x&~y)&~(x^(y^z)))&t)) + 3764641631532103832*((~(x|(~y|z))&~t)|((z^~(~x&(y&z)))&t)) + 14305638253619759320*((((x&y)^(y|z))&~t)|(~(x&(y|z))&t)) + 9788068293539652961*(((y|(x&~z))&~t)|((~(x|~y)|~(x^(y^z)))&t)) + 2635249151785927813*((((y&~z)|~(~x|(~y&z)))&~t)|(((x&y)^(y|z))&t)) + 12046853249295969566*((~(y^z)&~t)|((~x|(~y&z))&t)) + 4517569963816043044*((~(~x|(y&z))&~t)|((z^(~x|(~y&z)))&t)) + 18070279911303518695*(((y^~(x&z))&~t)|(((x&y)|(x^(y^z)))&t)) + 8658675768962039226*((((x|y)&(x^(y^z)))&~t)|(((x&y)|~(y|~z))&t)) + 5270498311043877118*((~(x|z)&~t)|((y&z)&t)) + 4517569993703684646*((~(~x|(y^z))&~t)|((z&~(x&~y))&t)) + 12799781596523754266*(((y|(x^z))&~t)|((z^(x&~y))&t)) + 3011713317927897419*(((z^~(x|(~y&z)))&~t)|((z^~(x|y))&t)) + 16940887431557342676*((((x&y)^(y|~z))&~t)|((~x|(~y|z))&t)), 49374 + 3735936685*(x^y)
12526872048299330698*(((y&~z)&~t)|((z^(x|y))&t)) + 369992000654133035*((~(x^(y|z))&~t)|((~(x&y)&(y^z))&t)) + 9038376034659740948*(((~(x^y)|(x^z))&~t)|(~(x|~y)&t)) + 10994048045589259287*(((z^~(~x|(y&z)))&~t)|(~(x|(~y&z))&t)) + 5391312020739780255*((((x&y)^(y|z))&~t)|((~(x&~y)&~(x^(y^z)))&t)) + 3224216016908274446*(((y^(x|(~y|z)))&~t)|((z^(x|(~y&z)))&t)) + 4968464019992157323*(((y^(x&(~y|z)))&~t)|((z^~(x&y))&t)) + 9989784036341818484*((z&~t)|((y^~(x|(~y&z)))&t)) + 2008528011023008236*(((z|(x&y))&~t)|((y^(~x&(~y|z)))&t)) + 2854224012518204726*(((~(x|~y)|(x^(y^z)))&~t)|((y^~(x&(y&z)))&t)) + 8826952034285929482*(((~x|(~y|z))&~t)|((y^(~x|(~y&z)))&t)) + 14271120055119150260*(((x&(y&z))&~t)|((y&(x|z))&t)) + 11152616042133693545*(((z^~(x|~y))&~t)|(y&t)) + 13319712053437023350*(((z&~(x&~y))&~t)|(~(x&(y^z))&t)) + 9408368042785747353*(((y^(x&(y^z)))&~t)|((y|(x&z))&t)) + 15433952060910975947*((~(x&z)&~t)|((z|~(x^y))&t)), 49374 + 3735936685*(x^y)
3689348814443055138*((((x^y)|(x^z))&~t)|((~x&(~y&z))&t)) + 4427218569261944178*(((y^(x&~z))&~t)|(((x|~y)&~(x^(y^z)))&t)) + 6640827869583949092*((~(x^(~y|z))&~t)|(~(y|~z)&t)) + 6640827873319984525*((~(y&~z)&~t)|((y^(~x|(y|z)))&t)) + 17708874300957968992*(((y^(~x|(~y|z)))&~t)|((y^(x|(~y|z)))&t)) + 14757395260013683815*(((~(x|~y)|~(x^(y^z)))&~t)|(((x&~y)|(y^z))&t)) + 2951479060371254687*((~(x|(y&z))&~t)|(~(x|(~y&z))&t)) + 737869772004395287*((((x&y)|~(x^(y^z)))&~t)|((z^~(~x&(y&z)))&t)) + 15495265019315746251*(((z&(x|y))&~t)|((x^(y|z))&t)) + 737869774245907924*(((z^(x|(~y&z)))&~t)|(((x&z)|~(y|z))&t)) + 2951479043933034525*((((x&y)|~(x^(y^z)))&~t)|((y^~(x|z))&t)) + 10330176678049456160*(((z^(x|(~y|z)))&~t)|(~(x&(y^z))&t)) + 15495265014832622229*((~(x&(~y|z))&~t)|(((x&~y)|~(y^z))&t)) + 8854437157203719903*((~(x&(~y|z))&~t)|(((y&z)|(x&(y|z)))&t)) + 11805916207861588583*(((z^(~x|(y|z)))&~t)|((~x|(~y|z))&t)) + 5165088345002276150*((((x&y)^~(x^(~y|z)))&~t)|((x|z)&t)), 49374 + 3735936685*(x^y)
18446744040084195865*((((x^y)&(x^z))&~t)|(~(~x|(y|z))&t)) + 78459163419*(((~x&(y&z))&~t)|(~(y|z)&t)) + 14944487350*((~(y^z)&~t)|(~(x|z)&t)) + 18680572157*(((y^(x&(~y|z)))&~t)|((~x&(y^z))&t)) + 3736282303*(((y|~(x^z))&~t)|((y^(~x|(y&z)))&t)) + 41097722861*((((x|~y)&~(x^(y^z)))&~t)|((z^(x|(y&z)))&t)) + 18446744025139609767*(((~(x|~y)|(x^(y^z)))&~t)|((y^~(x&(y^z)))&t)) + 59778393766*(((y^(x|(y^z)))&~t)|((y^(~x|(y|z)))&t)) + 18446744025139807263*(((~(x|y)|~(x^(y^z)))&~t)|((y^(x|(~y|z)))&t)) + 18446744036347814814*(((~x&(y&z))&~t)|((~z|(x^y))&t)) + 18446744073709403494*((x^y)|~z) + 18446744058764866770*(((y|z)&~t)|((~(x|y)|~(x^(y^z)))&t)) + 18446744028875694574*((((x|y)&~(x^(y^z)))&~t)|((x&(y&z))&t)) + 18446744062500902203*(((x|~z)&~t)|((y^(~x|(y^z)))&t)) + 3736529173*(((y|(x&~z))&~t)|((y|~(x^z))&t)) + 52305927908*(((y|~(x|~z))&~t)|((x|y)&t)), 49374 + 3735936685*(x^y)
63512256743*((y|z)^t) + 18446743942948953323*((z&~t)|((~(x^y)&(x^z))&t)) + 18446744013933330306*(((x&(y&z))&~t)|(((x^y)&~(x^z))&t)) + 18446744021405253050*(((y^~(~x|(y^z)))&~t)|(((y&z)^~(~x&(y^z)))&t)) + 18446743898116626875*(((~y&~(x^z))&~t)|(~(y|~z)&t)) + 33624220149*(((y&(x^z))&~t)|((z^(x|~y))&t)) + 18680029043*((((x&y)^(x^(y&z)))&~t)|((~x&(y|z))&t)) + 18446743898116725623*(((~(x^y)|~(x^z))&~t)|(~(x&z)&t)) + 52304249192*(((~(x&y)&(y^z))&~t)|((~(x|~y)|(y^z))&t)) + 201744925902*(((z|~(x^y))&~t)|(((x^y)|(x^z))&t)) + 33624220149*(((~x|(y|z))&~t)|((z&~(x^y))&t)) + 93400441459*(((y&(x|~z))&~t)|((~(x|y)|(x^(y^z)))&t)) + 18446743875700562399*(((y&(x^z))&~t)|((y^(x&~z))&t)) + 33624121401*((~(x^(~y&z))&~t)|(y&t)) + 18446744028877274542*(((x^(y^z))&~t)|(~(~x&(~y&z))&t)) + 82192433908*(((y^~(~x&(~y&z)))&~t)|(~(x&~x)&t)), 49374 + 3735936685*(x^y)
9516177505398993208*((~y&~t)|(~(x|(~y|z))&t)) + 6295317422395324762*((~(x|~y)&~t)|((y^~(~x&(~y&z)))&t)) + 10101788412599934528*((~(x&z)&~t)|(~y&t)) + 5709706492778763332*((((x|~y)&(x^(y^z)))&~t)|((y^z)&t)) + 3220860083003668446*(((z^(x|(y|z)))&~t)|(~(x&(y|z))&t)) + 9369774769258903822*((((x&z)^(x^(~y&z)))&~t)|(((x&z)^(y|z))&t)) + 10394593884880113300*(((~(x|y)|(y^z))&~t)|(((y&~z)^(~x|(y^z)))&t)) + 6588122887203630164*(((~(x&~y)&(x^(y^z)))&~t)|((z^~(~x|(~y&z)))&t)) + 14933078537105437197*((((x&~y)|~(x^(y^z)))&~t)|((z^~(x&(y&z)))&t)) + 10980204807024801360*((((x^y)&~(x^z))&~t)|((x^(~y&z))&t)) + 585610922144688060*(((x|(y&z))&~t)|((x&(~y|z))&t)) + 3074457354335452430*((((x&y)^(x^(~y|z)))&~t)|(((x&z)|~(y|z))&t)) + 585610914672814690*(((y^(~x|(y^z)))&~t)|(~(y^z)&t)) + 7759344727757069599*(((y|~z)&~t)|((y|~(x|z))&t)) + 4831290109561706555*((((x|~y)&~(x^(y^z)))&~t)|(~(x&(y^z))&t)) + 12590634848526635583*((~(~x&(y^z))&~t)|(~(y&~z)&t)), 49374 + 3735936685*(x^y)
2298860720*(((~(x^y)&(x^z))&~t)|(~(x|(y&z))&t)) + 18446744060490197286*(((z^(x|(~y&z)))&~t)|((~(x&y)&(x^(y^z)))&t)) + 18392169484*((~z&~t)|((x&(~y&z))&t)) + 18446744059915531480*((~(x^y)&~t)|((z^(~x|(y&z)))&t)) + 574748096*(((~(x|y)|(x^(y^z)))&~t)|(((x&y)^~(x^(~y|z)))&t)) + 14943615076*(((y^~(x|(y&z)))&~t)|((~(x&y)&(y^z))&t)) + 7471906286*(((x|(y^z))&~t)|((z^~(~x&(~y|z)))&t)) + 18446744059340602346*((~(x^(y|z))&~t)|((y^(x&(y|z)))&t)) + 18446744064226068139*(((~x|(~y&z))&~t)|(((y&~z)|~(~x|(~y&z)))&t)) + 18446744063938751694*(((x^y)&~t)|(~(x^(y&z))&t)) + 3735870853*(((y^~(x&(y&z)))&~t)|(~(x^(~y|z))&t)) + 4885432877*((((x&y)|~(y|~z))&~t)|(((x&y)|~(y|~z))&t)) + 21265909964*(((y^~(~x|(y&z)))&~t)|((y|~z)&t)) + 20691293532*(((~x&(~y&z))&~t)|((y^(x&(y^z)))&t)) + 18446744048994988496*(((x^(y^z))&~t)|(((y&z)|(x&(y|z)))&t)) + 18446744067099841535*(((~(x^y)&(x^z))&~t)|((z|(x^y))&t)), 49374 + 3735936685*(x^y)
2276204920901003000*(((y&~(x^z))&~t)|(~(~x|(~y|z))&t)) + 10400991944652953246*(((y^~(x&(y^z)))&~t)|(((x&z)^~(x^(y&z)))&t)) + 10685517562567500276*(((z|~(x^y))&~t)|(~(x|(~y&z))&t)) + 17656395141699631474*(((x&(y^z))&~t)|((z^(x&y))&t)) + 4062393511875975123*(((y^~(~x&(y&z)))&~t)|((y^~(x|(~y&z)))&t)) + 8678031271675814760*(((z^(x&(y|z)))&~t)|((z&~(x^y))&t)) + 4204656317097336640*((((x&z)^~(x^(y&z)))&~t)|((z^(~x&(~y|z)))&t)) + 12408478231808751451*(((x^(~y&z))&~t)|(((x&z)|(y&~z))&t)) + 16945081104385063208*(((y^~(~x&(y^z)))&~t)|((z^~(x|(~y&z)))&t)) + 490016337397805499*((((x&~y)|(y^z))&~t)|((~(x^y)|~(x^z))&t)) + 7381859025570521506*((~(x&~x)&~t)|(((x&z)^~(x^(~y&z)))&t)) + 4141428402835390314*((((x|~y)&~(y^z))&~t)|(((x&y)^(x^(~y|z)))&t)) + 9879361646388237899*((~(x|y)&~t)|((~x|(y&z))&t)) + 12361057297980260049*((((x&~y)|(x^(y^z)))&~t)|((y|(x^z))&t)) + 5595670442067373379*(((~(x&y)&(x^(y^z)))&~t)|(~(x&~z)&t)) + 6085686779465178878*((~(x&~y)&~t)|((x|(y|z))&t)), 49374 + 3735936685*(x^y)
11495797030250999664*((((x&~y)|(y^z))&~t)|(~(x|z)&t)) + 178229412711809726*(((z^(x|y))&~t)|((y^(~x|(y|z)))&t)) + 15595073496471708429*((~(x^z)&~t)|(~(x|~y)&t)) + 10337305858831873691*((~(~x|(y|z))&~t)|(((x&z)^~(y&~z))&t)) + 2673441175733794142*(((y&z)&~t)|((z^(x&y))&t)) + 2495211755550111046*((~(x&(y|z))&~t)|((~x|(y^z))&t)) + 15684188206563574664*(((z^~(~x&(~y|z)))&~t)|((y&~(x^z))&t)) + 11406682320159133429*(((y|~(x|~z))&~t)|((y&~(x^z))&t)) + 4455735284172504221*((~(~x|(y^z))&~t)|((z^(~x|(~y&z)))&t)) + 6059799983635291885*((~(~x&(y|z))&~t)|((y^(~x&(~y|z)))&t)) + 11941370562030598040*(((~x|(~y|z))&~t)|((y^(~x&(~y|z)))&t)) + 11139338204827330838*((~(y^z)&~t)|((y^(~x&(y^z)))&t)) + 12921632320737914287*((~(x|(~y|z))&~t)|((y|(x&z))&t)) + 8109438218613565236*(((~y&~(x^z))&~t)|((x|y)&t)) + 2138752933862378905*((((x&y)|(y^z))&~t)|((z|~(x|~y))&t)) + 8376782333945417201*(((y&(x|~z))&~t)|(~(x&~z)&t)), 49374 + 3735936685*(x^y)
